Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,Telegram Desktop messaging app,C++,30848,6520,249 stars today,john-preston; 23rd; ilya-fedin; claude; auchri
2,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,101398,16353,274 stars today,ggerganov; ngxson; slaren; JohannesGaessler; CISC
3,google-ai-edge/LiteRT-LM,https://github.com/google-ai-edge/LiteRT-LM,Pas de description,C++,1251,168,113 stars today,ai-edge-bot; protobird-git; whhone; matthewchan-g; hheydary
4,esphome/esphome,https://github.com/esphome/esphome,"ESPHome is a system to control your ESP32, ESP8266, BK72xx, RP2040 by simple yet powerful configuration files and control them remotely through Home Automation systems.",C++,10822,5154,6 stars today,jesserockz; bdraco; OttoWinter; dependabot; swoboda1337
5,gabime/spdlog,https://github.com/gabime/spdlog,Fast C++ logging library.,C++,28593,5101,11 stars today,gabime; Gabi120; sylveon; DanielChabrowski; mguludag
6,zeux/meshoptimizer,https://github.com/zeux/meshoptimizer,Mesh optimization library that makes meshes smaller and faster to render,C++,7509,623,17 stars today,zeux; mosra; corporateshark; dtrebilco; l0calh05t
7,Adaptix-Framework/AdaptixC2,https://github.com/Adaptix-Framework/AdaptixC2,AdaptixC2 is a highly modular advanced redteam toolkit,C++,2930,517,9 stars today,RalfHacker; shashinma; bri5ee; lsr00ter; Xre0uS
8,Atmosphere-NX/Atmosphere,https://github.com/Atmosphere-NX/Atmosphere,Atmosphère is a work-in-progress customized firmware for the Nintendo Switch.,C++,18777,1428,53 stars today,SciresM; TuxSH; hexkyz; lioncash; ktemkin
9,google-ai-edge/LiteRT,https://github.com/google-ai-edge/LiteRT,"LiteRT, successor to TensorFlow Lite. is Google's On-device framework for high-performance ML & GenAI deployment on edge platforms, via efficient conversion, runtime, and optimization",C++,2054,260,8 stars today,ai-edge-bot; LukeBoyer; terryheo; qukhan; YunanAZ
10,mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,Distribute and run LLMs with a single file.,C++,23997,1300,25 stars today,jart; cjpais; stlhood; corebonts; aittalam
11,luau-lang/luau,https://github.com/luau-lang/luau,"A small, fast, and embeddable programming language based on Lua with a gradual type system.",C++,5399,554,3 stars today,zeux; vegorov-rbx; andyfriesen; Vighnesh-V; aatxe
12,78/xiaozhi-esp32,https://github.com/78/xiaozhi-esp32,An MCP-based chatbot | 一个基于MCP的聊天机器人,C++,25369,5477,20 stars today,78; Y1hsiaochunnn; laride; Kevincoooool; txp666
13,alibaba/zvec,https://github.com/alibaba/zvec,"A lightweight, lightning-fast, in-process vector database",C++,9240,533,12 stars today,iaojnh; feihongxu0824; Cuiyus; egolearner; zhourrr
14,tindy2013/subconverter,https://github.com/tindy2013/subconverter,Utility to convert between various subscription format,C++,16240,3692,4 stars today,tindy2013; at404bot; zhongfly; HynoR; XyLyXyRR
15,ml-explore/mlx-swift,https://github.com/ml-explore/mlx-swift,Swift API for MLX,C++,1718,182,7 stars today,davidkoski; andresy; awni; louen; kemchenj
16,TheAlgorithms/C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,"Collection of various algorithms in mathematics, machine learning, computer science and physics implemented in C++ for educational purposes.",C++,34008,7752,2 stars today,Panquesito7; kvedala; realstealthninja; ayaankhan98; cclauss
17,ggml-org/ggml,https://github.com/ggml-org/ggml,Tensor library for machine learning,C++,14358,1537,9 stars today,ggerganov; jeffbolznv; JohannesGaessler; slaren; 0cc4m
18,ValveSoftware/source-sdk-2013,https://github.com/ValveSoftware/source-sdk-2013,The 2013 edition of the Source SDK,C++,9677,2901,4 stars today,JoeLudwig; jorgenpt; ficool2; dimhotepus; FlaminSarge
19,ocornut/imgui,https://github.com/ocornut/imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,C++,72405,11672,31 stars today,ocornut; rokups; thedmd; cfillion; bkaradzic
20,brave/brave-core,https://github.com/brave/brave-core,Core engine for the Brave browser for mobile and desktop. For issues https://github.com/brave/brave-browser/issues,C++,3080,1182,2 stars today,cdesouza-chromium; mkarolin; brave-builds; brave-browser-releases; tmancey
21,cloudflare/workerd,https://github.com/cloudflare/workerd,The JavaScript / Wasm runtime that powers Cloudflare Workers,C++,8095,602,9 stars today,jasnell; kentonv; anonrig; fhanau; dom96
22,MariaDB/server,https://github.com/MariaDB/server,"MariaDB server is a community developed fork of MySQL server. Started by core members of the original MySQL team, MariaDB actively works with outside developers to deliver the most featureful, stable, and sanely licensed open SQL server in the industry.",C++,7406,2027,8 stars today,dr-m; vuvova; prohaska; vaintroub; spetrunia
