Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,google-ai-edge/LiteRT-LM,https://github.com/google-ai-edge/LiteRT-LM,Pas de description,C++,1593,187,124 stars today,ai-edge-bot; protobird-git; whhone; matthewchan-g; hheydary
2,telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,Telegram Desktop messaging app,C++,31085,6537,287 stars today,john-preston; 23rd; ilya-fedin; claude; auchri
3,ml-explore/mlx,https://github.com/ml-explore/mlx,MLX: An array framework for Apple silicon,C++,25131,1649,39 stars today,angeloskath; zcbenz; jagrit06; barronalex; awni
4,LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,Truly independent web browser,C++,62166,2921,49 stars today,awesomekling; trflynn89; AtkinsSJ; linusg; alimpfard
5,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,101630,16409,244 stars today,ggerganov; ngxson; slaren; JohannesGaessler; CISC
6,esphome/esphome,https://github.com/esphome/esphome,"ESPHome is a system to control your ESP32, ESP8266, BK72xx, RP2040 by simple yet powerful configuration files and control them remotely through Home Automation systems.",C++,10829,5162,7 stars today,jesserockz; bdraco; OttoWinter; dependabot; swoboda1337
7,ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,ClickHouse® is a real-time analytics database management system,C++,46718,8268,15 stars today,alexey-milovidov; alesapin; KochetovNicolai; azat; Avogar
8,amnezia-vpn/amnezia-client,https://github.com/amnezia-vpn/amnezia-client,Amnezia VPN Client (Desktop+Mobile),C++,11123,801,38 stars today,pokamest; Nethius; albexk; outspace; vkamn
9,tdlib/td,https://github.com/tdlib/td,Cross-platform library for building Telegram clients,C++,8637,2007,7 stars today,levlam; arseny30; AYMENJD; FrayxRulez; isopen
10,microsoft/terminal,https://github.com/microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",C++,102539,9185,26 stars today,DHowett; zadjii-msft; lhecker; carlos-zamora; miniksa
11,azerothcore/azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,Complete Open Source and Modular solution for MMO,C++,8153,3271,6 stars today,github-actions; Nyeriah; Kitzunu; UltraNix; Gultask
12,mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,Distribute and run LLMs with a single file.,C++,24012,1302,15 stars today,jart; cjpais; stlhood; corebonts; aittalam
13,alibaba/MNN,https://github.com/alibaba/MNN,"MNN: A blazing-fast, lightweight inference engine battle-tested by Alibaba, powering high-performance on-device LLMs and Edge AI.",C++,14776,2274,11 stars today,wangzhaode; MNNTeam; jxt1234; Yogayu; Juude
14,Alexays/Waybar,https://github.com/Alexays/Waybar,Highly customizable Wayland bar for Sway and Wlroots based compositors. ✌️ 🎉,C++,11019,1022,10 stars today,Alexays; alebastr; khaneliman; LukashonakV; Anakael
15,official-stockfish/Stockfish,https://github.com/official-stockfish/Stockfish,A free and strong UCI chess engine,C++,15193,2848,13 stars today,mcostalba; vondele; snicolet; FauziAkram; Vizvezdenec
16,Atmosphere-NX/Atmosphere,https://github.com/Atmosphere-NX/Atmosphere,Atmosphère is a work-in-progress customized firmware for the Nintendo Switch.,C++,18791,1429,34 stars today,SciresM; TuxSH; hexkyz; lioncash; ktemkin
17,qbittorrent/qBittorrent,https://github.com/qbittorrent/qBittorrent,qBittorrent BitTorrent client,C++,36348,4609,22 stars today,Chocobo1; sledgehammer999; glassez; Piccirello; zeule
18,gcc-mirror/gcc,https://github.com/gcc-mirror/gcc,Pas de description,C++,10830,4736,4 stars today,jakubjelinek; rguenth; jwakely; jicama; ebotcazou
19,stenzek/duckstation,https://github.com/stenzek/duckstation,Fast PlayStation 1 emulator for x86-64/AArch32/AArch64/RV64,C++,9959,903,10 stars today,stenzek; andercard0; Pesa; zkdpower; ggrtk
20,MatsuriDayo/nekoray,https://github.com/MatsuriDayo/nekoray,不再维护，自寻替代品。 Qt based cross-platform GUI proxy configuration manager (backend: sing-box),C++,15319,1474,14 stars today,arm64v8a; xchacha20-poly1305; purofle; Misaka-blog; TheWeirdDev
21,google-ai-edge/mediapipe,https://github.com/google-ai-edge/mediapipe,"Cross-platform, customizable ML solutions for live and streaming media.",C++,34550,5876,20 stars today,schmidt-sebastian; priankakariat; kinarr; kuaashish; camillol
22,luanti-org/luanti,https://github.com/luanti-org/luanti,Luanti (formerly Minetest) is an open source voxel game-creation platform with easy modding and game creation,C++,12569,2280,34 stars today,celeron55; sfan5; nerzhul; paramat; SmallJoker
23,WerWolv/ImHex,https://github.com/WerWolv/ImHex,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.",C++,53071,2352,16 stars today,WerWolv; iTrooz; paxcut; marysaka; WerWolvTranslationBot
24,ml-explore/mlx-swift,https://github.com/ml-explore/mlx-swift,Swift API for MLX,C++,1728,185,7 stars today,davidkoski; andresy; awni; louen; kemchenj
25,godotengine/godot,https://github.com/godotengine/godot,Godot Engine – Multi-platform 2D and 3D game engine,C++,108992,24878,43 stars today,akien-mga; Repiteo; reduz; Calinou; bruvzg
