Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,ValveSoftware/Proton,https://github.com/ValveSoftware/Proton,Compatibility tool for Steam Play based on Wine and additional components,C++,30944,1391,79 stars today,aeikum; rbernon; ivyl; alasky17; madewokherd
2,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,104727,17020,387 stars today,ggerganov; ngxson; slaren; JohannesGaessler; CISC
3,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree,C++,88861,38908,14 stars today,laanwj; fanquake; sipa; achow101; hebasto
4,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format,C++,71106,16113,7 stars today,protobuf-github-bot; haberman; protobuf-team-bot; mkruskal-google; xfxyjwf
5,meshtastic/firmware,https://github.com/meshtastic/firmware,"The official firmware for Meshtastic, an open-source, off-grid mesh communication system.",C++,7298,2249,16 stars today,thebentern; geeksville; caveman99; mc-hamster; jp-bennett
6,openvinotoolkit/openvino,https://github.com/openvinotoolkit/openvino,OpenVINO™ is an open source toolkit for optimizing and deploying AI inference,C++,10106,3189,8 stars today,ilya-lavrenov; ilyachur; rkazants; mvafin; praasz
7,kokkos/kokkos,https://github.com/kokkos/kokkos,Kokkos C++ Performance Portability Programming Ecosystem: The Programming Model - Parallel Execution and Memory Abstraction,C++,2513,493,3 stars today,dalg24; crtrott; masterleinad; ibaned; ndellingwood
8,NVIDIA/cuda-quantum,https://github.com/NVIDIA/cuda-quantum,C++ and Python support for the CUDA Quantum programming model for heterogeneous quantum-classical workflows,C++,1006,363,3 stars today,schweitzpgi; bettinaheim; bmhowe23; 1tnguyen; khalatepradnya
9,reisxd/TizenTubeCobalt,https://github.com/reisxd/TizenTubeCobalt,Experience TizenTube on other devices that are not Tizen.,C++,2107,99,25 stars today,dahlstrom-g; niranjanyardi; jellefoks; kaidokert; andrunko
10,godotengine/godot,https://github.com/godotengine/godot,Godot Engine – Multi-platform 2D and 3D game engine,C++,109641,25037,57 stars today,akien-mga; Repiteo; reduz; Calinou; bruvzg
11,SFML/SFML,https://github.com/SFML/SFML,Simple and Fast Multimedia Library,C++,11797,1883,6 stars today,LaurentGomila; ChrisThrasher; eXpl0it3r; mantognini; binary1248
12,unitreerobotics/unitree_ros,https://github.com/unitreerobotics/unitree_ros,Pas de description,C++,1341,422,4 stars today,matheecs; TrivasZhang; BDLUO; Agnel-Wang; xiaoliangstd
13,microsoft/winget-cli,https://github.com/microsoft/winget-cli,"WinGet is the Windows Package Manager. This project includes a CLI (Command Line Interface), PowerShell modules, and a COM (Component Object Model) API (Application Programming Interface).",C++,25715,1719,7 stars today,JohnMcPMS; yao-msft; ryfu-msft; Trenly; florelis
14,apple/foundationdb,https://github.com/apple/foundationdb,"FoundationDB - the open source, distributed, transactional key-value store",C++,16258,1485,3 stars today,etschannen; jzhou77; ajbeamon; sfc-gh-tclinkenbeard; xumengpanda
15,google/draco,https://github.com/google/draco,Draco is a library for compressing and decompressing 3D geometric meshes and point clouds. It is intended to improve the storage and transmission of 3D graphics.,C++,7234,1051,2 stars today,tomfinegan; FrankGalligan; louquillio; ondys; jbrettle
16,tenstorrent/tt-metal,https://github.com/tenstorrent/tt-metal,"🤘 TT-NN operator library, and TT-Metalium low level kernel programming model.",C++,1413,411,1 star today,github-merge-queue; tt-rkim; tt-aho; blozano-tt; abhullar-tt
17,trustwallet/wallet-core,https://github.com/trustwallet/wallet-core,"Cross-platform, cross-blockchain wallet library.",C++,3499,1939,3 stars today,hewigovens; satoshiotomakan; optout21; alejandro-isaza; Milerius
18,CleverRaven/Cataclysm-DDA,https://github.com/CleverRaven/Cataclysm-DDA,Cataclysm - Dark Days Ahead. A turn-based survival game set in a post-apocalyptic world.,C++,12246,4481,2 stars today,ZhilkinSerg; kevingranade; Rivet-the-Zombie; Maleclypse; BevapDin
19,unitreerobotics/unitree_ros2,https://github.com/unitreerobotics/unitree_ros2,Pas de description,C++,665,189,0 stars today,Roy-dk; Agnel-Wang; wjbbupt; xiaoliangstd; wuyangning
20,facebookincubator/velox,https://github.com/facebookincubator/velox,A composable and fully extensible C++ execution engine library for data management systems.,C++,4097,1491,0 stars today,mbasmanova; xiaoxmeng; pedroerp; Yuhta; kagamiori
