Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,Truly independent web browser,C++,62559,2959,14 stars today,awesomekling; trflynn89; AtkinsSJ; linusg; alimpfard
2,amnezia-vpn/amnezia-client,https://github.com/amnezia-vpn/amnezia-client,Amnezia VPN Client (Desktop+Mobile),C++,11594,833,19 stars today,pokamest; Nethius; albexk; outspace; vkamn
3,imputnet/helium,https://github.com/imputnet/helium,"Private, fast, and honest web browser",C++,14260,320,83 stars today,wukko; dumbmoron; Ahrotahn; networkException; zemiakx
4,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,194899,75283,25 stars today,tensorflower-gardener; ezhulenev; akuegel; hawkinsp; mihaimaruseac
5,hyprwm/Hyprland,https://github.com/hyprwm/Hyprland,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks.",C++,35298,1689,15 stars today,vaxerski; fufexan; gulafaran; MightyPlaza; UjinT34
6,FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,"Official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler.",C++,30611,5469,26 stars today,wwmayer; yorikvanhavre; berndhahnebach; chennes; WandererFan
7,ggml-org/ggml,https://github.com/ggml-org/ggml,Tensor library for machine learning,C++,14527,1575,13 stars today,ggerganov; JohannesGaessler; jeffbolznv; slaren; am17an
8,esphome/esphome,https://github.com/esphome/esphome,"ESPHome is a system to control your ESP32, ESP8266, BK72xx, RP2040 by simple yet powerful configuration files and control them remotely through Home Automation systems.",C++,10972,5232,19 stars today,jesserockz; bdraco; OttoWinter; dependabot; swoboda1337
9,capnproto/capnproto,https://github.com/capnproto/capnproto,Cap'n Proto serialization/RPC system - core tools and C++ library,C++,13000,1047,5 stars today,kentonv; harrishancock; mikea; fhanau; jclee
10,k4yt3x/video2x,https://github.com/k4yt3x/video2x,"A machine learning-based video super resolution and frame interpolation framework. Est. Hack the Valley II, 2018.",C++,19687,1726,36 stars today,k4yt3x; BrianPetkovsek; sat3ll; Integral-Tech; snixon
11,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,106787,17414,242 stars today,ggerganov; ngxson; slaren; JohannesGaessler; CISC
12,LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,Self-hosted game stream host for Moonlight.,C++,36463,1881,50 stars today,ReenigneArcher; dependabot; cgutman; LizardByte-bot; loki-47-6F-64
13,official-stockfish/Stockfish,https://github.com/official-stockfish/Stockfish,A free and strong UCI chess engine,C++,15374,2868,8 stars today,mcostalba; vondele; FauziAkram; snicolet; Vizvezdenec
14,geode-sdk/geode,https://github.com/geode-sdk/geode,The ultimate Geometry Dash modding framework,C++,2303,437,6 stars today,altalk23; HJfod; matcool; dankmeme01; cgytrus
15,tile-ai/tilelang-ascend,https://github.com/tile-ai/tilelang-ascend,Ascend TileLang adapter,C++,269,106,0 stars today,LeiWang1999; LYMAXPUP; bingmeiyou; hedi515; xwhzz
16,ceph/ceph,https://github.com/ceph/ceph,"Ceph is a distributed object, block, and file storage platform",C++,16511,6367,6 stars today,liewegas; tchaikov; cbodley; batrick; yehudasa
17,CMU-Perceptual-Computing-Lab/openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,"OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation",C++,34028,8056,13 stars today,gineshidalgo99; soulslicer; xiangyann; bikz05; bryant1410
18,chromium/chromium,https://github.com/chromium/chromium,The official GitHub mirror of the Chromium source,C++,23529,8815,12 stars today,leizleiz; colinblundell; tkent-google; sdefresne; nico
19,organicmaps/organicmaps,https://github.com/organicmaps/organicmaps,"🍃 Organic Maps is a free Android & iOS offline maps app for more than 6M travelers, tourists, hikers, and cyclists. It uses crowd-sourced OpenStreetMap data and is developed with love by the community. No ads, no tracking, no data collection, no crapware. Please donate to support the development!",C++,13791,1375,16 stars today,biodranik; vng; bykoianko; igrechuhin; alexzatsepin
