Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,qbittorrent/qBittorrent,https://github.com/qbittorrent/qBittorrent,qBittorrent BitTorrent client,C++,37068,4651,82 stars today,Chocobo1; sledgehammer999; glassez; Piccirello; zeule
2,BatchDrake/SigDigger,https://github.com/BatchDrake/SigDigger,"Qt-based digital signal analyzer, using Suscan core and Sigutils DSP library",C++,2063,217,112 stars today,BatchDrake; sultanqasim; arf20; melroy89; jedi7
3,LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,Truly independent web browser,C++,62719,2974,36 stars today,awesomekling; trflynn89; AtkinsSJ; linusg; alimpfard
4,wled/WLED,https://github.com/wled/WLED,Control WS2812B and many more types of digital RGB LEDs with an ESP32 over WiFi!,C++,17933,4125,18 stars today,blazoncek; Aircoookie; netmindz; softhack007; DedeHai
5,xbmc/xbmc,https://github.com/xbmc/xbmc,"Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS, tvOS and Windows.",C++,20711,6530,2 stars today,ksooo; FernetMenta; Montellese; MartijnKaijser; Memphiz
6,ztxz16/fastllm,https://github.com/ztxz16/fastllm,fastllm是后端无依赖的高性能大模型推理库。同时支持张量并行推理稠密模型和混合模式推理MOE模型，任意10G以上显卡即可推理满血DeepSeek。双路9004/9005服务器+单显卡部署DeepSeek满血满精度原版模型，单并发20tps；INT4量化模型单并发30tps，多并发可达60+。,C++,4311,435,9 stars today,ztxz16; TylunasLi; huangsheng-tf; fluxlinkage; orca-zhang
7,WerWolv/ImHex,https://github.com/WerWolv/ImHex,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.",C++,53420,2374,17 stars today,WerWolv; iTrooz; paxcut; marysaka; WerWolvTranslationBot
8,keepassxreboot/keepassxc,https://github.com/keepassxreboot/keepassxc,KeePassXC is a cross-platform community-driven port of the Windows application “KeePass Password Safe”.,C++,26894,1768,20 stars today,droidmonkey; debfx; phoerious; BlueIce; TheZ3ro
9,ggml-org/whisper.cpp,https://github.com/ggml-org/whisper.cpp,Port of OpenAI's Whisper model in C/C++,C++,49370,5492,38 stars today,ggerganov; jeffbolznv; JohannesGaessler; slaren; danbev
10,ClassicOldSong/Apollo,https://github.com/ClassicOldSong/Apollo,Sunshine fork - The easiest way to stream with the native resolution of your client device,C++,9298,292,21 stars today,ReenigneArcher; cgutman; ClassicOldSong; dependabot; loki-47-6F-64
11,MaaAssistantArknights/MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",C++,20607,2577,23 stars today,MistEO; ABA2396; status102; Constrat; github-actions
12,SerenityOS/serenity,https://github.com/SerenityOS/serenity,The Serenity Operating System 🐞,C++,33126,3326,5 stars today,awesomekling; linusg; trflynn89; nico; AtkinsSJ
13,ocornut/imgui,https://github.com/ocornut/imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,C++,72991,11754,30 stars today,ocornut; rokups; thedmd; cfillion; bkaradzic
14,TrinityCore/TrinityCore,https://github.com/TrinityCore/TrinityCore,"TrinityCore Open Source MMO Framework (master = 12.0.5.67314, 3.3.5 = 3.3.5a.12340, cata classic = 4.4.2.60895)",C++,10538,6315,1 star today,Shauren; Vincent-Michael; DDuarte; Aokromes; Killyana
15,google/benchmark,https://github.com/google/benchmark,A microbenchmark support library,C++,10181,1768,2 stars today,dmah42; EricWF; LebedevRI; dependabot; biojppm
16,google-ai-edge/LiteRT,https://github.com/google-ai-edge/LiteRT,"LiteRT, successor to TensorFlow Lite. is Google's On-device framework for high-performance ML & GenAI deployment on edge platforms, via efficient conversion, runtime, and optimization",C++,2333,301,9 stars today,ai-edge-bot; LukeBoyer; terryheo; YunanAZ; qukhan
17,justcallmekoko/ESP32Marauder,https://github.com/justcallmekoko/ESP32Marauder,A suite of WiFi/Bluetooth offensive and defensive tools for the ESP32,C++,10687,1229,15 stars today,justcallmekoko; H4W9; bmorcelli; trisp3ar; tracedgod
18,leejet/stable-diffusion.cpp,https://github.com/leejet/stable-diffusion.cpp,"Diffusion model(SD,Flux,Wan,Qwen Image,Z-Image,...) inference in pure C/C++",C++,5923,607,15 stars today,leejet; wbruna; stduhpf; rmatif; Green-Sky
19,LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,Self-hosted game stream host for Moonlight.,C++,36671,1898,33 stars today,ReenigneArcher; dependabot; cgutman; LizardByte-bot; loki-47-6F-64
20,BruceDevices/firmware,https://github.com/BruceDevices/firmware,Predatory ESP32 Firmware,C++,5522,1863,17 stars today,bmorcelli; pr3y; rennancockles; Tawank; valentin8709
21,chromium/chromium,https://github.com/chromium/chromium,The official GitHub mirror of the Chromium source,C++,23596,8833,6 stars today,leizleiz; colinblundell; tkent-google; sdefresne; nico
