Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,gabime/spdlog,https://github.com/gabime/spdlog,Fast C++ logging library.,C++,28756,5142,10 stars today,gabime; Gabi120; sylveon; DanielChabrowski; mguludag
2,nlohmann/json,https://github.com/nlohmann/json,JSON for Modern C++,C++,49689,7395,20 stars today,nlohmann; dependabot; theodelrieu; falbrechtskirchinger; Teemperor
3,microsoft/WSL,https://github.com/microsoft/WSL,Windows Subsystem for Linux,C++,32267,1718,11 stars today,OneBlue; benhillis; craigloewen-msft; Copilot; 49081
4,kamyu104/LeetCode-Solutions,https://github.com/kamyu104/LeetCode-Solutions,🏋️ Python / Modern C++ Solutions of All 3928 LeetCode Problems (Weekly Update),C++,5516,1724,53 stars today,kamyu104; sangheestyle; NYCGithub; RanceJen; archy-rock3t-cloud
5,google/googletest,https://github.com/google/googletest,GoogleTest - Google Testing and Mocking Framework,C++,38600,10769,7 stars today,gennadiycivil; derekmauro; kuzkry; copybara-github
6,NVIDIA/cutlass,https://github.com/NVIDIA/cutlass,CUDA Templates and Python DSLs for High-Performance Linear Algebra,C++,9722,1851,15 stars today,hwu36; kerrmudgeon; Junkai-Wu; fengxie; ANIKET-SHIVAM
7,grpc/grpc,https://github.com/grpc/grpc,"C++ based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",C++,44750,11167,6 stars today,ctiller; jtattermusch; markdroth; vjpai; yashykt
8,NVIDIA/nccl,https://github.com/NVIDIA/nccl,Optimized primitives for collective multi-GPU communication,C++,4703,1252,4 stars today,sjeaugey; borisfom; nv-lschneider; nluehr; kwen2501
9,deskflow/deskflow,https://github.com/deskflow/deskflow,Share a single keyboard and mouse between multiple computers.,C++,25766,4579,50 stars today,sithlord48; nbolton; Jnewbon; SerhiiGadzhilov; speaker
10,geo-tp/ESP32-Bit-Pirate,https://github.com/geo-tp/ESP32-Bit-Pirate,A Hardware Hacking Tool with Web-Based CLI That Speaks Every Protocol,C++,3158,266,12 stars today,geo-tp; AndreiVladescu; fdufnews; yashikada; AmorFati-coder
11,encounter/aurora,https://github.com/encounter/aurora,A source-level GameCube & Wii compatibility layer,C++,326,55,26 stars today,encounter; Antidote; PJB3005; magcius; dbalatoni13
12,ROCm/rocm-systems,https://github.com/ROCm/rocm-systems,super repo for rocm systems projects,C++,371,234,1 star today,lmoriche; kiritigowda; marifamd; dgaliffiAMD; AryanSalmanpour
13,ZLMediaKit/ZLMediaKit,https://github.com/ZLMediaKit/ZLMediaKit,WebRTC/RTSP/RTMP/HTTP/HLS/HTTP-FLV/WebSocket-FLV/HTTP-TS/HTTP-fMP4/WebSocket-TS/WebSocket-fMP4/GB28181/SRT/STUN/TURN server and client framework based on C++11,C++,17030,4027,9 stars today,xia-chu; xiongguangjie; wasphin; Dw9; alexliyu7352
14,MrNeRF/LichtFeld-Studio,https://github.com/MrNeRF/LichtFeld-Studio,"Train, inspect, edit, automate, and export 3D Gaussian Splatting scenes from a single native application.",C++,3023,325,11 stars today,MrNeRF; github-actions; miriameng; dozeri83; kmeirlaen
15,cemu-project/Cemu,https://github.com/cemu-project/Cemu,Cemu - Wii U emulator,C++,9341,828,12 stars today,Exzap; goeiecool9999; Crementif; Tillsunset; capitalistspz
16,ocornut/imgui,https://github.com/ocornut/imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,C++,73190,11764,31 stars today,ocornut; rokups; thedmd; cfillion; bkaradzic
17,zeldaret/tp,https://github.com/zeldaret/tp,Decompilation of The Legend of Zelda: Twilight Princess,C++,1835,184,8 stars today,Pheenoh; TakaRikka; hatal175; caseif; Jcw87
18,ton-blockchain/ton,https://github.com/ton-blockchain/ton,Main TON monorepo,C++,3999,1531,3 stars today,SpyCheese; EmelyanenkoK; DanShaders; tolk-vm; neodix42
19,tenstorrent/tt-metal,https://github.com/tenstorrent/tt-metal,"🤘 TT-NN operator library, and TT-Metalium low level kernel programming model.",C++,1449,436,1 star today,github-merge-queue; tt-rkim; tt-aho; blozano-tt; abhullar-tt
20,daijro/camoufox,https://github.com/daijro/camoufox,🦊 Anti-detect browser,C++,8294,703,38 stars today,daijro; heydryft; claude; icepaq; rubenvereecken
21,google/filament,https://github.com/google/filament,"Filament is a real-time physically based rendering engine for Android, iOS, Windows, Linux, macOS, and WebGL2",C++,20056,2178,5 stars today,pixelflinger; prideout; bejado; romainguy; poweifeng
