Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,111493,18452,549 stars today,ggerganov; ngxson; slaren; JohannesGaessler; CISC
2,google/flatbuffers,https://github.com/google/flatbuffers,FlatBuffers: Memory Efficient Serialization Library,C++,25968,3564,4 stars today,dbaileychess; aardappel; vglavnyy; rw; mustiikhalil
3,shadps4-emu/shadPS4,https://github.com/shadps4-emu/shadPS4,"PlayStation 4 emulator for Windows, Linux, macOS and FreeBSD written in C++",C++,31151,2163,26 stars today,georgemoralis; squidbus; raphaelthegreat; psucien; StevenMiller123
4,fmtlib/fmt,https://github.com/fmtlib/fmt,A modern formatting library,C++,23497,2884,5 stars today,vitaut; phprus; alexezeder; DanielaE; jk-jeon
5,lemonade-sdk/lemonade,https://github.com/lemonade-sdk/lemonade,Lemonade helps users discover and run local AI apps by serving optimized LLMs right from their own GPUs and NPUs. Join our discord: https://discord.gg/5xXzkMu8Zk,C++,4061,312,49 stars today,jeremyfowers; danielholanda; ramkrishna2910; claude; superm1
6,MaaAssistantArknights/MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",C++,21067,2623,31 stars today,MistEO; ABA2396; status102; Constrat; github-actions
7,LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,Self-hosted game stream host for Moonlight.,C++,37127,1939,37 stars today,ReenigneArcher; dependabot; cgutman; LizardByte-bot; loki-47-6F-64
8,opencv/opencv,https://github.com/opencv/opencv,Open Source Computer Vision Library,C++,87561,56580,25 stars today,alalek; asmorkalov; vpisarev; mshabunin; ilya-lavrenov
9,ikawrakow/ik_llama.cpp,https://github.com/ikawrakow/ik_llama.cpp,llama.cpp fork with additional SOTA quants and improved performance,C++,2501,321,17 stars today,ikawrakow; firecoperana; saood06; Nexesenex; 0cc4m
10,wazuh/wazuh,https://github.com/wazuh/wazuh,Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.,C++,15641,2306,12 stars today,vikman90; Dwordcito; TomasTurina; chemamartinez; juliancnn
11,PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,C++,23903,5996,6 stars today,reyoung; co63oc; luotao1; jacquesqiao; PaddleCI
12,google/re2,https://github.com/google/re2,"RE2 is a fast, safe, thread-friendly alternative to backtracking regular expression engines like those used in PCRE, Perl, and Python. It is a C++ library.",C++,9674,1226,3 stars today,junyer; rsc; tfarina; ckennelly; jserv
13,nlohmann/json,https://github.com/nlohmann/json,JSON for Modern C++,C++,49741,7396,9 stars today,nlohmann; dependabot; theodelrieu; falbrechtskirchinger; Teemperor
14,apache/arrow,https://github.com/apache/arrow,Apache Arrow is the universal columnar format and multi-language toolbox for fast data interchange and in-memory analytics,C++,16753,4110,3 stars today,kou; pitrou; wesm; kszucs; jorisvandenbossche
15,catchorg/Catch2,https://github.com/catchorg/Catch2,"A modern, C++-native, test framework for unit-tests, TDD and BDD - using C++14, C++17 and later (C++11 support is in v2.x branch, and C++03 on the Catch1.x branch)",C++,20389,3235,0 stars today,horenmar; philsquared; ChrisThrasher; claremacrae; JoeyGrajciar
16,envoyproxy/envoy,https://github.com/envoyproxy/envoy,Cloud-native high-performance edge/middle/service proxy,C++,28166,5387,50 stars today,dependabot; phlax; alyssawilk; mattklein123; junr03
17,pybind/pybind11,https://github.com/pybind/pybind11,Seamless operability between C++11 and Python,C++,17865,2305,3 stars today,wjakob; henryiii; rwgk; jagerman; pre-commit-ci
18,gabime/spdlog,https://github.com/gabime/spdlog,Fast C++ logging library.,C++,28786,5142,6 stars today,gabime; Gabi120; sylveon; DanielChabrowski; mguludag
