Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,Truly independent web browser,C++,63654,3060,21 stars today,awesomekling; trflynn89; AtkinsSJ; linusg; kalenikaliaksandr
2,telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,Telegram Desktop messaging app,C++,31936,6762,21 stars today,john-preston; 23rd; ilya-fedin; actions-user; claude
3,hyprwm/Hyprland,https://github.com/hyprwm/Hyprland,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks.",C++,36133,1778,22 stars today,vaxerski; fufexan; gulafaran; MightyPlaza; UjinT34
4,rime/weasel,https://github.com/rime/weasel,【小狼毫】Rime for Windows,C++,7341,709,16 stars today,lotem; fxliang; Prcuvu; nameoverflow; determ1ne
5,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,114049,19006,157 stars today,ggerganov; ngxson; slaren; JohannesGaessler; CISC
6,wolfpld/tracy,https://github.com/wolfpld/tracy,Frame profiler,C++,16065,1085,10 stars today,wolfpld; Lectem; slomp; mcourteaux; rokups
7,awalol/DS5Dongle,https://github.com/awalol/DS5Dongle,Turn your Pico 2 W into a DualSense 5 dongle.,C++,1545,108,16 stars today,awalol; TerryFrench; dereckhall; claude; Copilot
8,godotengine/godot,https://github.com/godotengine/godot,Godot Engine – Multi-platform 2D and 3D game engine,C++,111455,25495,56 stars today,akien-mga; Repiteo; reduz; Calinou; bruvzg
9,OpenRCT2/OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,An open source re-implementation of RollerCoaster Tycoon 2 🎢,C++,15751,1803,17 stars today,IntelOrca; Gymnasiast; duncanspumpkin; janisozaur; ZehMatt
10,shadps4-emu/shadPS4,https://github.com/shadps4-emu/shadPS4,"PlayStation 4 emulator for Windows, Linux, macOS and FreeBSD written in C++",C++,31233,2182,15 stars today,georgemoralis; squidbus; raphaelthegreat; psucien; StevenMiller123
11,x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,An open-source user mode debugger for Windows. Optimized for reverse engineering and malware analysis.,C++,48542,2751,22 stars today,mrexodia; torusrxxx; Nukem9; therealdreg; 3rdit
12,ocornut/imgui,https://github.com/ocornut/imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,C++,73594,11785,26 stars today,ocornut; rokups; thedmd; cfillion; bkaradzic
13,luau-lang/luau,https://github.com/luau-lang/luau,"A small, fast, and embeddable programming language based on Lua with a gradual type system.",C++,5575,585,4 stars today,zeux; vegorov-rbx; andyfriesen; Vighnesh-V; aatxe
14,amnezia-vpn/amnezia-client,https://github.com/amnezia-vpn/amnezia-client,Amnezia VPN Client (Desktop+Mobile),C++,12134,882,18 stars today,pokamest; Nethius; albexk; outspace; vkamn
15,wled/WLED,https://github.com/wled/WLED,Control WS2812B and many more types of digital RGB LEDs with an ESP32 over WiFi!,C++,18162,4185,7 stars today,blazoncek; Aircoookie; netmindz; softhack007; DedeHai
16,mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,Distribute and run LLMs with a single file.,C++,24590,1366,36 stars today,jart; cjpais; aittalam; stlhood; corebonts
17,godotengine/godot-cpp,https://github.com/godotengine/godot-cpp,C++ bindings for the Godot script API,C++,2540,770,1 star today,dsnopek; akien-mga; karroffel; BastiaanOlij; Faless
