Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,Distribute and run LLMs with a single file.,C++,24900,1390,42 stars today,jart; cjpais; aittalam; stlhood; corebonts
2,lemonade-sdk/lemonade,https://github.com/lemonade-sdk/lemonade,Lemonade helps users discover and run local AI apps by serving optimized LLMs right from their own GPUs and NPUs. Join our discord: https://discord.gg/5xXzkMu8Zk,C++,4329,339,39 stars today,jeremyfowers; claude; danielholanda; ramkrishna2910; superm1
3,LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,Self-hosted game stream host for Moonlight.,C++,38117,1991,205 stars today,ReenigneArcher; dependabot; cgutman; LizardByte-bot; loki-47-6F-64
4,opencv/opencv,https://github.com/opencv/opencv,Open Source Computer Vision Library,C++,88920,56641,54 stars today,alalek; asmorkalov; vpisarev; mshabunin; ilya-lavrenov
5,Tencent/rapidjson,https://github.com/Tencent/rapidjson,A fast JSON parser/generator for C++ with both SAX/DOM style API,C++,15087,3647,7 stars today,miloyip; pah; thebusytypist; ylavic; StilesCrisis
6,ml-explore/mlx,https://github.com/ml-explore/mlx,MLX: An array framework for Apple silicon,C++,26898,1890,66 stars today,angeloskath; zcbenz; jagrit06; barronalex; awni
7,isl-org/Open3D,https://github.com/isl-org/Open3D,Open3D: A Modern Library for 3D Data Processing,C++,13683,2578,6 stars today,syncle; takanokage; yxlao; qianyizh; errissa
8,argotorg/solidity,https://github.com/argotorg/solidity,"Solidity, the Smart Contract Programming Language",C++,25659,6122,1 star today,chriseth; axic; cameel; ekpyron; CJentzsch
9,WasmEdge/WasmEdge,https://github.com/WasmEdge/WasmEdge,"WasmEdge is a lightweight, high-performance, and extensible WebAssembly runtime for cloud native, edge, and decentralized applications. It powers serverless apps, embedded functions, microservices, smart contracts, and IoT devices.",C++,10637,1075,3 stars today,q82419; hydai; ibmibmibm; dm4; apepkuss
10,colmap/colmap,https://github.com/colmap/colmap,COLMAP - Structure-from-Motion and Multi-View Stereo,C++,11900,2031,6 stars today,ahojnnes; B1ueber2y; sarlinpe; anmatako; whuaegeanse
11,OrcaSlicer/OrcaSlicer,https://github.com/OrcaSlicer/OrcaSlicer,"G-code generator for 3D printers (Bambu, Prusa, Voron, VzBot, RatRig, Creality, etc.)",C++,14608,2612,14 stars today,SoftFever; Noisyfox; XinZhangBambu; walterwongbbl; zhimin-zeng-bambulab
12,FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,"Official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler.",C++,31473,5658,24 stars today,wwmayer; yorikvanhavre; chennes; berndhahnebach; WandererFan
13,microsoft/WSL,https://github.com/microsoft/WSL,Windows Subsystem for Linux,C++,32658,1752,22 stars today,OneBlue; benhillis; Copilot; craigloewen-msft; 49081
14,openscad/openscad,https://github.com/openscad/openscad,OpenSCAD - The Programmers Solid 3D CAD Modeller,C++,9562,1541,5 stars today,kintel; t-paul; donbright; thehans; MichaelPFrey
15,gabime/spdlog,https://github.com/gabime/spdlog,Fast C++ logging library.,C++,28898,5169,14 stars today,gabime; Gabi120; sylveon; DanielChabrowski; mguludag
16,nlohmann/json,https://github.com/nlohmann/json,JSON for Modern C++,C++,49914,7412,12 stars today,nlohmann; dependabot; theodelrieu; falbrechtskirchinger; Teemperor
17,imputnet/helium,https://github.com/imputnet/helium,"Private, fast, and honest web browser",C++,17205,444,52 stars today,wukko; dumbmoron; Ahrotahn; networkException; zemiakx
18,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,Tesseract Open Source OCR Engine (main repository),C++,74631,10654,35 stars today,stweil; egorpugin; zdenop; Shreeshrii; amitdo
19,catchorg/Catch2,https://github.com/catchorg/Catch2,"A modern, C++-native, test framework for unit-tests, TDD and BDD - using C++14, C++17 and later (C++11 support is in v2.x branch, and C++03 on the Catch1.x branch)",C++,20444,3238,7 stars today,horenmar; philsquared; ChrisThrasher; claremacrae; JoeyGrajciar
20,oceanbase/seekdb,https://github.com/oceanbase/seekdb,"The AI-native state store for agents. MySQL-compatible, embedded or server, hybrid vector + full-text search, COW sandboxes (FORK/MERGE).",C++,2725,252,17 stars today,footka; hnwyllmm; LINxiansheng; wyfanxiao; ep-12221
21,alibaba/zvec,https://github.com/alibaba/zvec,"A lightweight, lightning-fast, in-process vector database",C++,9778,566,3 stars today,iaojnh; feihongxu0824; egolearner; zhourrr; Cuiyus
22,NVIDIA/cutlass,https://github.com/NVIDIA/cutlass,CUDA Templates and Python DSLs for High-Performance Linear Algebra,C++,9882,1905,9 stars today,hwu36; kerrmudgeon; Junkai-Wu; fengxie; ANIKET-SHIVAM
23,NVIDIA/TensorRT,https://github.com/NVIDIA/TensorRT,NVIDIA® TensorRT™ is an SDK for high-performance deep learning inference on NVIDIA GPUs. This repository contains the open source components of TensorRT.,C++,13059,2375,4 stars today,rajeevsrao; kevinch-nv; shuyuelan; ttyio; pranavm-nvidia
