Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,gabime/spdlog,https://github.com/gabime/spdlog,Fast C++ logging library.,C++,28906,5172,9 stars today,gabime; Gabi120; sylveon; DanielChabrowski; mguludag
2,lemonade-sdk/lemonade,https://github.com/lemonade-sdk/lemonade,Lemonade helps users discover and run local AI apps by serving optimized LLMs right from their own GPUs and NPUs. Join our discord: https://discord.gg/5xXzkMu8Zk,C++,4357,339,23 stars today,jeremyfowers; claude; ramkrishna2910; superm1; danielholanda
3,react/react-native,https://github.com/react/react-native,A framework for building native applications using React,C++,126005,25175,20 stars today,reactjs-bot; mdvacca; shergin; cortinico; sammy-SC
4,carla-simulator/carla,https://github.com/carla-simulator/carla,Open-source simulator for autonomous driving research.,C++,14062,4596,3 stars today,nsubiron; bernatx; marcgpuig; Axel1092; DSantosO
5,UE4SS-RE/RE-UE4SS,https://github.com/UE4SS-RE/RE-UE4SS,"Injectable LUA scripting system, SDK generator, live property editor and other dumping utilities for UE4/5 games",C++,2559,424,4 stars today,narknon; UE4SS; Buckminsterfullerene02; localcc; trumank
6,Natfii/UnrealClaude,https://github.com/Natfii/UnrealClaude,Claude Code CLI integration for Unreal Engine 5.7 - Get AI coding assistance with built-in UE5.7 documentation context directly in the editor.,C++,724,112,22 stars today,Natfii; claude; lateralsummer; bearyjd; jondewoo
7,FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,"Official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler.",C++,31488,5660,15 stars today,wwmayer; yorikvanhavre; chennes; berndhahnebach; WandererFan
8,defold/defold,https://github.com/defold/defold,"Defold is a completely free to use game engine for development of desktop, mobile and web games.",C++,6109,438,3 stars today,JCash; matgis-king; britzl; AGulev; andsveking
9,canonical/multipass,https://github.com/canonical/multipass,Multipass orchestrates virtual Ubuntu instances,C++,9139,796,4 stars today,ricab; townsend2010; sharder996; xmkg; bors
10,ros-navigation/navigation2,https://github.com/ros-navigation/navigation2,ROS 2 Navigation Framework and System,C++,4342,1852,4 stars today,SteveMacenski; ruffsl; mhpanah; mini-1235; orduno
11,brave/brave-core,https://github.com/brave/brave-core,Core engine for the Brave browser for mobile and desktop. For issues https://github.com/brave/brave-browser/issues,C++,3330,1279,5 stars today,cdesouza-chromium; mkarolin; brave-builds; brave-browser-releases; tmancey
12,apple/foundationdb,https://github.com/apple/foundationdb,"FoundationDB - the open source, distributed, transactional key-value store",C++,16412,1513,5 stars today,etschannen; jzhou77; ajbeamon; tclinkenbeard-oai; sfc-gh-tclinkenbeard
13,ml-explore/mlx,https://github.com/ml-explore/mlx,MLX: An array framework for Apple silicon,C++,26939,1896,40 stars today,angeloskath; zcbenz; jagrit06; barronalex; awni
14,realsenseai/librealsense,https://github.com/realsenseai/librealsense,RealSense SDK,C++,8825,5009,3 stars today,maloel; dorodnic; Nir-Az; remibettan; aangerma
15,wazuh/wazuh,https://github.com/wazuh/wazuh,Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.,C++,15857,2342,6 stars today,vikman90; Dwordcito; TomasTurina; chemamartinez; juliancnn
16,Euro-Office/desktop-apps,https://github.com/Euro-Office/desktop-apps,Pas de description,C++,232,12,8 stars today,maxkadushkin; SimplestStudio; ayuzhin; Maria-Sukhova; K0R0L
17,amnezia-vpn/amnezia-client,https://github.com/amnezia-vpn/amnezia-client,Amnezia VPN Client (Desktop+Mobile),C++,12455,915,24 stars today,pokamest; Nethius; albexk; outspace; vkamn
18,ceph/ceph,https://github.com/ceph/ceph,"Ceph is a distributed object, block, and file storage platform",C++,16699,6418,4 stars today,liewegas; tchaikov; cbodley; batrick; yehudasa
19,MrNeRF/LichtFeld-Studio,https://github.com/MrNeRF/LichtFeld-Studio,"Train, inspect, edit, automate, and export 3D Gaussian Splatting scenes from a single native application.",C++,3218,357,11 stars today,MrNeRF; github-actions; miriameng; dozeri83; kmeirlaen
20,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format,C++,71351,16156,16 stars today,protobuf-github-bot; haberman; protobuf-team-bot; mkruskal-google; xfxyjwf
21,openscad/openscad,https://github.com/openscad/openscad,OpenSCAD - The Programmers Solid 3D CAD Modeller,C++,9572,1541,13 stars today,kintel; t-paul; donbright; thehans; MichaelPFrey
22,LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,Self-hosted game stream host for Moonlight.,C++,38157,1993,73 stars today,ReenigneArcher; dependabot; cgutman; LizardByte-bot; loki-47-6F-64
