Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,cifertech/ESP32-DIV,https://github.com/cifertech/ESP32-DIV,ESP32DIV is a multi-purpose wireless offensive and defensive toolkit powered by an ESP32,C++,3149,417,8 stars today,cifertech; prestarius; pangerlkr
2,carbon-language/carbon-lang,https://github.com/carbon-language/carbon-lang,"Carbon Language's main repository: documents, design, implementation, and related tools. (NOTE: Carbon Language is experimental; see README)",C++,33819,1537,13 stars today,zygoloid; chandlerc; danakj; jonmeow; josh11b
3,mixxxdj/mixxx,https://github.com/mixxxdj/mixxx,Mixxx is Free DJ software that gives you everything you need to perform live mixes.,C++,6824,1761,7 stars today,daschuer; rryan; uklotzde; Holzhaus; ronso0
4,azerothcore/azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,Complete Open Source and Modular solution for MMO,C++,8468,3466,4 stars today,github-actions; Nyeriah; Kitzunu; Gultask; FrancescoBorzi
5,SerenityOS/serenity,https://github.com/SerenityOS/serenity,The Serenity Operating System 🐞,C++,33470,3354,16 stars today,awesomekling; linusg; trflynn89; nico; AtkinsSJ
6,ocornut/imgui,https://github.com/ocornut/imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,C++,73846,11813,30 stars today,ocornut; rokups; thedmd; cfillion; bkaradzic
7,lballabio/QuantLib,https://github.com/lballabio/QuantLib,The QuantLib C++ library,C++,7246,2229,10 stars today,lballabio; fametrano; klausspanderen; pcaspers; marcin-rybacki
8,zeek/zeek,https://github.com/zeek/zeek,Zeek is a powerful network analysis framework that is much different from the typical IDS you may know.,C++,7723,1369,4 stars today,timwoj; jsiwek; rsmmr; awelzel; 0xxon
9,emscripten-core/emscripten,https://github.com/emscripten-core/emscripten,Emscripten: An LLVM-to-WebAssembly Compiler,C++,27422,3525,6 stars today,kripken; sbc100; juj; waywardmonkeys; aheejin
10,o3de/o3de,https://github.com/o3de/o3de,"Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators to build AAA games, cinema-quality 3D worlds, and high-fidelity simulations without any fees or commercial obligations.",C++,9372,2498,10 stars today,gadams3; cgalvan; amznestebanpapp; AMZN-daimini; AMZN-Gene
11,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree,C++,89422,39003,26 stars today,laanwj; fanquake; sipa; achow101; hebasto
12,UE4SS-RE/RE-UE4SS,https://github.com/UE4SS-RE/RE-UE4SS,"Injectable LUA scripting system, SDK generator, live property editor and other dumping utilities for UE4/5 games",C++,2567,425,6 stars today,narknon; UE4SS; Buckminsterfullerene02; localcc; trumank
13,luanti-org/luanti,https://github.com/luanti-org/luanti,Luanti (formerly Minetest) is an open source voxel game-creation platform with easy modding and game creation,C++,12979,2341,4 stars today,celeron55; sfan5; nerzhul; SmallJoker; paramat
14,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,195659,75181,27 stars today,tensorflower-gardener; ezhulenev; akuegel; hawkinsp; mihaimaruseac
15,diasurgical/DevilutionX,https://github.com/diasurgical/DevilutionX,Diablo build for modern operating systems,C++,9555,986,1 star today,AJenbo; glebm; qndel; StephenCWills; obligaron
16,f3d-app/f3d,https://github.com/f3d-app/f3d,Fast and minimalist 3D viewer.,C++,4493,422,22 stars today,mwestphal; Meakk; snoyer; noclone; Ni-g-3l
17,OrcaSlicer/OrcaSlicer,https://github.com/OrcaSlicer/OrcaSlicer,"G-code generator for 3D printers (Bambu, Prusa, Voron, VzBot, RatRig, Creality, etc.)",C++,14653,2630,18 stars today,SoftFever; Noisyfox; XinZhangBambu; walterwongbbl; zhimin-zeng-bambulab
18,kevinpbuckley/VibeUE,https://github.com/kevinpbuckley/VibeUE,Unreal Engine Vibe Coding tool,C++,285,73,14 stars today,kevinpbuckley; claude; Copilot; exetorius; tdashelby-cmyk
19,cemu-project/Cemu,https://github.com/cemu-project/Cemu,Cemu - Wii U emulator,C++,9449,851,1 star today,Exzap; goeiecool9999; Crementif; capitalistspz; Tillsunset
20,dolphin-emu/dolphin,https://github.com/dolphin-emu/dolphin,"Dolphin is a GameCube / Wii emulator, allowing you to play games for these two platforms on PC with improvements.",C++,15116,3118,3 stars today,lioncash; JosJuice; leoetlino; degasus; Sonicadvance1
21,brave/brave-core,https://github.com/brave/brave-core,Core engine for the Brave browser for mobile and desktop. For issues https://github.com/brave/brave-browser/issues,C++,3336,1284,4 stars today,cdesouza-chromium; mkarolin; brave-builds; brave-browser-releases; tmancey
22,Natfii/UnrealClaude,https://github.com/Natfii/UnrealClaude,Claude Code CLI integration for Unreal Engine 5.7 - Get AI coding assistance with built-in UE5.7 documentation context directly in the editor.,C++,749,119,13 stars today,Natfii; claude; lateralsummer; bearyjd; jondewoo
23,openthread/openthread,https://github.com/openthread/openthread,OpenThread released by Google is an open-source implementation of the Thread networking protocol,C++,3959,1178,2 stars today,abtink; jwhui; bukepo; simonlingoogle; librasungirl
24,esphome/esphome,https://github.com/esphome/esphome,"ESPHome is a system to control your ESP32, ESP8266, BK72xx, RP2040 by simple yet powerful configuration files and control them remotely through Home Automation systems.",C++,11246,5365,5 stars today,jesserockz; bdraco; OttoWinter; swoboda1337; dependabot
