Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,azerothcore/azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,Complete Open Source and Modular solution for MMO,C++,8473,3473,4 stars today,github-actions; Nyeriah; Kitzunu; Gultask; FrancescoBorzi
2,MaaAssistantArknights/MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",C++,21576,2676,21 stars today,MistEO; ABA2396; status102; Constrat; github-actions
3,alibaba/zvec,https://github.com/alibaba/zvec,"A lightweight, lightning-fast, in-process vector database",C++,10201,599,251 stars today,iaojnh; feihongxu0824; egolearner; zhourrr; Cuiyus
4,hrydgard/ppsspp,https://github.com/hrydgard/ppsspp,"A PSP emulator for Android, Windows, Mac, Linux and iOS, written in C++. Want to contribute? Join us on Discord at https://discord.gg/5NJB6dD or just send pull requests / issues.",C++,13963,2521,3 stars today,hrydgard; unknownbrackets; xsacha; thedax; sum2012
5,Natfii/UnrealClaude,https://github.com/Natfii/UnrealClaude,Claude Code CLI integration for Unreal Engine 5.7 - Get AI coding assistance with built-in UE5.7 documentation context directly in the editor.,C++,762,119,14 stars today,Natfii; claude; lateralsummer; bearyjd; jondewoo
6,official-stockfish/Stockfish,https://github.com/official-stockfish/Stockfish,A free and strong UCI chess engine,C++,15841,2920,13 stars today,mcostalba; vondele; FauziAkram; snicolet; Vizvezdenec
7,kevinpbuckley/VibeUE,https://github.com/kevinpbuckley/VibeUE,Unreal Engine Vibe Coding tool,C++,297,73,11 stars today,kevinpbuckley; claude; Copilot; exetorius; tdashelby-cmyk
8,musescore/MuseScore,https://github.com/musescore/MuseScore,"MuseScore is an open source and free music notation software. For support, contribution, bug reports, visit MuseScore.org. Fork and make pull requests!",C++,14730,3195,1 star today,RomanPudashkin; cbjeukendrup; lasconic; wschweer; igorkorsukov
9,dolphin-emu/dolphin,https://github.com/dolphin-emu/dolphin,"Dolphin is a GameCube / Wii emulator, allowing you to play games for these two platforms on PC with improvements.",C++,15123,3119,4 stars today,lioncash; JosJuice; leoetlino; degasus; Sonicadvance1
10,microsoft/terminal,https://github.com/microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",C++,103609,9346,21 stars today,DHowett; zadjii-msft; lhecker; carlos-zamora; miniksa
11,ton-blockchain/ton,https://github.com/ton-blockchain/ton,Main TON monorepo,C++,4045,1574,3 stars today,SpyCheese; EmelyanenkoK; DanShaders; tolk-vm; neodix42
12,mltframework/shotcut,https://github.com/mltframework/shotcut,"cross-platform (Qt), open-source (GPLv3) video editor",C++,14258,1401,1 star today,ddennedy; bmatherly; metellius; traprog; eszlari
13,brave/brave-core,https://github.com/brave/brave-core,Core engine for the Brave browser for mobile and desktop. For issues https://github.com/brave/brave-browser/issues,C++,3336,1285,3 stars today,cdesouza-chromium; mkarolin; brave-builds; brave-browser-releases; tmancey
14,justcallmekoko/ESP32Marauder,https://github.com/justcallmekoko/ESP32Marauder,A suite of WiFi/Bluetooth offensive and defensive tools for the ESP32,C++,11143,1287,9 stars today,justcallmekoko; H4W9; bmorcelli; trisp3ar; tracedgod
15,HIllya51/LunaTranslator,https://github.com/HIllya51/LunaTranslator,视觉小说翻译器 / Visual Novel Translator,C++,11924,1095,20 stars today,HIllya51; chlbc; claude; chaihahaha; skarL007
16,dragonflydb/dragonfly,https://github.com/dragonflydb/dragonfly,A modern replacement for Redis and Memcached,C++,30678,1189,25 stars today,romange; dranikpg; kostasrim; BorysTheDev; vyavdoshenko
17,UE4SS-RE/RE-UE4SS,https://github.com/UE4SS-RE/RE-UE4SS,"Injectable LUA scripting system, SDK generator, live property editor and other dumping utilities for UE4/5 games",C++,2573,425,8 stars today,narknon; UE4SS; Buckminsterfullerene02; localcc; trumank
18,audacity/audacity,https://github.com/audacity/audacity,Audio Editor,C++,17175,2570,8 stars today,Paul-Licameli; JamesCrook; lllucius; crsib; grliszas14
19,PCSX2/pcsx2,https://github.com/PCSX2/pcsx2,PCSX2 - The Playstation 2 Emulator,C++,14967,2012,8 stars today,gregory38; stenzek; refractionpcsx2; lightningterror; TellowKrinkle
20,futo-org/android-keyboard,https://github.com/futo-org/android-keyboard,Official FUTO Keyboard Issue Tracker and Source Mirror of https://gitlab.futo.org/keyboard/latinime,C++,2635,168,12 stars today,tgtakaoka; ksk9687; satok16; kep-google; abb128
21,electron/electron,https://github.com/electron/electron,"Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,121646,17252,17 stars today,zcbenz; kevinsawicki; codebytere; MarshallOfSound; nornagon
22,praydog/REFramework,https://github.com/praydog/REFramework,"Mod loader, scripting platform, and VR support for all RE Engine games",C++,5174,567,4 stars today,praydog; cursey; hcdd0304; angelfor3v3r; Strackeror
23,leejet/stable-diffusion.cpp,https://github.com/leejet/stable-diffusion.cpp,"Diffusion model(SD,Flux,Wan,Qwen Image,Z-Image,...) inference in pure C/C++",C++,6286,665,15 stars today,leejet; wbruna; stduhpf; rmatif; akleine
