Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,google/flatbuffers,https://github.com/google/flatbuffers,FlatBuffers: Memory Efficient Serialization Library,C++,26133,3594,15 stars today,dbaileychess; aardappel; vglavnyy; rw; mustiikhalil
2,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,195909,75189,46 stars today,tensorflower-gardener; ezhulenev; akuegel; hawkinsp; mihaimaruseac
3,grpc/grpc,https://github.com/grpc/grpc,"C++ based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",C++,44917,11161,8 stars today,ctiller; jtattermusch; markdroth; vjpai; yashykt
4,rizinorg/cutter,https://github.com/rizinorg/cutter,Free and Open Source Reverse Engineering Platform powered by rizin,C++,19165,1406,94 stars today,thestr4ng3r; xarkes; karliss; ITAYC0HEN; XVilka
5,HIllya51/LunaTranslator,https://github.com/HIllya51/LunaTranslator,视觉小说翻译器 / Visual Novel Translator,C++,12046,1102,31 stars today,HIllya51; chlbc; claude; chaihahaha; skarL007
6,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format,C++,71387,16165,11 stars today,protobuf-github-bot; haberman; protobuf-team-bot; mkruskal-google; xfxyjwf
7,mhogomchungu/media-downloader,https://github.com/mhogomchungu/media-downloader,"Media Downloader is a Qt/C++ front end to yt-dlp, youtube-dl, gallery-dl, lux, you-get, svtplay-dl, aria2c, wget and safari books..",C++,4758,323,27 stars today,mhogomchungu; bovirus; darkshram; wvxwxvw; Kicer86
8,vllm-project/vllm-ascend,https://github.com/vllm-project/vllm-ascend,Community maintained hardware plugin for vLLM on Ascend,C++,2284,1441,6 stars today,wangxiyuan; Potabk; MengqingCao; zhangxinyuehfad; Yikun
9,ggml-org/whisper.cpp,https://github.com/ggml-org/whisper.cpp,Port of OpenAI's Whisper model in C/C++,C++,50999,5694,35 stars today,ggerganov; jeffbolznv; JohannesGaessler; danbev; slaren
10,LibreSprite/LibreSprite,https://github.com/LibreSprite/LibreSprite,Animated sprite editor & pixel art tool -- Fork of the last GPLv2 commit of Aseprite,C++,7880,504,4 stars today,dacap; felipemanga; maujin111; Zughy; rautesamtr
11,ROCm/rocm-systems,https://github.com/ROCm/rocm-systems,super repo for rocm systems projects,C++,413,281,2 stars today,lmoriche; kiritigowda; marifamd; dgaliffiAMD; AryanSalmanpour
12,FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,"Official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler.",C++,31706,5690,21 stars today,wwmayer; yorikvanhavre; chennes; berndhahnebach; WandererFan
13,react/react-native,https://github.com/react/react-native,A framework for building native applications using React,C++,126065,25180,18 stars today,reactjs-bot; mdvacca; shergin; cortinico; sammy-SC
14,daijro/camoufox,https://github.com/daijro/camoufox,🦊 Anti-detect browser,C++,9528,814,25 stars today,daijro; heydryft; claude; icepaq; rubenvereecken
15,google/perfetto,https://github.com/google/perfetto,"Production-grade client-side tracing, profiling, and analysis for complex software systems.",C++,6129,811,3 stars today,LalitMaganti; primiano; chromy; fmayer; stevegolton
16,openvinotoolkit/openvino,https://github.com/openvinotoolkit/openvino,OpenVINO™ is an open source toolkit for optimizing and deploying AI inference,C++,10416,3259,4 stars today,ilya-lavrenov; rkazants; ilyachur; mvafin; dependabot
17,moonlight-stream/moonlight-qt,https://github.com/moonlight-stream/moonlight-qt,"GameStream client for PCs (Windows, Mac, Linux, and Steam Link)",C++,17630,1120,22 stars today,cgutman; raidancampbell; jorys-paulin; Kaitul; lyubomirv
18,juce-framework/JUCE,https://github.com/juce-framework/JUCE,"JUCE is an open-source cross-platform C++ application framework for desktop and mobile applications, including VST, VST3, AU, AUv3, LV2 and AAX audio plug-ins.",C++,8581,2108,4 stars today,reuk; ed95; julianstorer; hogliux; tpoole
19,fmtlib/fmt,https://github.com/fmtlib/fmt,A modern formatting library,C++,23622,2914,4 stars today,vitaut; phprus; alexezeder; DanielaE; dependabot
20,ai-dynamo/nixl,https://github.com/ai-dynamo/nixl,NVIDIA Inference Xfer Library (NIXL),C++,1100,356,4 stars today,aranadive; ovidiusm; mkhazraee; ColinNV; Alexey-Rivkin
21,zeux/meshoptimizer,https://github.com/zeux/meshoptimizer,Mesh optimization library that makes meshes smaller and faster to render,C++,7797,640,7 stars today,zeux; mosra; corporateshark; dtrebilco; l0calh05t
