Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,alibaba/zvec,https://github.com/alibaba/zvec,"A lightweight, lightning-fast, in-process vector database",C++,13573,830,382 stars today,iaojnh; feihongxu0824; egolearner; zhourrr; Cuiyus
2,Alexays/Waybar,https://github.com/Alexays/Waybar,Highly customizable Wayland bar for Sway and Wlroots based compositors. ✌️ 🎉,C++,11597,1115,7 stars today,Alexays; alebastr; khaneliman; LukashonakV; zjeffer
3,nlohmann/json,https://github.com/nlohmann/json,JSON for Modern C++,C++,50089,7419,13 stars today,nlohmann; dependabot; theodelrieu; falbrechtskirchinger; Teemperor
4,organicmaps/organicmaps,https://github.com/organicmaps/organicmaps,"🍃 Organic Maps is a free Android & iOS offline maps app for more than 6M travelers, tourists, hikers, and cyclists. It uses crowd-sourced OpenStreetMap data and is developed with love by the community. No ads, no tracking, no data collection, no crapware. Please donate to support the development!",C++,14645,1487,113 stars today,biodranik; vng; bykoianko; igrechuhin; alexzatsepin
5,juce-framework/JUCE,https://github.com/juce-framework/JUCE,"JUCE is an open-source cross-platform C++ application framework for desktop and mobile applications, including VST, VST3, AU, AUv3, LV2 and AAX audio plug-ins.",C++,8617,2118,9 stars today,reuk; ed95; julianstorer; hogliux; tpoole
6,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,196113,75326,100 stars today,tensorflower-gardener; ezhulenev; akuegel; hawkinsp; mihaimaruseac
7,tdlib/td,https://github.com/tdlib/td,Cross-platform library for building Telegram clients,C++,8919,2095,8 stars today,levlam; arseny30; AYMENJD; FrayxRulez; isopen
8,fmtlib/fmt,https://github.com/fmtlib/fmt,A modern formatting library,C++,23645,2919,3 stars today,vitaut; phprus; alexezeder; DanielaE; dependabot
9,hyprwm/Hyprland,https://github.com/hyprwm/Hyprland,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks.",C++,36644,1830,19 stars today,vaxerski; fufexan; gulafaran; MightyPlaza; UjinT34
10,barry-ran/QtScrcpy,https://github.com/barry-ran/QtScrcpy,Android real-time display control software,C++,30159,3599,56 stars today,barry-ran; yxtj; Ujhhgtg; liangent; ZXfkSIE
11,LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,Self-hosted game stream host for Moonlight.,C++,39004,2080,32 stars today,ReenigneArcher; dependabot; cgutman; LizardByte-bot; loki-47-6F-64
12,ggml-org/whisper.cpp,https://github.com/ggml-org/whisper.cpp,Port of OpenAI's Whisper model in C/C++,C++,51352,5729,43 stars today,ggerganov; jeffbolznv; JohannesGaessler; danbev; slaren
13,aseprite/aseprite,https://github.com/aseprite/aseprite,"Animated sprite editor & pixel art tool (Windows, macOS, Linux)",C++,37841,8291,22 stars today,dacap; martincapello; Gasparoken; ckaiser; iamOgunyinka
14,godotengine/godot,https://github.com/godotengine/godot,Godot Engine – Multi-platform 2D and 3D game engine,C++,113711,25899,51 stars today,akien-mga; Repiteo; reduz; Calinou; bruvzg
15,ml-explore/mlx,https://github.com/ml-explore/mlx,MLX: An array framework for Apple silicon,C++,27462,1978,20 stars today,angeloskath; zcbenz; jagrit06; barronalex; awni
16,openvinotoolkit/openvino.genai,https://github.com/openvinotoolkit/openvino.genai,Run Generative AI models with simple C++/Python API and using OpenVINO Runtime,C++,547,413,1 star today,Wovchena; ilya-lavrenov; dependabot; yatarkan; eaidova
17,qbittorrent/qBittorrent,https://github.com/qbittorrent/qBittorrent,qBittorrent BitTorrent client,C++,38632,4761,18 stars today,Chocobo1; sledgehammer999; glassez; Piccirello; zeule
18,qgis/QGIS,https://github.com/qgis/QGIS,"QGIS is a free, open source, cross platform (lin/win/mac) geographical information system (GIS)",C++,14037,3465,6 stars today,nyalldawson; m-kuhn; elpaso; jef-n; 3nids
19,telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,Telegram Desktop messaging app,C++,32274,6881,12 stars today,john-preston; 23rd; ilya-fedin; actions-user; claude
20,ihhub/fheroes2,https://github.com/ihhub/fheroes2,fheroes2 is a recreation of Heroes of Might and Magic II game engine,C++,3404,468,8 stars today,ihhub; oleg-derevenetz; github-actions; Districh-ru; idshibanov
