Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,78/xiaozhi-esp32,https://github.com/78/xiaozhi-esp32,An MCP-based chatbot | 一个基于MCP的聊天机器人,C++,28081,6333,40 stars today,78; Y1hsiaochunnn; laride; txp666; Kevincoooool
2,shadps4-emu/shadPS4,https://github.com/shadps4-emu/shadPS4,"PlayStation 4 emulator for Windows, Linux, macOS and FreeBSD written in C++",C++,31902,2304,67 stars today,georgemoralis; squidbus; raphaelthegreat; StevenMiller123; psucien
3,aseprite/aseprite,https://github.com/aseprite/aseprite,"Animated sprite editor & pixel art tool (Windows, macOS, Linux)",C++,37989,8359,19 stars today,dacap; martincapello; Gasparoken; ckaiser; iamOgunyinka
4,UE4SS-RE/RE-UE4SS,https://github.com/UE4SS-RE/RE-UE4SS,"Injectable LUA scripting system, SDK generator, live property editor and other dumping utilities for UE4/5 games",C++,2655,443,7 stars today,narknon; UE4SS; Buckminsterfullerene02; localcc; trumank
5,LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,Self-hosted game stream host for Moonlight.,C++,39203,2097,38 stars today,ReenigneArcher; dependabot; cgutman; LizardByte-bot; loki-47-6F-64
6,PCSX2/pcsx2,https://github.com/PCSX2/pcsx2,PCSX2 - The Playstation 2 Emulator,C++,15131,2059,8 stars today,gregory38; stenzek; refractionpcsx2; lightningterror; TellowKrinkle
7,optiscaler/OptiScaler,https://github.com/optiscaler/OptiScaler,"OptiScaler bridges upscaling/frame gen across GPUs. Supports DLSS2+/XeSS/FSR2+ inputs, replaces native upscalers, enables FSR-FG/XeFG on non-FG titles. Supports Nukem mod for DLSSG-to-FSR3 FG.",C++,9224,336,31 stars today,cdozdil; FakeMichau; TheRazerMD; MapleHinata; CetinOzdil
8,stenzek/duckstation,https://github.com/stenzek/duckstation,Fast PlayStation 1 emulator for x86-64/AArch32/AArch64/RV64,C++,10409,938,9 stars today,stenzek; andercard0; Pesa; zkdpower; ggrtk
9,catchorg/Catch2,https://github.com/catchorg/Catch2,"A modern, C++-native, test framework for unit-tests, TDD and BDD - using C++14, C++17 and later (C++11 support is in v2.x branch, and C++03 on the Catch1.x branch)",C++,21289,3447,18 stars today,horenmar; philsquared; ChrisThrasher; claremacrae; JoeyGrajciar
10,dolphin-emu/dolphin,https://github.com/dolphin-emu/dolphin,"Dolphin is a GameCube / Wii emulator, allowing you to play games for these two platforms on PC with improvements.",C++,15255,3159,2 stars today,lioncash; JosJuice; leoetlino; degasus; Sonicadvance1
11,CleverRaven/Cataclysm-DDA,https://github.com/CleverRaven/Cataclysm-DDA,Cataclysm - Dark Days Ahead. A turn-based survival game set in a post-apocalyptic world.,C++,12620,4551,4 stars today,ZhilkinSerg; kevingranade; Rivet-the-Zombie; Maleclypse; BevapDin
12,MaaAssistantArknights/MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",C++,21880,2713,17 stars today,MistEO; ABA2396; status102; Constrat; github-actions
13,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,120277,20557,125 stars today,ggerganov; ngxson; CISC; slaren; JohannesGaessler
14,tnodir/fort,https://github.com/tnodir/fort,Fort Firewall for Windows,C++,3331,229,52 stars today,tnodir; coolvitto; goldsourcelabs; taozhiyu; dashke
15,dalathegreat/Battery-Emulator,https://github.com/dalathegreat/Battery-Emulator,This revolutionary software enables EV battery packs to be easily reused for stationary storage in combination with solar inverters,C++,2777,372,3 stars today,dalathegreat; kyberias; nagyrobi; pre-commit-ci; lenvm
16,wesnoth/wesnoth,https://github.com/wesnoth/wesnoth,"An open source, turn-based strategy game with a high fantasy theme.",C++,6770,1216,4 stars today,Vultraz; ivanovic; mordante; irydacea; eric-s-raymond
17,scylladb/scylladb,https://github.com/scylladb/scylladb,"NoSQL data store using the Seastar framework, compatible with Apache Cassandra and Amazon DynamoDB",C++,15650,1508,5 stars today,avikivity; tgrabiec; denesb; xemul; bhalevy
18,zeux/meshoptimizer,https://github.com/zeux/meshoptimizer,Mesh optimization library that makes meshes smaller and faster to render,C++,8194,788,16 stars today,zeux; mosra; corporateshark; dtrebilco; l0calh05t
19,PrismLauncher/PrismLauncher,https://github.com/PrismLauncher/PrismLauncher,A custom launcher for Minecraft that allows you to easily manage multiple installations of Minecraft at once (Fork of MultiMC),C++,9866,1431,11 stars today,Trial97; peterix; Scrumplex; TheKodeToad; flowln
20,cemu-project/Cemu,https://github.com/cemu-project/Cemu,Cemu - Wii U emulator,C++,9548,881,4 stars today,Exzap; goeiecool9999; Crementif; capitalistspz; Tillsunset
21,notepad-plus-plus/notepad-plus-plus,https://github.com/notepad-plus-plus/notepad-plus-plus,Notepad++ official repository,C++,28682,5293,11 stars today,donho; ozone10; xomx; SinghRajenM; chcg
22,sdatkinson/NeuralAmpModelerPlugin,https://github.com/sdatkinson/NeuralAmpModelerPlugin,Plugin for Neural Amp Modeler,C++,2823,249,19 stars today,sdatkinson; olilarkin; mikeoliphant; fichl; Khalian
