Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,justcallmekoko/ESP32Marauder,https://github.com/justcallmekoko/ESP32Marauder,A suite of WiFi/Bluetooth offensive and defensive tools for the ESP32,C++,11783,1371,14 stars today,justcallmekoko; H4W9; bmorcelli; trisp3ar; evilpete
2,MaaAssistantArknights/MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",C++,22259,2746,26 stars today,MistEO; ABA2396; status102; Constrat; github-actions
3,ggml-org/whisper.cpp,https://github.com/ggml-org/whisper.cpp,Port of OpenAI's Whisper model in C/C++,C++,52533,5976,37 stars today,ggerganov; jeffbolznv; JohannesGaessler; danbev; slaren
4,geo-tp/ESP32-Bit-Pirate,https://github.com/geo-tp/ESP32-Bit-Pirate,A Hardware Hacking Tool with Web-Based CLI That Speaks Every Protocol,C++,5298,424,32 stars today,geo-tp; AndreiVladescu; fdufnews; yashikada; AmorFati-coder
5,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,122477,21260,129 stars today,ggerganov; ngxson; CISC; slaren; JohannesGaessler
6,sz3/libcimbar,https://github.com/sz3/libcimbar,Optimized implementation for color-icon-matrix barcodes,C++,6277,457,20 stars today,sz3; Octopus058; xPeiPeix; wyjss; notune
7,grpc/grpc,https://github.com/grpc/grpc,"C++ based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",C++,45239,11313,7 stars today,ctiller; jtattermusch; markdroth; vjpai; yashykt
8,godotengine/godot,https://github.com/godotengine/godot,Godot Engine – Multi-platform 2D and 3D game engine,C++,114974,26208,45 stars today,akien-mga; Repiteo; reduz; Calinou; bruvzg
9,PrismLauncher/PrismLauncher,https://github.com/PrismLauncher/PrismLauncher,A custom launcher for Minecraft that allows you to easily manage multiple installations of Minecraft at once (Fork of MultiMC),C++,10028,1474,18 stars today,Trial97; peterix; Scrumplex; TheKodeToad; flowln
10,chriskohlhoff/asio,https://github.com/chriskohlhoff/asio,Asio C++ Library,C++,6146,1499,3 stars today,chriskohlhoff; klemens-morgenstern; xavier2k6; vinipsmaker; jcelerier
11,optiscaler/OptiScaler,https://github.com/optiscaler/OptiScaler,"OptiScaler bridges upscaling/frame gen across GPUs. Supports DLSS2+/XeSS/FSR2+ inputs, replaces native upscalers, enables FSR-FG/XeFG on non-FG titles. Supports Nukem mod for DLSSG-to-FSR3 FG.",C++,9615,348,19 stars today,cdozdil; FakeMichau; TheRazerMD; MapleHinata; CetinOzdil
12,qbittorrent/qBittorrent,https://github.com/qbittorrent/qBittorrent,qBittorrent BitTorrent client,C++,39206,4805,29 stars today,Chocobo1; sledgehammer999; glassez; Piccirello; zeule
13,rizinorg/cutter,https://github.com/rizinorg/cutter,Free and Open Source Reverse Engineering Platform powered by rizin,C++,19428,1430,3 stars today,thestr4ng3r; xarkes; karliss; ITAYC0HEN; XVilka
14,jrouwe/JoltPhysics,https://github.com/jrouwe/JoltPhysics,A multi core friendly rigid body physics and collision detection library. Written in C++. Suitable for games and VR applications. Used by Horizon Forbidden West and Death Stranding 2.,C++,11222,889,15 stars today,jrouwe; mihe; dependabot; stephengold; SirLynix
15,nasa/fprime,https://github.com/nasa/fprime,F´ - A flight software and embedded systems framework,C++,11611,1760,7 stars today,LeStarch; bocchino; timcanham; jsoref; thomas-bc
16,lightvector/KataGo,https://github.com/lightvector/KataGo,GTP engine and self-play learning in Go,C++,4903,737,9 stars today,lightvector; ChinChangYang; claude; hyln9; KvanTTT
17,barry-ran/QtScrcpy,https://github.com/barry-ran/QtScrcpy,Android real-time display control software,C++,30860,3660,37 stars today,barry-ran; yxtj; Ujhhgtg; liangent; mo2g
18,ArduPilot/ardupilot,https://github.com/ArduPilot/ardupilot,"ArduPlane, ArduCopter, ArduRover, ArduSub source",C++,15601,21156,9 stars today,peterbarker; tridge; rmackay9; IamPete1; andyp1per
19,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree,C++,89751,39188,8 stars today,laanwj; fanquake; achow101; sipa; hebasto
