Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,official-stockfish/Stockfish,https://github.com/official-stockfish/Stockfish,A free and strong UCI chess engine,C++,16219,2968,8 stars today,mcostalba; vondele; FauziAkram; snicolet; Vizvezdenec
2,MaaAssistantArknights/MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",C++,22289,2750,33 stars today,MistEO; ABA2396; status102; Constrat; github-actions
3,doitsujin/dxvk,https://github.com/doitsujin/dxvk,"Vulkan-based implementation of D3D8, 9, 10 and 11 for Linux / Wine",C++,17775,1188,9 stars today,doitsujin; misyltoad; K0bin; WinterSnowfall; Blisto91
4,CleverRaven/Cataclysm-DDA,https://github.com/CleverRaven/Cataclysm-DDA,Cataclysm - Dark Days Ahead. A turn-based survival game set in a post-apocalyptic world.,C++,12851,4586,6 stars today,ZhilkinSerg; kevingranade; Rivet-the-Zombie; Maleclypse; BevapDin
5,78/xiaozhi-esp32,https://github.com/78/xiaozhi-esp32,An MCP-based chatbot | 一个基于MCP的聊天机器人,C++,28618,6511,57 stars today,78; Y1hsiaochunnn; laride; txp666; Kevincoooool
6,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,122599,21288,162 stars today,ggerganov; ngxson; CISC; slaren; JohannesGaessler
7,qbittorrent/qBittorrent,https://github.com/qbittorrent/qBittorrent,qBittorrent BitTorrent client,C++,39228,4809,29 stars today,Chocobo1; sledgehammer999; glassez; Piccirello; zeule
8,TrinityCore/TrinityCore,https://github.com/TrinityCore/TrinityCore,"TrinityCore Open Source MMO Framework (master = 12.0.7.68887, 3.3.5 = 3.3.5a.12340, cata classic = 4.4.2.60895)",C++,10700,6361,2 stars today,Shauren; Aokromes; Vincent-Michael; DDuarte; Killyana
9,ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,ClickHouse® is a real-time analytics database management system,C++,49036,8733,26 stars today,alexey-milovidov; claude; alesapin; KochetovNicolai; azat
10,azerothcore/azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,Complete Open Source and Modular solution for MMO,C++,8715,3610,8 stars today,github-actions; Nyeriah; Kitzunu; Gultask; FrancescoBorzi
11,ValveSoftware/Proton,https://github.com/ValveSoftware/Proton,Compatibility tool for Steam Play based on Wine and additional components,C++,32436,1558,16 stars today,aeikum; rbernon; ivyl; alasky17; madewokherd
12,shadps4-emu/shadPS4,https://github.com/shadps4-emu/shadPS4,"PlayStation 4 emulator for Windows, Linux, macOS and FreeBSD written in C++",C++,32363,2381,14 stars today,georgemoralis; squidbus; raphaelthegreat; StevenMiller123; psucien
13,wled/WLED,https://github.com/wled/WLED,Control WS2812B and many more types of digital RGB LEDs with an ESP32 over WiFi!,C++,18500,4284,6 stars today,blazoncek; Aircoookie; softhack007; netmindz; DedeHai
14,barry-ran/QtScrcpy,https://github.com/barry-ran/QtScrcpy,Android real-time display control software,C++,30877,3666,19 stars today,barry-ran; yxtj; Ujhhgtg; liangent; mo2g
15,PrismLauncher/PrismLauncher,https://github.com/PrismLauncher/PrismLauncher,A custom launcher for Minecraft that allows you to easily manage multiple installations of Minecraft at once (Fork of MultiMC),C++,10034,1474,5 stars today,Trial97; peterix; Scrumplex; TheKodeToad; flowln
16,OrcaSlicer/OrcaSlicer,https://github.com/OrcaSlicer/OrcaSlicer,"G-code generator for 3D printers (Bambu, Prusa, Voron, VzBot, RatRig, Creality, etc.)",C++,15316,2846,15 stars today,SoftFever; Noisyfox; XinZhangBambu; walterwongbbl; zhimin-zeng-bambulab
17,luau-lang/luau,https://github.com/luau-lang/luau,"A small, fast, and embeddable programming language based on Lua with a gradual type system.",C++,5731,610,5 stars today,zeux; vegorov-rbx; andyfriesen; Vighnesh-V; aatxe
18,imputnet/helium,https://github.com/imputnet/helium,"Private, fast, and honest web browser",C++,19090,515,37 stars today,wukko; dumbmoron; Ahrotahn; networkException; zemiakx
19,optiscaler/OptiScaler,https://github.com/optiscaler/OptiScaler,"OptiScaler bridges upscaling/frame gen across GPUs. Supports DLSS2+/XeSS/FSR2+ inputs, replaces native upscalers, enables FSR-FG/XeFG on non-FG titles. Supports Nukem mod for DLSSG-to-FSR3 FG.",C++,9628,351,8 stars today,cdozdil; FakeMichau; TheRazerMD; MapleHinata; CetinOzdil
20,OpenRCT2/OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,An open source re-implementation of RollerCoaster Tycoon 2 🎢,C++,16036,1863,6 stars today,IntelOrca; Gymnasiast; duncanspumpkin; janisozaur; ZehMatt
21,stenzek/duckstation,https://github.com/stenzek/duckstation,Fast PlayStation 1 emulator for x86-64/AArch32/AArch64/RV64,C++,10495,948,4 stars today,stenzek; andercard0; Pesa; zkdpower; ggrtk
22,ceph/ceph,https://github.com/ceph/ceph,"Ceph is a distributed object, block, and file storage platform",C++,16892,6459,6 stars today,liewegas; tchaikov; cbodley; batrick; yehudasa
