Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,Distribute and run LLMs with a single file.,C++,25614,1553,26 stars today,jart; aittalam; cjpais; stlhood; corebonts
2,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,124216,21786,152 stars today,ggerganov; ngxson; CISC; slaren; JohannesGaessler
3,ArthurSonzogni/FTXUI,https://github.com/ArthurSonzogni/FTXUI,💻 C++ Functional Terminal User Interface. ❤️,C++,10559,611,9 stars today,ArthurSonzogni; mauve; tusharpm; LostInCompilation; clement-roblot
4,azerothcore/azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,Complete Open Source and Modular solution for MMO,C++,8784,3664,1 star today,github-actions; Nyeriah; Kitzunu; Gultask; sogladev
5,sal063/AC6_recomp,https://github.com/sal063/AC6_recomp,static Recomp of AC6 with Rexglue,C++,368,13,56 stars today,Danshet; sal063; ggmini; rapidsamphire; Schryzon
6,deepseek-ai/3FS,https://github.com/deepseek-ai/3FS,A high-performance distributed file system designed to address the challenges of AI training and inference workloads.,C++,10135,1081,12 stars today,SF-Zhou; yiyuanliu; huww98; qieqieplus; KuribohG
7,amnezia-vpn/amnezia-client,https://github.com/amnezia-vpn/amnezia-client,Amnezia VPN Client (Desktop+Mobile),C++,14487,1086,19 stars today,pokamest; Nethius; vkamn; albexk; outspace
8,ClassicOldSong/Apollo,https://github.com/ClassicOldSong/Apollo,Sunshine fork - The easiest way to stream with the native resolution of your client device,C++,10570,399,9 stars today,ReenigneArcher; cgutman; ClassicOldSong; dependabot; loki-47-6F-64
9,wazuh/wazuh,https://github.com/wazuh/wazuh,Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.,C++,16550,2440,14 stars today,vikman90; TomasTurina; Dwordcito; chemamartinez; juliancnn
10,fooyin/fooyin,https://github.com/fooyin/fooyin,A customisable music player,C++,2199,94,7 stars today,ludouzi; lstrsrt; weblate; fooyin-bot; khagaroth
11,kiwibrowser/src.next,https://github.com/kiwibrowser/src.next,"Source-code for Kiwi Next, a Kiwi Browser auto-rebased with latest Chromium",C++,3951,696,3 stars today,kiwibrowser; Delphox; d3ward; DUOLabs333; github-actions
12,LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,Self-hosted game stream host for Moonlight.,C++,40234,2026,28 stars today,ReenigneArcher; dependabot; cgutman; LizardByte-bot; loki-47-6F-64
13,azahar-emu/azahar,https://github.com/azahar-emu/azahar,An open-source 3DS emulator project based on Citra.,C++,7894,613,13 stars today,bunnei; wwylele; lioncash; OpenSauce04; yuriks
14,official-stockfish/Stockfish,https://github.com/official-stockfish/Stockfish,A free and strong UCI chess engine,C++,16339,2982,8 stars today,mcostalba; vondele; FauziAkram; snicolet; Vizvezdenec
15,cifertech/ESP32-DIV,https://github.com/cifertech/ESP32-DIV,ESP32DIV is a multi-purpose wireless offensive and defensive toolkit powered by an ESP32,C++,3755,519,10 stars today,cifertech; claude; baugusto; boberbyte; megaman49
16,quickshell-mirror/quickshell,https://github.com/quickshell-mirror/quickshell,"Flexible toolkit for making desktop shells with QtQuick, for Wayland and X11",C++,2779,175,11 stars today,outfoxxed; bbedward; cpwrs; kossLAN; charlesrocket
17,huxingyi/autoremesher,https://github.com/huxingyi/autoremesher,Automatic quad remeshing tool,C++,3221,221,12 stars today,huxingyi; Plixo2; mvanhorn; Kwizatz; animaone
