Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,petercorke/robotics-toolbox-python,https://github.com/petercorke/robotics-toolbox-python,Robotics Toolbox for Python,C++,3388,614,24 stars today,jhavl; petercorke; micah-huth; actions-user; claude
2,awalol/DS5Dongle,https://github.com/awalol/DS5Dongle,Turn your Pico 2 W into a DualSense 5 dongle.,C++,2559,167,12 stars today,awalol; up2urheadlights; claude; TerryFrench; dereckhall
3,NVIDIA/cuda-samples,https://github.com/NVIDIA/cuda-samples,Samples for CUDA Developers which demonstrates features in CUDA Toolkit,C++,9515,2403,23 stars today,rwarmstr; XSShawnZeng; mdoijade; Ru7w1k; jnbntz
4,vllm-project/vllm-ascend,https://github.com/vllm-project/vllm-ascend,Community maintained hardware plugin for vLLM on Ascend,C++,2662,2069,13 stars today,wangxiyuan; Potabk; zhangxinyuehfad; MengqingCao; Yikun
5,aristocratos/btop,https://github.com/aristocratos/btop,A monitor of resources,C++,34079,1129,41 stars today,aristocratos; deckstose; kz6fittycent; renovate; vandabbin
6,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree,C++,89938,39302,10 stars today,laanwj; fanquake; achow101; sipa; hebasto
7,wazuh/wazuh,https://github.com/wazuh/wazuh,Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.,C++,16593,2445,27 stars today,vikman90; TomasTurina; Dwordcito; chemamartinez; juliancnn
8,electron/electron,https://github.com/electron/electron,"Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,122565,17427,79 stars today,zcbenz; kevinsawicki; codebytere; MarshallOfSound; nornagon
9,gabime/spdlog,https://github.com/gabime/spdlog,Fast C++ logging library.,C++,29492,5391,7 stars today,gabime; Gabi120; sylveon; DanielChabrowski; mguludag
10,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,124557,21878,188 stars today,ggerganov; ngxson; CISC; slaren; JohannesGaessler
11,argotorg/solidity,https://github.com/argotorg/solidity,"Solidity, the Smart Contract Programming Language",C++,25703,6145,2 stars today,chriseth; axic; cameel; ekpyron; clonker
12,emscripten-core/emscripten,https://github.com/emscripten-core/emscripten,Emscripten: An LLVM-to-WebAssembly Compiler,C++,27571,3537,5 stars today,kripken; sbc100; juj; waywardmonkeys; aheejin
13,Tencent/ncnn,https://github.com/Tencent/ncnn,ncnn is a high-performance neural network inference framework optimized for the mobile platform,C++,23712,4481,8 stars today,nihui; dependabot; zchrissirhcz; BUG1989; tpoisonooo
14,TrinityCore/TrinityCore,https://github.com/TrinityCore/TrinityCore,"TrinityCore Open Source MMO Framework (master = 12.0.7.68974, 3.3.5 = 3.3.5a.12340, cata classic = 4.4.2.60895)",C++,10730,6372,6 stars today,Shauren; Aokromes; Vincent-Michael; DDuarte; Killyana
15,luau-lang/luau,https://github.com/luau-lang/luau,"A small, fast, and embeddable programming language based on Lua with a gradual type system.",C++,5777,617,10 stars today,zeux; vegorov-rbx; andyfriesen; Vighnesh-V; aatxe
16,SpacehuhnTech/WiFiDuck,https://github.com/SpacehuhnTech/WiFiDuck,Wireless keystroke injection attack platform,C++,3242,475,30 stars today,jLynx; deantonious; nc-wbb; the-Jamz; LiJu09
17,open-telemetry/opentelemetry-cpp,https://github.com/open-telemetry/opentelemetry-cpp,The OpenTelemetry C++ Client,C++,1345,602,3 stars today,lalitb; ThomsonTan; marcalff; dependabot; esigo
18,crawl/crawl,https://github.com/crawl/crawl,Dungeon Crawl: Stone Soup official repository,C++,2957,1648,1 star today,kilobyte; PleasingFungus; neilmoore; rawlins; DracoOmega
