Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format,C++,71771,16236,4 stars today,protobuf-github-bot; haberman; protobuf-team-bot; mkruskal-google; xfxyjwf
2,microsoft/onnxruntime,https://github.com/microsoft/onnxruntime,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",C++,21453,4149,5 stars today,tianleiwu; fs-eire; edgchen1; skottmckay; yuslepukhin
3,google/flatbuffers,https://github.com/google/flatbuffers,FlatBuffers: Memory Efficient Serialization Library,C++,26385,3625,23 stars today,dbaileychess; aardappel; vglavnyy; rw; mustiikhalil
4,esphome/esphome,https://github.com/esphome/esphome,"ESPHome is a system to control your ESP32, ESP8266, BK72xx, RP2040 by simple yet powerful configuration files and control them remotely through Home Automation systems.",C++,11574,5564,6 stars today,bdraco; jesserockz; OttoWinter; swoboda1337; dependabot
5,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,Tesseract Open Source OCR Engine (main repository),C++,76094,10766,48 stars today,stweil; egorpugin; zdenop; Shreeshrii; amitdo
6,envoyproxy/envoy,https://github.com/envoyproxy/envoy,Cloud-native high-performance edge/middle/service proxy,C++,28808,5568,3 stars today,phlax; dependabot; alyssawilk; mattklein123; junr03
7,78/xiaozhi-esp32,https://github.com/78/xiaozhi-esp32,An MCP-based chatbot | 一个基于MCP的聊天机器人,C++,29068,6706,23 stars today,78; Y1hsiaochunnn; laride; txp666; Kevincoooool
8,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,125050,22002,169 stars today,ggerganov; ngxson; CISC; slaren; JohannesGaessler
9,openvinotoolkit/openvino,https://github.com/openvinotoolkit/openvino,OpenVINO™ is an open source toolkit for optimizing and deploying AI inference,C++,10691,3328,7 stars today,ilya-lavrenov; rkazants; ilyachur; mvafin; dependabot
10,OpenHD/OpenHD,https://github.com/OpenHD/OpenHD,OpenHD,C++,2631,425,70 stars today,Consti10; raphaelscholle; steveatinfincia; pilotnbr1; user1321
11,flyinghead/flycast,https://github.com/flyinghead/flycast,"Flycast is a multiplatform Sega Dreamcast, Naomi, Naomi 2 and Atomiswave emulator",C++,2476,315,10 stars today,flyinghead; AbandonedCart; scribam; Holzhaus; skmp
