Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,197375,76116,58 stars today,tensorflower-gardener; ezhulenev; akuegel; hawkinsp; mihaimaruseac
2,ValveSoftware/Proton,https://github.com/ValveSoftware/Proton,Compatibility tool for Steam Play based on Wine and additional components,C++,32627,1576,13 stars today,aeikum; rbernon; ivyl; alasky17; madewokherd
3,microsoft/onnxruntime,https://github.com/microsoft/onnxruntime,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",C++,21612,4162,11 stars today,tianleiwu; fs-eire; edgchen1; skottmckay; yuslepukhin
4,optiscaler/OptiScaler,https://github.com/optiscaler/OptiScaler,"OptiScaler bridges upscaling/frame gen across GPUs. Supports DLSS2+/XeSS/FSR2+ inputs, replaces native upscalers, enables FSR-FG/XeFG on non-FG titles. Supports Nukem mod for DLSSG-to-FSR3 FG.",C++,9926,368,18 stars today,cdozdil; FakeMichau; TheRazerMD; MapleHinata; CetinOzdil
5,official-stockfish/Stockfish,https://github.com/official-stockfish/Stockfish,A free and strong UCI chess engine,C++,16392,2992,12 stars today,mcostalba; vondele; FauziAkram; snicolet; Vizvezdenec
6,ocornut/imgui,https://github.com/ocornut/imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,C++,75833,12022,23 stars today,ocornut; rokups; thedmd; cfillion; bkaradzic
7,FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,"Official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler.",C++,33035,5930,19 stars today,wwmayer; yorikvanhavre; chennes; berndhahnebach; WandererFan
8,justcallmekoko/ESP32Marauder,https://github.com/justcallmekoko/ESP32Marauder,A suite of WiFi/Bluetooth offensive and defensive tools for the ESP32,C++,12092,1427,16 stars today,justcallmekoko; H4W9; bmorcelli; trisp3ar; evilpete
9,amnezia-vpn/amnezia-client,https://github.com/amnezia-vpn/amnezia-client,Amnezia VPN Client (Desktop+Mobile),C++,14606,1094,21 stars today,pokamest; Nethius; vkamn; albexk; outspace
10,cifertech/ESP32-DIV,https://github.com/cifertech/ESP32-DIV,ESP32DIV is a multi-purpose wireless offensive and defensive toolkit powered by an ESP32,C++,3852,531,27 stars today,cifertech; claude; baugusto; boberbyte; megaman49
11,hyprwm/Hyprland,https://github.com/hyprwm/Hyprland,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks.",C++,38121,1943,50 stars today,vaxerski; fufexan; gulafaran; MightyPlaza; UjinT34
12,geo-tp/ESP32-Bit-Pirate,https://github.com/geo-tp/ESP32-Bit-Pirate,A Hardware Hacking Tool with Web-Based CLI That Speaks Every Protocol,C++,5608,460,48 stars today,geo-tp; AndreiVladescu; fdufnews; 82ghost82; yashikada
13,telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,Telegram Desktop messaging app,C++,32707,7124,30 stars today,john-preston; 23rd; ilya-fedin; claude; actions-user
14,ran-j/PS2Recomp,https://github.com/ran-j/PS2Recomp,Playstation 2 Static Recompiler & Runtime Tool to make native PC ports,C++,3192,119,4 stars today,ran-j; Whoneon; smmathews; playmer; xms0g
15,LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,Self-hosted game stream host for Moonlight.,C++,40474,2050,39 stars today,ReenigneArcher; dependabot; cgutman; LizardByte-bot; loki-47-6F-64
16,assimp/assimp,https://github.com/assimp/assimp,The official Open-Asset-Importer-Library Repository. Loads 40+ 3D-file-formats into one unified and clean data structure.,C++,13157,3218,4 stars today,kimkulling; acgessler; turol; RichardTea; matyrr-havok
17,Alexays/Waybar,https://github.com/Alexays/Waybar,Highly customizable Wayland bar for Sway and Wlroots based compositors. ✌️ 🎉,C++,11845,1142,7 stars today,Alexays; alebastr; khaneliman; LukashonakV; zjeffer
18,RPCS3/rpcs3,https://github.com/RPCS3/rpcs3,PlayStation 3 emulator and debugger,C++,19539,2403,16 stars today,Megamouse; kd-11; elad335; vlj; RipleyTom
19,ValveSoftware/source-sdk-2013,https://github.com/ValveSoftware/source-sdk-2013,The 2013 edition of the Source SDK,C++,9940,3009,3 stars today,JoeLudwig; jorgenpt; ficool2; rabscootle; dimhotepus
20,noctalia-dev/noctalia,https://github.com/noctalia-dev/noctalia,"A sleek, customizable desktop shell crafted for Wayland.",C++,9792,731,40 stars today,ItsLemmy; Ly-sec; lonerOrz; notiant; MrDowntempo
21,Vita3K/Vita3K,https://github.com/Vita3K/Vita3K,Experimental PlayStation Vita emulator,C++,5651,561,9 stars today,Zangetsu38; pent0; Macdu; sunho; VelocityRa
22,hrydgard/ppsspp,https://github.com/hrydgard/ppsspp,"A PSP emulator for Android, Windows, Mac, Linux and iOS, written in C++. Want to contribute? Join us on Discord at https://discord.gg/5NJB6dD or just send pull requests / issues.",C++,14295,2593,5 stars today,hrydgard; unknownbrackets; xsacha; thedax; sum2012
23,azerothcore/azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,Complete Open Source and Modular solution for MMO,C++,8818,3689,4 stars today,github-actions; Nyeriah; Kitzunu; Gultask; sogladev
24,throneproj/Throne,https://github.com/throneproj/Throne,Cross-platform GUI proxy utility (Empowered by sing-box),C++,6874,387,23 stars today,Mahdi-zarei; parhelia512; arm64v8a; CodeFreer; 0-Kutya-0
