Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,bambulab/BambuStudio,https://github.com/bambulab/BambuStudio,PC Software for BambuLab and other 3D printers,C++,5007,973,9 stars today,Haidiye00; walterwongbbl; XunZhangBambu; bambu123; XinZhangBambu
2,memgraph/memgraph,https://github.com/memgraph/memgraph,"High-performance open-source in-memory graph database for GraphRAG, AI memory, agentic AI, and real-time graph analytics. Cypher-compatible, built in C++.",C++,4497,279,43 stars today,mferencevic; gitbuda; as51340; Ignition; mattkjames7
3,LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,Self-hosted game stream host for Moonlight.,C++,41055,2098,38 stars today,ReenigneArcher; dependabot; cgutman; LizardByte-bot; renovate
4,CleverRaven/Cataclysm-DDA,https://github.com/CleverRaven/Cataclysm-DDA,Cataclysm - Dark Days Ahead. A turn-based survival game set in a post-apocalyptic world.,C++,13110,4635,10 stars today,ZhilkinSerg; kevingranade; Rivet-the-Zombie; Maleclypse; BevapDin
5,react/react-native,https://github.com/react/react-native,A framework for building native applications using React,C++,126540,25241,19 stars today,reactjs-bot; mdvacca; shergin; cortinico; javache
6,ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,ClickHouse® is a real-time analytics database management system,C++,49782,8936,39 stars today,alexey-milovidov; claude; alesapin; KochetovNicolai; azat
7,7h30th3r0n3/Evil-M5Project,https://github.com/7h30th3r0n3/Evil-M5Project,"Evil-M5Project is an innovative tool developed for ethical hacking and exploration of WiFi networks. It's compatible with Cardputer, Atoms3, Fire, core2. You can scan, monitor, and interact with WiFi networks in a controlled environment. This project is designed for educational purposes, aiding in understanding network security and vulnerabilities",C++,2608,247,10 stars today,7h30th3r0n3; Tjalling112; laikadoggirl; SilvioCruzDeveloper; dagnazty
8,NVIDIA/nccl,https://github.com/NVIDIA/nccl,Optimized primitives for collective multi-GPU communication,C++,5064,1413,3 stars today,sjeaugey; xiakun-lu; kgioioso; artpol84; nv-lschneider
9,mamedev/mame,https://github.com/mamedev/mame,MAME,C++,10465,2513,3 stars today,happppp; ajrhacker; angelosa; cuavas; rb6502
10,argotorg/solidity,https://github.com/argotorg/solidity,"Solidity, the Smart Contract Programming Language",C++,25732,6156,6 stars today,chriseth; axic; cameel; ekpyron; clonker
11,opencv/opencv,https://github.com/opencv/opencv,Open Source Computer Vision Library,C++,90781,57036,18 stars today,alalek; asmorkalov; vpisarev; mshabunin; ilya-lavrenov
12,telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,Telegram Desktop messaging app,C++,32882,7189,11 stars today,john-preston; 23rd; ilya-fedin; claude; actions-user
13,microsoft/WSL,https://github.com/microsoft/WSL,Windows Subsystem for Linux,C++,33661,1819,14 stars today,OneBlue; benhillis; Copilot; 49081; craigloewen-msft
14,ceph/ceph,https://github.com/ceph/ceph,"Ceph is a distributed object, block, and file storage platform",C++,17021,6505,7 stars today,liewegas; tchaikov; cbodley; batrick; yehudasa
15,FEX-Emu/FEX,https://github.com/FEX-Emu/FEX,A fast usermode x86 and x86-64 emulator for Arm64 Linux,C++,7936,343,8 stars today,Sonicadvance1; lioncash; alyssarosenzweig; skmp; neobrain
16,Vita3K/Vita3K,https://github.com/Vita3K/Vita3K,Experimental PlayStation Vita emulator,C++,5701,585,5 stars today,Zangetsu38; pent0; Macdu; sunho; VelocityRa
