Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,YimMenu/YimMenuV2,https://github.com/YimMenu/YimMenuV2,Experimental menu for GTA 5: Enhanced,C++,1737,395,5 stars today,maybegreat48; ShinyWasabi; Mr-X-GTA; playday3008; Deadlineem
2,keepassxreboot/keepassxc,https://github.com/keepassxreboot/keepassxc,KeePassXC is a cross-platform community-driven port of the Windows application “KeePass Password Safe”.,C++,28842,1910,19 stars today,droidmonkey; debfx; phoerious; BlueIce; TheZ3ro
3,react/react-native,https://github.com/react/react-native,A framework for building native applications using React,C++,126638,25277,13 stars today,reactjs-bot; mdvacca; cortinico; shergin; javache
4,Neroued/ninfer,https://github.com/Neroued/ninfer,High-performance single-GPU inference for selected model checkpoints and GPUs.,C++,2026,374,71 stars today,Neroued; ARVLab; MOVIBALE; MichaelDementii; claude
5,google/highway,https://github.com/google/highway,"Performance-portable, length-agnostic SIMD with runtime dispatch",C++,5852,472,21 stars today,copybara-service; jan-wassenberg; copybara-github; johnplatts; dependabot
6,microsoft/intelligent-terminal,https://github.com/microsoft/intelligent-terminal,"A fork of Windows Terminal with native agent integration, right in your command line.",C++,1990,157,20 stars today,vanzue; Copilot; DDKinger; yeelam-gordon; PankajBhojwani
7,FEX-Emu/FEX,https://github.com/FEX-Emu/FEX,A fast usermode x86 and x86-64 emulator for Arm64 Linux,C++,8036,354,12 stars today,Sonicadvance1; lioncash; alyssarosenzweig; skmp; neobrain
8,catchorg/Catch2,https://github.com/catchorg/Catch2,"A modern, C++-native, test framework for unit-tests, TDD and BDD - using C++14, C++17 and later (C++11 support is in v2.x branch, and C++03 on the Catch1.x branch)",C++,21485,3501,1 star today,horenmar; philsquared; ChrisThrasher; claremacrae; JoeyGrajciar
9,ROCm/rocm-systems,https://github.com/ROCm/rocm-systems,super repo for rocm systems projects,C++,502,409,5 stars today,lmoriche; marifamd; dgaliffiAMD; kiritigowda; AryanSalmanpour
10,apache/arrow,https://github.com/apache/arrow,Apache Arrow is the universal columnar format and multi-language toolbox for fast data interchange and in-memory analytics,C++,17135,4307,8 stars today,kou; pitrou; wesm; kszucs; jorisvandenbossche
11,google/perfetto,https://github.com/google/perfetto,"Production-grade client-side tracing, profiling, and analysis for complex software systems.",C++,6517,870,7 stars today,LalitMaganti; primiano; chromy; fmayer; stevegolton
12,jbeder/yaml-cpp,https://github.com/jbeder/yaml-cpp,A YAML parser and emitter in C++,C++,6136,2193,2 stars today,jbeder; SGSSGene; dota17; neheb; asmaloney
13,esphome/esphome,https://github.com/esphome/esphome,"ESPHome is a system to control your ESP32, ESP8266, BK72xx, RP2040 by simple yet powerful configuration files and control them remotely through Home Automation systems.",C++,11700,5631,4 stars today,bdraco; jesserockz; OttoWinter; swoboda1337; dependabot
14,wazuh/wazuh,https://github.com/wazuh/wazuh,Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.,C++,16922,2489,15 stars today,vikman90; TomasTurina; Dwordcito; chemamartinez; juliancnn
15,PX4/PX4-Autopilot,https://github.com/PX4/PX4-Autopilot,PX4 Autopilot Software,C++,12650,16038,10 stars today,LorenzMeier; dagar; bkueng; julianoes; MaEtUgR
16,microsoft/onnxruntime-genai,https://github.com/microsoft/onnxruntime-genai,Generative AI extensions for onnxruntime,C++,1122,353,1 star today,jchen351; baijumeswani; RyanUnderhill; kunal-vaishnavi; natke
17,fougue/mayo,https://github.com/fougue/mayo,3D CAD viewer and converter based on Qt + OpenCascade,C++,2210,359,10 stars today,HuguesDelorme; gkv311; mmuman; luzpaz; VictorLamoine
18,vllm-project/vllm-ascend,https://github.com/vllm-project/vllm-ascend,Community maintained hardware plugin for vLLM on Ascend,C++,2842,2290,5 stars today,wangxiyuan; Potabk; zhangxinyuehfad; MengqingCao; Yikun
19,Z3Prover/z3,https://github.com/Z3Prover/z3,The Z3 Theorem Prover,C++,12694,1690,16 stars today,NikolajBjorner; levnach; Copilot; leodemoura; nunoplopes
