Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,BruceDevices/firmware,https://github.com/BruceDevices/firmware,Predatory ESP32 Firmware,C++,6793,2266,15 stars today,bmorcelli; pr3y; rennancockles; Tawank; valentin8709
2,keepassxreboot/keepassxc,https://github.com/keepassxreboot/keepassxc,KeePassXC is a cross-platform community-driven port of the Windows application “KeePass Password Safe”.,C++,28888,1914,19 stars today,droidmonkey; debfx; phoerious; BlueIce; TheZ3ro
3,Vita3K/Vita3K,https://github.com/Vita3K/Vita3K,Experimental PlayStation Vita emulator,C++,5736,594,3 stars today,Zangetsu38; pent0; Macdu; sunho; VelocityRa
4,Diegiwg/PrismLauncher-Cracked,https://github.com/Diegiwg/PrismLauncher-Cracked,"This project is a Fork of Prism Launcher which aims to 'unblock' the use of Offline Accounts, disabling the restriction of having a functional Online Account.",C++,946,140,9 stars today,Trial97; Octol1ttle; Diegiwg; 0x189D7997; TayouVR
5,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,C++,128987,23508,136 stars today,ggerganov; ngxson; CISC; JohannesGaessler; slaren
6,ml-explore/mlx,https://github.com/ml-explore/mlx,MLX: An array framework for Apple silicon,C++,28501,2265,16 stars today,zcbenz; angeloskath; jagrit06; barronalex; ayaangazali
7,xbmc/xbmc,https://github.com/xbmc/xbmc,"Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS, tvOS and Windows.",C++,21237,6602,5 stars today,ksooo; FernetMenta; Montellese; MartijnKaijser; garbear
8,kiwibrowser/src.next,https://github.com/kiwibrowser/src.next,"Source-code for Kiwi Next, a Kiwi Browser auto-rebased with latest Chromium",C++,4009,715,2 stars today,kiwibrowser; Delphox; d3ward; DUOLabs333; github-actions
9,OpenTTD/OpenTTD,https://github.com/OpenTTD/OpenTTD,OpenTTD is an open source simulation game based upon Transport Tycoon Deluxe,C++,8285,1267,6 stars today,rubidium42; PeterN; frosch123; TrueBrain; glx22
10,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,200220,77033,30 stars today,tensorflower-gardener; ezhulenev; akuegel; hawkinsp; mihaimaruseac
11,TrinityCore/TrinityCore,https://github.com/TrinityCore/TrinityCore,"TrinityCore Open Source MMO Framework (master = 12.1.0.69875, 3.3.5 = 3.3.5a.12340, cata classic = 4.4.2.60895)",C++,10781,6399,0 stars today,Shauren; Aokromes; Vincent-Michael; DDuarte; Killyana
12,microsoft/terminal,https://github.com/microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",C++,104949,9606,12 stars today,DHowett; zadjii-msft; lhecker; carlos-zamora; miniksa
13,doitsujin/dxvk,https://github.com/doitsujin/dxvk,"Vulkan-based implementation of D3D8, 9, 10 and 11 for Linux / Wine",C++,18118,1244,5 stars today,doitsujin; misyltoad; K0bin; WinterSnowfall; Blisto91
14,IfcOpenShell/IfcOpenShell,https://github.com/IfcOpenShell/IfcOpenShell,Open source IFC library and geometry engine,C++,2800,967,5 stars today,Moult; Andrej730; aothms; Gorgious56; brunoperdigao
15,Atmosphere-NX/Atmosphere,https://github.com/Atmosphere-NX/Atmosphere,Atmosphère is a work-in-progress customized firmware for the Nintendo Switch.,C++,19753,1481,28 stars today,SciresM; TuxSH; hexkyz; lioncash; ktemkin
16,azerothcore/azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,Complete Open Source and Modular solution for MMO,C++,8945,3806,12 stars today,github-actions; Nyeriah; Kitzunu; Gultask; sogladev
17,mumble-voip/mumble,https://github.com/mumble-voip/mumble,"Mumble is an open-source, low-latency, high quality voice chat software.",C++,8293,1393,6 stars today,thorvald; Krzmbrzl; mkrautz; davidebeatrici; hacst
