Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,jqlang/jq,https://github.com/jqlang/jq,Command-line JSON processor,C,34404,1764,220 stars today,stedolan; nicowilliams; itchyny; dtolnay; github-actions
2,ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,"ImageMagick is a free, open-source software suite for creating, editing, converting, and displaying images. It supports 200+ formats and offers powerful command-line tools and APIs for automation, scripting, and integration across platforms.",C,16111,1576,13 stars today,dlemstra; glennrp; dependabot; reaperhulk; jgj212
3,firedancer-io/firedancer,https://github.com/firedancer-io/firedancer,Firedancer is Jump Crypto's Solana validator software.,C,1442,443,1 star today,riptl; mmcgee-jump; kbowers-jump; two-heart; ibhatt-jumptrading
4,AFLplusplus/AFLplusplus,https://github.com/AFLplusplus/AFLplusplus,"The fuzzer afl++ is afl with community patches, qemu 5.1 upgrade, collision-free coverage, enhanced laf-intel & redqueen, AFLfast++ power schedules, MOpt mutators, unicorn_mode, and a lot more!",C,6432,1270,2 stars today,vanhauser-thc; hexcoder-; domenukk; andreafioraldi; devnexen
5,nrfconnect/sdk-nrf,https://github.com/nrfconnect/sdk-nrf,nRF Connect SDK main repository,C,1299,1498,0 stars today,MarekPieta; NordicBuilder; krish2718; nordic-piks; greg-fer
6,libgit2/libgit2,https://github.com/libgit2/libgit2,"A cross-platform, linkable library implementation of Git that you can use in your application.",C,10398,2591,1 star today,ethomson; carlosmn; pks-t; arrbee; nulltoken
7,openssl/openssl,https://github.com/openssl/openssl,TLS/SSL and crypto library,C,29908,11184,9 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
8,eclipse-mosquitto/mosquitto,https://github.com/eclipse-mosquitto/mosquitto,Eclipse Mosquitto - An open source MQTT broker,C,10794,2601,3 stars today,ralight; keptt; karlp; NorbertHeusser; PierreF
9,htop-dev/htop,https://github.com/htop-dev/htop,htop - an interactive process viewer,C,7975,573,5 stars today,cgzones; hishamhm; BenBE; natoscott; Explorer09
10,redis/redis,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,73775,24572,15 stars today,antirez; oranagra; pietern; enjoy-binbin; sundb
11,pgvector/pgvector,https://github.com/pgvector/pgvector,Open-source vector similarity search for Postgres,C,20725,1135,11 stars today,ankane; hlinnaka; jkatz; binarycleric; Ngalstyan4
12,asmvik/yabai,https://github.com/asmvik/yabai,A tiling window manager for macOS based on binary space partitioning,C,28658,707,22 stars today,asmvik; dominiklohmann; tbiehn; tsujp; meseck
13,taosdata/TDengine,https://github.com/taosdata/TDengine,"High-performance, scalable time-series database designed for Industrial IoT (IIoT) scenarios",C,24807,5004,4 stars today,guanshengliang; hjxilinx; hzcheng; dapan1121; yihaoDeng
14,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6573,2859,1 star today,gilles-peskine-arm; mpg; ronald-cron-arm; daverodgman; valeriosetti
15,FelixKratz/SketchyBar,https://github.com/FelixKratz/SketchyBar,A highly customizable macOS status bar replacement,C,11546,157,15 stars today,FelixKratz; cmacrae; somdoron; jraregris; errose28
16,tmux/tmux,https://github.com/tmux/tmux,tmux source code,C,44392,2576,54 stars today,nicm; ThomasAdam; tcunha; topcat001; mathstuf
17,Syllo/nvtop,https://github.com/Syllo/nvtop,"GPU & Accelerator process monitoring for AMD, Apple, Huawei, Intel, NVIDIA and Qualcomm",C,10427,386,15 stars today,Syllo; Steve-Tech; Snektron; xiaohuirong; larunbe
18,fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,"A maintained, feature-rich and performance oriented, neofetch like system information tool.",C,21849,735,40 stars today,CarterLi; LinusDierheimer; DarNCelsius; apocelipes; x-zvf
