Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,Klipper3d/klipper,https://github.com/Klipper3d/klipper,Klipper is a 3d-printer firmware,C,11432,5837,1 star today,KevinOConnor; Arksine; nefelim4ag; dmbutyugin; mcmatrix
2,ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,"ImageMagick is a free, open-source software suite for creating, editing, converting, and displaying images. It supports 200+ formats and offers powerful command-line tools and APIs for automation, scripting, and integration across platforms.",C,16142,1575,20 stars today,dlemstra; glennrp; dependabot; reaperhulk; jgj212
3,valkey-io/valkey,https://github.com/valkey-io/valkey,A flexible distributed key-value database that is optimized for caching and other realtime workloads.,C,25449,1090,17 stars today,antirez; oranagra; enjoy-binbin; pietern; madolson
4,termux/termux-x11,https://github.com/termux/termux-x11,Termux X-server add-on.,C,3865,529,8 stars today,twaik; dependabot; creepy-pasta101; gradle-update-robot; github-actions
5,RfidResearchGroup/proxmark3,https://github.com/RfidResearchGroup/proxmark3,Iceman Fork - Proxmark3,C,5439,1300,5 stars today,iceman1001; doegox; merlokk; tharexde; mwalker33
6,microsoft/WSL2-Linux-Kernel,https://github.com/microsoft/WSL2-Linux-Kernel,The source for the Linux kernel used in Windows Subsystem for Linux 2 (WSL2),C,10269,1388,7 stars today,torvalds; davem330; arndb; broonie; tiwai
7,mpv-player/mpv,https://github.com/mpv-player/mpv,🎥 Command line media player,C,34786,3280,11 stars today,kasper93; Dudemanguy; haasn; guidocella; pigoz
8,libgit2/libgit2,https://github.com/libgit2/libgit2,"A cross-platform, linkable library implementation of Git that you can use in your application.",C,10407,2589,2 stars today,ethomson; carlosmn; pks-t; arrbee; nulltoken
9,arendst/Tasmota,https://github.com/arendst/Tasmota,"Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at",C,24260,5075,4 stars today,arendst; s-hadinger; Jason2866; ascillato; gemu2015
10,libsdl-org/SDL,https://github.com/libsdl-org/SDL,Simple DirectMedia Layer,C,15344,2697,7 stars today,slouken; icculus; sezero; madebr; SDLWikiBot
11,Bodmer/TFT_eSPI,https://github.com/Bodmer/TFT_eSPI,"Arduino and PlatformIO IDE compatible TFT library optimised for the Raspberry Pi Pico (RP2040), STM32, ESP8266 and ESP32 that supports different driver chips",C,4691,1349,3 stars today,Bodmer; lewisxhe; dracir9; kamorris; maxpautsch
12,openwall/john,https://github.com/openwall/john,"John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs",C,12982,2473,6 stars today,magnumripper; jfoug; solardiz; kholia; sayan1an
13,Next-Flip/Momentum-Firmware,https://github.com/Next-Flip/Momentum-Firmware,"🐬 Feature-rich, stable and customizable Flipper Firmware",C,8330,493,6 stars today,WillyJL; xMasterX; skotopes; hedger; Astrrra
14,hashcat/hashcat,https://github.com/hashcat/hashcat,World's fastest and most advanced password recovery utility,C,25760,3404,15 stars today,jsteube; matrix; philsmd; hashcat-bot; neheb
15,raysan5/raylib,https://github.com/raysan5/raylib,A simple and easy-to-use library to enjoy videogames programming,C,32041,3014,20 stars today,raysan5; a3f; JeffM2501; github-actions; victorfisac
16,betaflight/betaflight,https://github.com/betaflight/betaflight,Open Source Flight Controller Firmware,C,10844,3709,10 stars today,mikeller; hydra; martinbudden; borisbstyle; blckmn
17,Limine-Bootloader/Limine,https://github.com/Limine-Bootloader/Limine,"Modern, advanced, portable, multiprotocol bootloader and boot manager.",C,2980,190,12 stars today,Mintsuki; qookei; Andy-Python-Programmer; dependabot; pitust
18,mit-pdos/xv6-public,https://github.com/mit-pdos/xv6-public,xv6 OS,C,9331,4495,2 stars today,kaashoek; rsc; phf; aclements; mikecat
19,xiaojieonly/Ehviewer_CN_SXJ,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,ehviewer，用爱发电，快乐前行,C,23473,607,15 stars today,xiaojieonly; UjuiUjuMandan; wyapx; zhao-ng327; eithwa
