Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4042,1502,13 stars today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
2,brunodev85/winlator,https://github.com/brunodev85/winlator,Android application for running Windows applications with Wine and Box86/Box64,C,17264,1360,26 stars today,brunodev85; kazimaruf991; Kashinathpat; hackcasual; lvonasek
3,paxx12/SnapmakerU1-Extended-Firmware,https://github.com/paxx12/SnapmakerU1-Extended-Firmware,Custom and repackaged Snapmaker U1 firmware,C,589,66,8 stars today,paxx12; horzadome; QuinnDamerell; justinh-rahb; suchmememanyskill
4,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6595,2859,5 stars today,gilles-peskine-arm; mpg; ronald-cron-arm; daverodgman; valeriosetti
5,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,138629,12910,63 stars today,rom1v; yume-chan; npes87184; brunoais; rootkea
6,FreeRDP/FreeRDP,https://github.com/FreeRDP/FreeRDP,FreeRDP is a free remote desktop protocol library and clients,C,13059,15305,9 stars today,akallabeth; awakecoding; bmiklautz; hardening; mfleisz
7,radareorg/radare2,https://github.com/radareorg/radare2,UNIX-like reverse engineering framework and command-line toolset,C,23451,3195,9 stars today,radare; trufae; condret; alvarofe; XVilka
8,Filoppi/Luma-Framework,https://github.com/Filoppi/Luma-Framework,"Luma is DX11 games modding framework based on the ReShade Addon system. Multiple mods are currently included, the biggest one being Prey (2017), which refactors its post processing rendering phase (e.g. adding HDR support, DLSS). Mod list here: https://github.com/Filoppi/Luma-Framework/wiki/Mods-List",C,360,22,2 stars today,Filoppi; Izueh; garamond13; ersh1; kstuedem
9,nginx/nginx,https://github.com/nginx/nginx,The official NGINX Open Source repository.,C,29987,7856,28 stars today,mdounin; arut; vl-homutov; VBart; pluknet
10,obsproject/obs-studio,https://github.com/obsproject/obs-studio,OBS Studio - Free and open source software for live streaming and screen recording,C,71744,9160,42 stars today,jp9000; jpark37; derrod; PatTheMav; RytoEX
11,fluent/fluent-bit,https://github.com/fluent/fluent-bit,"Fast and Lightweight Logs, Metrics and Traces processor for Linux, BSD, OSX and Windows",C,7792,1898,4 stars today,edsiper; cosmo0920; nokute78; pwhelan; leonardo-albertovich
12,redis/redis,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,73889,24580,22 stars today,antirez; oranagra; pietern; enjoy-binbin; sundb
13,libsdl-org/SDL,https://github.com/libsdl-org/SDL,Simple DirectMedia Layer,C,15386,2706,9 stars today,slouken; icculus; sezero; madebr; SDLWikiBot
14,sonic-net/sonic-buildimage,https://github.com/sonic-net/sonic-buildimage,Scripts which perform an installable binary image build for SONiC,C,955,1805,0 stars today,mssonicbld; lguohan; jleveque; qiluo-msft; saiarcot895
15,NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,NVIDIA Linux open GPU kernel module source,C,16904,1666,5 stars today,niv; aritger; mmaneetsingh; misyltoad; gauravjuvekar
16,yugabyte/yugabyte-db,https://github.com/yugabyte/yugabyte-db,YugabyteDB - the cloud native distributed SQL database for mission-critical applications.,C,10222,1250,1 star today,ddhodge; spolitov; aishwarya24; mbautin; jaki
