Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,php/php-src,https://github.com/php/php-src,The PHP Interpreter,C,40034,8029,18 stars today,dstogov; nikic; weltling; cmb69; laruence
2,pbatard/rufus,https://github.com/pbatard/rufus,The Reliable USB Formatting Utility,C,35649,3025,35 stars today,pbatard; bovirus; ThiloL; MehmetaliKuran; Sopor
3,asterisk/asterisk,https://github.com/asterisk/asterisk,The official Asterisk Project repository.,C,3202,1226,2 stars today,jcolp; russellb; tilghman; rmudgett9125; gtjoseph
4,FRRouting/frr,https://github.com/FRRouting/frr,The FRRouting Protocol Suite,C,4110,1497,1 star today,donaldsharp; ton31337; eqvinox; qlyoung; riw777
5,DaveGamble/cJSON,https://github.com/DaveGamble/cJSON,Ultralightweight JSON parser in ANSI C,C,12628,3470,5 stars today,FSMaxB; Alanscut; DaveGamble; kbranigan; gatzka
6,openwall/john,https://github.com/openwall/john,"John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs",C,13035,2478,6 stars today,magnumripper; jfoug; solardiz; kholia; sayan1an
7,OpenMathLib/OpenBLAS,https://github.com/OpenMathLib/OpenBLAS,OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version.,C,7396,1668,5 stars today,martin-frbg; wernsaar; xianyi; hpanderson; wjc404
8,dayanch96/YTMusicUltimate,https://github.com/dayanch96/YTMusicUltimate,The best tweak for YouTube Music iOS.,C,2232,8087,4 stars today,dayanch96; ginsudev; mumuisdog; mustafacakirogludev; Deci8BelioS
9,OpenEPaperLink/OpenEPaperLink,https://github.com/OpenEPaperLink/OpenEPaperLink,The OpenEPaperLink core project,C,1677,160,2 stars today,nlimper; jjwbruijn; atc1441; jonasniesner; skiphansen
10,Klipper3d/klipper,https://github.com/Klipper3d/klipper,Klipper is a 3d-printer firmware,C,11472,5854,0 stars today,KevinOConnor; Arksine; nefelim4ag; dmbutyugin; mcmatrix
11,libuv/libuv,https://github.com/libuv/libuv,Cross-platform asynchronous I/O,C,26783,3865,2 stars today,bnoordhuis; piscisaureus; saghul; ry; cjihrig
12,mit-pdos/xv6-riscv,https://github.com/mit-pdos/xv6-riscv,Xv6 for RISC-V,C,9532,3888,6 stars today,kaashoek; zeldovich; segfauIt; 4ge32; anishathalye
13,hathach/tinyusb,https://github.com/hathach/tinyusb,An open source cross-platform USB stack for embedded system,C,6736,1407,1 star today,hathach; HiFiPhile; pigrew; kkitayam; cr1901
14,curl/curl,https://github.com/curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,41372,7138,15 stars today,bagder; vszakats; yangtse; captain-caveman2k; dfandrich
15,littlefs-project/littlefs,https://github.com/littlefs-project/littlefs,A little fail-safe filesystem designed for microcontrollers,C,6601,983,1 star today,geky; BrianPugh; yamt; sipkev; aldot
16,valkey-io/valkey,https://github.com/valkey-io/valkey,A flexible distributed key-value database that is optimized for caching and other realtime workloads.,C,25563,1104,13 stars today,antirez; oranagra; enjoy-binbin; pietern; madolson
17,espressif/esp-idf,https://github.com/espressif/esp-idf,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,C,17891,8230,9 stars today,igrr; projectgus; jack0c; suda-morris; mahavirj
