Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,raysan5/raylib,https://github.com/raysan5/raylib,A simple and easy-to-use library to enjoy videogames programming,C,32543,3057,90 stars today,raysan5; a3f; JeffM2501; github-actions; victorfisac
2,FalkorDB/FalkorDB,https://github.com/FalkorDB/FalkorDB,A super fast Graph Database uses GraphBLAS under the hood for its sparse adjacency matrix graph representation. Our goal is to provide the best Knowledge Graph for LLM (GraphRAG).,C,4221,337,36 stars today,swilly22; AviAvni; jeffreylovitz; gkorland; dudizimber
3,raspberrypi/linux,https://github.com/raspberrypi/linux,Kernel source tree for Raspberry Pi-provided kernel builds. Issues unrelated to the linux kernel should be posted on the community forum at https://forums.raspberrypi.com/,C,12802,5398,8 stars today,torvalds; davem330; arndb; broonie; tiwai
4,dorianborian/sesame-robot,https://github.com/dorianborian/sesame-robot,An open and affordable mini quadruped robot based on ESP32.,C,1618,223,12 stars today,dorianborian; shariqnaiyer; one-for-all; vido89; maximeconnolly
5,curl/curl,https://github.com/curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,41390,7148,9 stars today,bagder; vszakats; yangtse; captain-caveman2k; dfandrich
6,cesanta/mongoose,https://github.com/cesanta/mongoose,"Embedded web server, with TCP/IP network stack, MQTT and Websocket",C,12737,2908,3 stars today,cpq; scaprile; alashkin; Evthewolf; dimonomid
7,hathach/tinyusb,https://github.com/hathach/tinyusb,An open source cross-platform USB stack for embedded system,C,6744,1408,7 stars today,hathach; HiFiPhile; pigrew; kkitayam; cr1901
8,espressif/esp-idf,https://github.com/espressif/esp-idf,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,C,17910,8235,11 stars today,igrr; projectgus; jack0c; suda-morris; mahavirj
9,ventoy/Ventoy,https://github.com/ventoy/Ventoy,A new bootable USB solution.,C,76124,4771,35 stars today,ventoy; wiz64; VenusGirl; crasadure; AnomSanjaya
10,m5stack/StackChan,https://github.com/m5stack/StackChan,StackChan open source!,C,458,79,5 stars today,imliubo; Forairaaaaa; yuanzhihong1; SeanXiaojyy; Harrison-Xu
11,SoftEtherVPN/SoftEtherVPN,https://github.com/SoftEtherVPN/SoftEtherVPN,Cross-platform multi-protocol VPN software. Pull requests are welcome. The stable version is available at https://github.com/SoftEtherVPN/SoftEtherVPN_Stable.,C,13176,2761,5 stars today,davidebeatrici; chipitsine; djony; domosekai; dnobori
12,winsiderss/systeminformer,https://github.com/winsiderss/systeminformer,"A free, powerful, multi-purpose tool that helps you monitor system resources, debug software and detect malware. Brought to you by Winsider Seminars & Solutions, Inc. @ http://www.windows-internals.com",C,14075,1653,69 stars today,dmex; wj32; jxy-s; XhmikosR; diversenok
13,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,60563,27843,21 stars today,gitster; peff; dscho; pks-t; avar
14,openwall/john,https://github.com/openwall/john,"John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs",C,13050,2480,5 stars today,magnumripper; jfoug; solardiz; kholia; sayan1an
15,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30064,11223,6 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
16,openssh/openssh-portable,https://github.com/openssh/openssh-portable,Portable OpenSSH,C,3803,2078,1 star today,djmdjm; daztucker; mfriedl; jonathangray; botovq
17,ntop/nDPI,https://github.com/ntop/nDPI,Open Source Deep Packet Inspection Software Toolkit,C,4439,986,7 stars today,lucaderi; IvanNardi; utoni; kYroL01; cardigliano
18,madler/zlib,https://github.com/madler/zlib,A massively spiffy yet delicately unobtrusive compression library.,C,6825,2746,3 stars today,madler; nmoinvaz; Chi-Iroh; DimitriPapadopoulos; jrn
19,OpenMathLib/OpenBLAS,https://github.com/OpenMathLib/OpenBLAS,OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version.,C,7409,1670,8 stars today,martin-frbg; wernsaar; xianyi; hpanderson; wjc404
20,firedancer-io/firedancer,https://github.com/firedancer-io/firedancer,Firedancer is Jump Crypto's Solana validator software.,C,1456,466,0 stars today,riptl; mmcgee-jump; kbowers-jump; two-heart; ibhatt-jumptrading
