Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,NetHack/NetHack,https://github.com/NetHack/NetHack,Official NetHack Git Repository,C,3705,569,30 stars today,nhmall; paxed; barthouse; nhkeni; entrez
2,cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,How to create an OS from scratch,C,30396,3540,4 stars today,cfenollosa; ss18; ghifari160; sapsaldog; wellingguzman
3,microsoft/mimalloc,https://github.com/microsoft/mimalloc,mimalloc is a compact general purpose allocator with excellent performance.,C,12781,1093,11 stars today,daanx; devnexen; jserv; res2k; asl
4,gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,A little tool to play with Windows security,C,21525,4115,13 stars today,gentilkiwi; hubert3; tanrikuluatahan; vletoux; zhangyoufu
5,sonic-net/sonic-buildimage,https://github.com/sonic-net/sonic-buildimage,Scripts which perform an installable binary image build for SONiC,C,964,1820,3 stars today,mssonicbld; lguohan; jleveque; qiluo-msft; saiarcot895
6,redis/redis,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,74175,24599,30 stars today,antirez; oranagra; pietern; enjoy-binbin; sundb
7,eclipse-mosquitto/mosquitto,https://github.com/eclipse-mosquitto/mosquitto,Eclipse Mosquitto - An open source MQTT broker,C,10855,2601,6 stars today,ralight; keptt; karlp; NorbertHeusser; PierreF
8,jqlang/jq,https://github.com/jqlang/jq,Command-line JSON processor,C,34629,1775,5 stars today,stedolan; nicowilliams; itchyny; dtolnay; github-actions
9,redcanaryco/atomic-red-team,https://github.com/redcanaryco/atomic-red-team,Small and highly portable detection tests based on MITRE's ATT&CK.,C,11910,3108,7 stars today,clr2of8; MHaggis; cyberbuff; patel-bhavin; josehelps
10,ThrowTheSwitch/Unity,https://github.com/ThrowTheSwitch/Unity,Simple unit testing for C,C,5192,1106,1 star today,mvandervoord; jsalling; farrrb; jlindgren90; dreamer-coding
11,Immediate-Mode-UI/Nuklear,https://github.com/Immediate-Mode-UI/Nuklear,A single-header ANSI C immediate mode cross-platform GUI library,C,11107,675,1 star today,vurtun; RobLoach; dumblob; rswinkle; riri
12,immortalwrt/immortalwrt,https://github.com/immortalwrt/immortalwrt,An opensource OpenWrt variant for mainland China users.,C,10723,3485,8 stars today,juhosg; 1715173329; ffainelli; nbd168; hauke
13,open-quantum-safe/liboqs,https://github.com/open-quantum-safe/liboqs,C library for prototyping and experimenting with quantum-resistant cryptography,C,2919,719,5 stars today,dstebila; christianpaquin; baentsch; SWilson4; xvzcf
14,OISF/suricata,https://github.com/OISF/suricata,"Suricata is a network Intrusion Detection System, Intrusion Prevention System and Network Security Monitoring engine developed by the OISF and the Suricata community.",C,6220,1693,2 stars today,victorjulien; jasonish; catenacyber; regit; jlucovsky
15,UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,Playground (and dump) of stuff I make or modify for the Flipper Zero,C,16976,3825,8 stars today,UberGuidoZ; amec0e; RogueMaster; FalsePhilosopher; MarkCyber
16,curl/curl,https://github.com/curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,41737,7170,11 stars today,bagder; vszakats; yangtse; captain-caveman2k; dfandrich
17,lvgl/lvgl,https://github.com/lvgl/lvgl,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type.",C,23475,4154,20 stars today,kisvegabor; embeddedt; FASTSHIFT; github-actions; AndreCostaaa
