Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,radareorg/radare2,https://github.com/radareorg/radare2,UNIX-like reverse engineering framework and command-line toolset,C,23718,3222,39 stars today,radare; trufae; condret; alvarofe; XVilka
2,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,15196,9116,16 stars today,nashif; jukkar; galak; gmarull; cvinayak
3,RT-Thread/rt-thread,https://github.com/RT-Thread/rt-thread,RT-Thread is an open source IoT Real-Time Operating System (RTOS). https://rt-thread.github.io/rt-thread/,C,11957,5388,4 stars today,BernardXiong; mysterywolf; Guozhanxin; aozima; armink
4,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,139618,12982,50 stars today,rom1v; yume-chan; npes87184; brunoais; rootkea
5,facebook/zstd,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,C,27067,2474,9 stars today,Cyan4973; terrelln; inikep; felixhandte; stellamplau
6,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6646,2867,8 stars today,gilles-peskine-arm; mpg; ronald-cron-arm; daverodgman; valeriosetti
7,pret/pokeemerald,https://github.com/pret/pokeemerald,Decompilation of Pokémon Emerald,C,3123,4027,5 stars today,GriffinRichards; DizzyEggg; PikalaxALT; Sierraffinity; Kermalis
8,pgvector/pgvector,https://github.com/pgvector/pgvector,Open-source vector similarity search for Postgres,C,21182,1163,27 stars today,ankane; hlinnaka; jkatz; lychen0618; binarycleric
9,libuv/libuv,https://github.com/libuv/libuv,Cross-platform asynchronous I/O,C,26825,3868,8 stars today,bnoordhuis; piscisaureus; saghul; ry; cjihrig
10,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30117,11249,5 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
11,littlefs-project/littlefs,https://github.com/littlefs-project/littlefs,A little fail-safe filesystem designed for microcontrollers,C,6635,988,3 stars today,geky; BrianPugh; yamt; sipkev; aldot
12,ThrowTheSwitch/Unity,https://github.com/ThrowTheSwitch/Unity,Simple unit testing for C,C,5199,1106,1 star today,mvandervoord; jsalling; farrrb; jlindgren90; dreamer-coding
13,redis/redis,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,74223,24606,28 stars today,antirez; oranagra; pietern; enjoy-binbin; sundb
14,jemalloc/jemalloc,https://github.com/jemalloc/jemalloc,Pas de description,C,10867,1618,5 stars today,jasone; davidtgoldblatt; interwq; yinan1048576; guangli-dai
15,FreeRTOS/FreeRTOS,https://github.com/FreeRTOS/FreeRTOS,'Classic' FreeRTOS distribution. Started as Git clone of FreeRTOS SourceForge SVN repo. Submodules the kernel.,C,7301,2011,3 stars today,RichardBarry; aggarg; AniruddhaKanhere; chinglee-iot; paulbartell
16,mcu-tools/mcuboot,https://github.com/mcu-tools/mcuboot,Secure boot for 32-bit Microcontrollers!,C,1882,919,4 stars today,utzig; d3zd3z; nordicjm; de-nordic; nvlsianpu
17,lvgl/lvgl,https://github.com/lvgl/lvgl,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type.",C,23492,4159,12 stars today,kisvegabor; embeddedt; FASTSHIFT; github-actions; AndreCostaaa
18,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4104,1517,2 stars today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
