Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,uber/h3,https://github.com/uber/h3,Hexagonal hierarchical geospatial indexing system,C,6235,573,7 stars today,isaacbrodsky; dfellis; ajfriend; nrabinowitz; isaachier
2,betaflight/betaflight,https://github.com/betaflight/betaflight,Open Source Flight Controller Firmware,C,10940,3747,3 stars today,mikeller; hydra; martinbudden; blckmn; borisbstyle
3,asterisk/asterisk,https://github.com/asterisk/asterisk,The official Asterisk Project repository.,C,3228,1235,1 star today,jcolp; russellb; tilghman; rmudgett9125; gtjoseph
4,mpv-player/mpv,https://github.com/mpv-player/mpv,🎥 Command line media player,C,35179,3322,16 stars today,kasper93; Dudemanguy; haasn; guidocella; pigoz
5,RamonUnch/AltSnap,https://github.com/RamonUnch/AltSnap,Maintained continuation of Stefan Sundin's AltDrag,C,4860,156,0 stars today,RamonUnch; mbartlett21; CJYKK; TroudhuK; brian6932
6,tianocore/edk2,https://github.com/tianocore/edk2,EDK II,C,5979,3144,2 stars today,niruiyu; lzeng14; lgao4; jljusten; mdkinney
7,radareorg/radare2,https://github.com/radareorg/radare2,UNIX-like reverse engineering framework and command-line toolset,C,23776,3228,22 stars today,radare; trufae; condret; alvarofe; XVilka
8,antirez/kilo,https://github.com/antirez/kilo,A text editor in less than 1000 LOC with syntax highlight and search.,C,8888,960,9 stars today,antirez; lpereira; skeeto; dayuoba; unknowntpo
9,facebook/openzl,https://github.com/facebook/openzl,A novel data compression framework,C,3048,144,3 stars today,terrelln; Victor-C-Zhang; daniellerozenblit; kevinjzhang; Cyan4973
10,winsiderss/systeminformer,https://github.com/winsiderss/systeminformer,"A free, powerful, multi-purpose tool that helps you monitor system resources, debug software and detect malware. Brought to you by Winsider Seminars & Solutions, Inc. @ http://www.windows-internals.com",C,14574,1681,31 stars today,dmex; wj32; jxy-s; XhmikosR; diversenok
11,bol-van/zapret,https://github.com/bol-van/zapret,DPI bypass multi platform,C,15214,1053,14 stars today,bol-van; maximilionus; spvkgn; anphsw; chymaboy
12,systemd/systemd,https://github.com/systemd/systemd,The systemd System and Service Manager,C,16289,4496,5 stars today,poettering; yuwata; keszybz; daandemeyer; bluca
13,flightlessmango/MangoHud,https://github.com/flightlessmango/MangoHud,"A Vulkan and OpenGL overlay for monitoring FPS, temperatures, CPU/GPU load and more.",C,8565,397,8 stars today,flightlessmango; jackun; gort818; 17314642; Etaash-mathamsetty
14,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,60870,27879,25 stars today,gitster; peff; dscho; pks-t; avar
15,Mentra-Community/MentraOS,https://github.com/Mentra-Community/MentraOS,"MentraOS is the leading smart glasses platform + SDK. Stream your view, transcribe audio, talk to AI and capture photos hands-free on compatible glasses.",C,1947,262,5 stars today,aisraelov; fossephate; nic-olo; isaiahb; CaydenPierce
16,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,139706,12990,49 stars today,rom1v; yume-chan; npes87184; brunoais; rootkea
