Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,141437,13058,851 stars today,rom1v; yume-chan; npes87184; brunoais; rootkea
2,nginx/nginx,https://github.com/nginx/nginx,The official NGINX Open Source repository.,C,30330,7903,26 stars today,mdounin; arut; vl-homutov; VBart; pluknet
3,cactus-compute/cactus,https://github.com/cactus-compute/cactus,Low-latency AI engine for mobile devices & wearables,C,4907,384,61 stars today,HenryNdubuaku; rshemet; devabhixda; jakmro; github-actions
4,mit-pdos/xv6-riscv,https://github.com/mit-pdos/xv6-riscv,Xv6 for RISC-V,C,9692,3955,17 stars today,kaashoek; zeldovich; segfauIt; 4ge32; anishathalye
5,DavidXanatos/TaskExplorer,https://github.com/DavidXanatos/TaskExplorer,Power full Task Manager,C,3566,281,18 stars today,DavidXanatos; love-code-yeyixiao; bovirus; coolvitto; offhub
6,eclipse-mosquitto/mosquitto,https://github.com/eclipse-mosquitto/mosquitto,Eclipse Mosquitto - An open source MQTT broker,C,10884,2604,8 stars today,ralight; keptt; karlp; NorbertHeusser; PierreF
7,opa334/Dopamine,https://github.com/opa334/Dopamine,Dopamine is a semi-untethered jailbreak for iOS 15 and 16,C,5061,6067,25 stars today,opa334; tomt000; kok3shidoll; dhinakg; ancalina
8,freebsd/freebsd-src,https://github.com/freebsd/freebsd-src,The FreeBSD src tree publish-only repository. Experimenting with 'simple' pull requests....,C,9076,3299,3 stars today,bsdimp; bsdjhb; kostikbel; bsdphk; DarkHelmet433
9,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6659,2874,1 star today,gilles-peskine-arm; mpg; ronald-cron-arm; daverodgman; valeriosetti
10,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4136,1524,7 stars today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
11,curl/curl,https://github.com/curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,41868,7199,26 stars today,bagder; vszakats; yangtse; captain-caveman2k; dfandrich
12,lvgl/lvgl,https://github.com/lvgl/lvgl,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type.",C,23547,4161,11 stars today,kisvegabor; embeddedt; FASTSHIFT; github-actions; AndreCostaaa
13,yugabyte/yugabyte-db,https://github.com/yugabyte/yugabyte-db,YugabyteDB - the cloud native distributed SQL database for mission-critical applications.,C,10279,1256,1 star today,ddhodge; spolitov; aishwarya24; mbautin; jaki
14,micropython/micropython,https://github.com/micropython/micropython,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems,C,21703,8831,3 stars today,dpgeorge; pfalcon; jimmo; robert-hh; iabdalkader
15,nanopb/nanopb,https://github.com/nanopb/nanopb,Protocol Buffers with small code size,C,5378,1010,4 stars today,PetteriAimonen; kylemanna; oliverlee; joshstrohminger; theunkn0wn1
16,andreknieriem/headunit-revived,https://github.com/andreknieriem/headunit-revived,Headunit App for displaying Android Auto,C,929,74,6 stars today,andrecuellar; andreknieriem; gemini-code-assist; tsabaia; nicoruy
17,facebook/zstd,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,C,27100,2481,9 stars today,Cyan4973; terrelln; inikep; felixhandte; stellamplau
18,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,15249,9144,6 stars today,nashif; jukkar; galak; gmarull; cvinayak
19,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 155 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,2343,259,35 stars today,DeusData; claude; shanemccarron-maker; dependabot; dLo999
20,aircrack-ng/aircrack-ng,https://github.com/aircrack-ng/aircrack-ng,WiFi security auditing tools suite,C,7221,1284,2 stars today,Mister-X-; jbenden; gemesa; ZeroChaos-; jmberg
21,microsoft/mimalloc,https://github.com/microsoft/mimalloc,mimalloc is a compact general purpose allocator with excellent performance.,C,12829,1097,17 stars today,daanx; devnexen; jserv; res2k; asl
