Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,microsoft/mimalloc,https://github.com/microsoft/mimalloc,mimalloc is a compact general purpose allocator with excellent performance.,C,12888,1100,19 stars today,daanx; devnexen; jserv; res2k; asl
2,mit-pdos/xv6-riscv,https://github.com/mit-pdos/xv6-riscv,Xv6 for RISC-V,C,9748,3975,8 stars today,kaashoek; zeldovich; segfauIt; 4ge32; anishathalye
3,robertdavidgraham/masscan,https://github.com/robertdavidgraham/masscan,"TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes.",C,25688,3208,21 stars today,robertdavidgraham; p-l-; Frky; mzpqnxow; postmodern
4,openwrt/openwrt,https://github.com/openwrt/openwrt,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins. We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.,C,26890,12405,18 stars today,juhosg; ffainelli; nbd168; hauke; jow-
5,dorianborian/sesame-robot,https://github.com/dorianborian/sesame-robot,An open and affordable mini quadruped robot based on ESP32.,C,2287,303,60 stars today,dorianborian; shariqnaiyer; one-for-all; vido89; maximeconnolly
6,NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,NVIDIA Linux open GPU kernel module source,C,17009,1681,8 stars today,niv; aritger; mmaneetsingh; misyltoad; gauravjuvekar
7,yugabyte/yugabyte-db,https://github.com/yugabyte/yugabyte-db,YugabyteDB - the cloud native distributed SQL database for mission-critical applications.,C,10283,1259,1 star today,ddhodge; spolitov; aishwarya24; mbautin; jaki
8,telekom-security/tpotce,https://github.com/telekom-security/tpotce,🍯 T-Pot - The All In One Multi Honeypot Platform 🐝,C,9207,1363,17 stars today,t3chn0m4g3; shaderecker; listbot; vorband; brianlechthaler
9,libsdl-org/SDL,https://github.com/libsdl-org/SDL,Simple DirectMedia Layer,C,15662,2759,13 stars today,slouken; icculus; sezero; madebr; SDLWikiBot
10,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,141772,13085,110 stars today,rom1v; yume-chan; npes87184; brunoais; rootkea
11,andreknieriem/headunit-revived,https://github.com/andreknieriem/headunit-revived,Headunit App for displaying Android Auto,C,942,77,7 stars today,andrecuellar; andreknieriem; gemini-code-assist; tsabaia; nicoruy
12,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4142,1527,2 stars today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
13,littlefs-project/littlefs,https://github.com/littlefs-project/littlefs,A little fail-safe filesystem designed for microcontrollers,C,6651,989,4 stars today,geky; BrianPugh; yamt; sipkev; aldot
14,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,60997,27906,24 stars today,gitster; peff; dscho; pks-t; avar
15,redis/redis,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,74388,24626,11 stars today,antirez; oranagra; pietern; enjoy-binbin; sundb
16,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30161,11267,6 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
17,coolsnowwolf/lede,https://github.com/coolsnowwolf/lede,Lean's LEDE source,C,31445,19342,5 stars today,coolsnowwolf; aiamadeus; dangowrt; Beginner-Go; nbd168
18,CrazyCritic89/SteamHapticsSinger,https://github.com/CrazyCritic89/SteamHapticsSinger,This project is a fork of SteamControllerSinger which aims to be a successor.,C,199,7,58 stars today,CrazyCritic89; pilatomic; Roboron3042; AAGaming00; BytewaveMLP
19,NetHack/NetHack,https://github.com/NetHack/NetHack,Official NetHack Git Repository,C,3744,574,1 star today,nhmall; paxed; barthouse; nhkeni; entrez
