Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,califio/publications,https://github.com/califio/publications,Publications from Calif,C,565,93,69 stars today,tedcalif; thaidn; claude
2,nginx/nginx,https://github.com/nginx/nginx,The official NGINX Open Source repository.,C,30565,7952,23 stars today,mdounin; arut; vl-homutov; VBart; pluknet
3,wolfSSL/wolfssl,https://github.com/wolfSSL/wolfssl,"The wolfSSL library is a small, fast, portable implementation of TLS/SSL for embedded devices to the cloud. wolfSSL supports up to TLS 1.3 and DTLS 1.3! Update to wolfSSL 5.9.1 for the latest CVE fixes.",C,2847,985,0 stars today,dgarske; toddouska; JacobBarthelmeh; douzzer; SparkiDev
4,libuv/libuv,https://github.com/libuv/libuv,Cross-platform asynchronous I/O,C,26887,3881,3 stars today,bnoordhuis; piscisaureus; saghul; ry; cjihrig
5,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,61303,27974,23 stars today,gitster; peff; dscho; pks-t; avar
6,cactus-compute/cactus,https://github.com/cactus-compute/cactus,Low-latency AI engine for mobile devices & wearables,C++,5295,420,11 stars today,HenryNdubuaku; rshemet; jakmro; devabhixda; ncylich
7,tianocore/edk2,https://github.com/tianocore/edk2,EDK II,C,6024,3168,2 stars today,niruiyu; lzeng14; lgao4; jljusten; mdkinney
8,FRRouting/frr,https://github.com/FRRouting/frr,The FRRouting Protocol Suite,C,4157,1524,0 stars today,donaldsharp; ton31337; eqvinox; qlyoung; riw777
9,zanfranceschi/rinha-de-backend-2026,https://github.com/zanfranceschi/rinha-de-backend-2026,Rinha de Backend - Quarta Edição: Detecção de Fraude com Busca Vetorial,C,748,458,4 stars today,zanfranceschi; rrs6; rafaelrsilva00; mpraes; peregrinno
10,hathach/tinyusb,https://github.com/hathach/tinyusb,An open source cross-platform USB stack for embedded system,C,6857,1437,4 stars today,hathach; HiFiPhile; pigrew; kkitayam; cr1901
11,facebook/zstd,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,C,27207,2502,6 stars today,Cyan4973; terrelln; inikep; felixhandte; stellamplau
12,DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,Flipper Zero Unleashed Firmware,C,21684,1888,7 stars today,xMasterX; skotopes; hedger; gornekich; DrZlo13
13,valkey-io/valkey,https://github.com/valkey-io/valkey,A flexible distributed key-value database that is optimized for caching and other realtime workloads.,C,26029,1165,13 stars today,antirez; oranagra; enjoy-binbin; pietern; madolson
14,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6691,2900,4 stars today,gilles-peskine-arm; mpg; ronald-cron-arm; daverodgman; valeriosetti
15,redis/redis,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,74700,24652,23 stars today,antirez; oranagra; pietern; enjoy-binbin; sundb
16,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,2974,304,27 stars today,DeusData; claude; shanemccarron-maker; dependabot; dLo999
17,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30257,11296,5 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
18,lvgl/lvgl,https://github.com/lvgl/lvgl,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type.",C,23730,4188,17 stars today,kisvegabor; embeddedt; FASTSHIFT; github-actions; AndreCostaaa
19,capstone-engine/capstone,https://github.com/capstone-engine/capstone,"Capstone disassembly/disassembler framework for ARM, ARM64 (ARMv8), Alpha, BPF, Ethereum VM, HPPA, LoongArch, M68K, M680X, Mips, MOS65XX, PPC, RISC-V(rv32G/rv64G), SH, Sparc, SystemZ, TMS320C64X, TriCore, Webassembly, XCore and X86.",C,8806,1686,9 stars today,aquynh; kabeor; b1llow; Rot127; catenacyber
20,lz4/lz4,https://github.com/lz4/lz4,Extremely Fast Compression algorithm,C,11847,1556,3 stars today,Cyan4973; inikep; t-mat; felixhandte; dependabot
