Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,califio/publications,https://github.com/califio/publications,Publications from Calif,C,579,100,22 stars today,tedcalif; thaidn; claude
2,darktable-org/darktable,https://github.com/darktable-org/darktable,darktable is an open source photography workflow application and raw developer,C,12519,1332,8 stars today,TurboGit; hanatos; houz; LebedevRI; jenshannoschwalm
3,nginx/nginx,https://github.com/nginx/nginx,The official NGINX Open Source repository.,C,30595,7953,39 stars today,mdounin; arut; vl-homutov; VBart; pluknet
4,redcanaryco/atomic-red-team,https://github.com/redcanaryco/atomic-red-team,Small and highly portable detection tests based on MITRE's ATT&CK.,C,12047,3126,7 stars today,clr2of8; MHaggis; cyberbuff; patel-bhavin; josehelps
5,pbatard/rufus,https://github.com/pbatard/rufus,The Reliable USB Formatting Utility,C,36350,3076,28 stars today,pbatard; bovirus; ThiloL; MehmetaliKuran; Sopor
6,xarray/osgverse,https://github.com/xarray/osgverse,"osgVerse, a complete 3d engine solution based on OpenSceneGraph. It supports OpenGL/OpenGLES/Vulkan/DirectX/Metal backends, and also works on modern browsers using WASM.",C,290,55,8 stars today,xarray; wjl1118; suerey; waterpeach; lidargangcaicai
7,littlefs-project/littlefs,https://github.com/littlefs-project/littlefs,A little fail-safe filesystem designed for microcontrollers,C,6687,990,1 star today,geky; BrianPugh; yamt; sipkev; aldot
8,DPDK/dpdk,https://github.com/DPDK/dpdk,Data Plane Development Kit,C,4261,1476,3 stars today,bruce-richardson; shemminger; david-marchand; tmonjalo; qzhan16
9,openwall/john,https://github.com/openwall/john,"John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs",C,13223,2503,6 stars today,magnumripper; jfoug; solardiz; kholia; sayan1an
10,lvgl/lvgl,https://github.com/lvgl/lvgl,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type.",C,23737,4190,9 stars today,kisvegabor; embeddedt; FASTSHIFT; github-actions; AndreCostaaa
11,micropython/micropython,https://github.com/micropython/micropython,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems,C,21781,8860,7 stars today,dpgeorge; pfalcon; jimmo; robert-hh; iabdalkader
12,redis/redis,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,74716,24651,26 stars today,antirez; oranagra; pietern; enjoy-binbin; sundb
13,madler/zlib,https://github.com/madler/zlib,A massively spiffy yet delicately unobtrusive compression library.,C,6902,2781,2 stars today,madler; nmoinvaz; Chi-Iroh; DimitriPapadopoulos; Vollstrecker
14,SchedMD/slurm,https://github.com/SchedMD/slurm,Slurm: A Highly Scalable Workload Manager,C,4034,847,6 stars today,dannyauble; jette; wickberg; naterini; gaijin03
15,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30262,11301,10 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
16,RT-Thread/rt-thread,https://github.com/RT-Thread/rt-thread,RT-Thread is an open source IoT Real-Time Operating System (RTOS). https://rt-thread.github.io/rt-thread/,C,12030,5408,3 stars today,BernardXiong; mysterywolf; Guozhanxin; aozima; armink
17,FRRouting/frr,https://github.com/FRRouting/frr,The FRRouting Protocol Suite,C,4161,1526,2 stars today,donaldsharp; ton31337; eqvinox; qlyoung; riw777
18,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,15524,9297,12 stars today,nashif; jukkar; galak; gmarull; cvinayak
19,openssh/openssh-portable,https://github.com/openssh/openssh-portable,Portable OpenSSH,C,3851,2113,0 stars today,djmdjm; daztucker; mfriedl; jonathangray; botovq
