Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,dayanch96/YTMusicUltimate,https://github.com/dayanch96/YTMusicUltimate,The best tweak for YouTube Music iOS.,C,2355,8758,1 star today,dayanch96; ginsudev; mumuisdog; mustafacakirogludev; Deci8BelioS
2,jtenniswood/espcontrol,https://github.com/jtenniswood/espcontrol,Esphome based smart home control panel,C,600,70,17 stars today,jtenniswood; renovate; wonderslug; claude; benJDtom
3,libsdl-org/SDL,https://github.com/libsdl-org/SDL,Simple DirectMedia Layer,C,15849,2800,14 stars today,slouken; icculus; sezero; madebr; SDLWikiBot
4,nginx/nginx,https://github.com/nginx/nginx,The official NGINX Open Source repository.,C,30797,7962,29 stars today,mdounin; arut; vl-homutov; VBart; pluknet
5,meshcore-dev/MeshCore,https://github.com/meshcore-dev/MeshCore,"A new lightweight, hybrid routing mesh protocol for packet radios",C,3019,994,7 stars today,ripplebiz; liamcottle; fdlamotte; recrof; oltaco
6,apache/httpd,https://github.com/apache/httpd,Mirror of Apache HTTP Server. Issues: http://issues.apache.org,C,3998,1260,8 stars today,wrowe; trawick; rbowen; jimjag; ylavic
7,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,61383,27989,21 stars today,gitster; peff; dscho; pks-t; avar
8,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 159 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,3063,316,31 stars today,DeusData; claude; shanemccarron-maker; dependabot; dLo999
9,acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,OpenCore bootloader,C,15101,2270,11 stars today,vit9696; mhaeuser; Andrey1970AppleLife; mikebeaton; PMheart
10,betaflight/betaflight,https://github.com/betaflight/betaflight,Open Source Flight Controller Firmware,C,11055,3816,3 stars today,mikeller; hydra; martinbudden; blckmn; borisbstyle
11,erincatto/box2d,https://github.com/erincatto/box2d,Box2D is a 2D physics engine for games,C,9707,1767,6 stars today,erincatto; wub; sbeca; flyover; zammitjames
12,mpv-player/mpv,https://github.com/mpv-player/mpv,🎥 Command line media player,C,35506,3371,14 stars today,kasper93; Dudemanguy; haasn; guidocella; pigoz
13,DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,Flipper Zero Unleashed Firmware,C,21694,1890,5 stars today,xMasterX; skotopes; hedger; gornekich; DrZlo13
14,ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,"ImageMagick is a free, open-source software suite for creating, editing, converting, and displaying images. It supports 200+ formats and offers powerful command-line tools and APIs for automation, scripting, and integration across platforms.",C,16652,1604,16 stars today,dlemstra; glennrp; dependabot; reaperhulk; jgj212
15,zmkfirmware/zmk,https://github.com/zmkfirmware/zmk,ZMK Firmware Repository,C,4099,3979,5 stars today,petejohanson; caksoylar; innovaker; Nicell; joelspadin
16,HarbourMasters/Ghostship,https://github.com/HarbourMasters/Ghostship,Pas de description,C,578,41,9 stars today,KiritoDv; inspectredc; Caladius; Malkierian; garrettjoecox
17,glfw/glfw,https://github.com/glfw/glfw,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input",C,15080,5893,6 stars today,elmindreda; linkmauve; dougbinks; adrianbroher; siavashserver
18,curl/curl,https://github.com/curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,42083,7230,11 stars today,bagder; vszakats; yangtse; captain-caveman2k; dfandrich
19,X11Libre/xserver,https://github.com/X11Libre/xserver,XLibre Xserver,C,4606,228,8 stars today,metux; whot; nwnk; keith-packard; jeremyhu
