Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,veracrypt/VeraCrypt,https://github.com/veracrypt/VeraCrypt,Disk encryption with strong security based on TrueCrypt,C,10632,1235,246 stars today,idrassi; Jertzukka; sandakersmann; Patriccollu; Matthaiks
2,nothings/stb,https://github.com/nothings/stb,stb single-file public domain libraries for C/C++,C,34110,8067,16 stars today,nothings; rygorous; BSVino; ocornut; rwhitworth
3,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,22998,1674,"1,484 stars today",DeusData; claude; shanemccarron-maker; dependabot; dLo999
4,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6755,2913,7 stars today,gilles-peskine-arm; mpg; ronald-cron-arm; daverodgman; valeriosetti
5,lvgl/lvgl,https://github.com/lvgl/lvgl,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type.",C,23956,4240,16 stars today,kisvegabor; embeddedt; FASTSHIFT; github-actions; AndreCostaaa
6,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,144805,13359,117 stars today,rom1v; yume-chan; npes87184; brunoais; rootkea
7,libuv/libuv,https://github.com/libuv/libuv,Cross-platform asynchronous I/O,C,26950,3890,4 stars today,bnoordhuis; piscisaureus; saghul; ry; cjihrig
8,fanchmwrt/fanchmwrt,https://github.com/fanchmwrt/fanchmwrt,An open-source enterprise-grade router system based on OpenWrt.,C,628,172,3 stars today,juhosg; ffainelli; hauke; nbd168; jow-
9,rvaiya/keyd,https://github.com/rvaiya/keyd,A key remapping daemon for linux.,C,5672,260,23 stars today,rvaiya; canadaduane; rhansen; tkna91; jbeich
10,facebook/zstd,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,C,27312,2514,8 stars today,Cyan4973; terrelln; inikep; felixhandte; stellamplau
11,microsoft/mimalloc,https://github.com/microsoft/mimalloc,mimalloc is a compact general purpose allocator with excellent performance.,C,13135,1129,6 stars today,daanx; devnexen; jserv; res2k; asl
12,lwip-tcpip/lwip,https://github.com/lwip-tcpip/lwip,lwIP mirror from http://git.savannah.gnu.org/cgit/lwip.git,C,1668,598,0 stars today,goldsimon; dziegel; gradator; AxelLin; jcunningham10
13,betaflight/betaflight,https://github.com/betaflight/betaflight,Open Source Flight Controller Firmware,C,11157,3864,8 stars today,mikeller; hydra; blckmn; martinbudden; borisbstyle
14,AFLplusplus/AFLplusplus,https://github.com/AFLplusplus/AFLplusplus,"The fuzzer afl++ is afl with community patches, qemu 5.1 upgrade, collision-free coverage, enhanced laf-intel & redqueen, AFLfast++ power schedules, MOpt mutators, unicorn_mode, and a lot more!",C,6628,1304,4 stars today,vanhauser-thc; hexcoder-; domenukk; andreafioraldi; devnexen
15,ventoy/Ventoy,https://github.com/ventoy/Ventoy,A new bootable USB solution.,C,77669,4846,60 stars today,ventoy; wiz64; VenusGirl; crasadure; AnomSanjaya
16,sandboxie-plus/Sandboxie,https://github.com/sandboxie-plus/Sandboxie,Sandboxie Plus & Classic,C,18751,2014,16 stars today,DavidXanatos; isaak654; github-actions; offhub; love-code-yeyixiao
17,xiaojieonly/Ehviewer_CN_SXJ,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,ehviewer，用爱发电，快乐前行,C,24965,655,39 stars today,xiaojieonly; UjuiUjuMandan; wyapx; zhao-ng327; eithwa
18,wolfSSL/wolfssl,https://github.com/wolfSSL/wolfssl,"The wolfSSL library is a small, fast, portable implementation of TLS/SSL for embedded devices to the cloud. wolfSSL supports up to TLS 1.3 and DTLS 1.3! Update to wolfSSL 5.9.1 for the latest CVE fixes.",C,2865,999,2 stars today,dgarske; toddouska; JacobBarthelmeh; douzzer; SparkiDev
19,RT-Thread/rt-thread,https://github.com/RT-Thread/rt-thread,RT-Thread is an open source IoT Real-Time Operating System (RTOS). https://rt-thread.github.io/rt-thread/,C,12079,5428,2 stars today,BernardXiong; mysterywolf; Guozhanxin; aozima; armink
