Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,facebook/zstd,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,C,27324,2514,16 stars today,Cyan4973; terrelln; inikep; felixhandte; stellamplau
2,veracrypt/VeraCrypt,https://github.com/veracrypt/VeraCrypt,Disk encryption with strong security based on TrueCrypt,C,10674,1238,38 stars today,idrassi; Jertzukka; sandakersmann; Patriccollu; Matthaiks
3,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,15786,9457,14 stars today,nashif; jukkar; galak; gmarull; cvinayak
4,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,23934,1762,996 stars today,DeusData; claude; shanemccarron-maker; dependabot; dLo999
5,espressif/esp-idf,https://github.com/espressif/esp-idf,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,C,18458,8360,9 stars today,igrr; projectgus; jack0c; suda-morris; mahavirj
6,nothings/stb,https://github.com/nothings/stb,stb single-file public domain libraries for C/C++,C,34117,8070,7 stars today,nothings; rygorous; BSVino; ocornut; rwhitworth
7,lvgl/lvgl,https://github.com/lvgl/lvgl,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type.",C,23973,4235,14 stars today,kisvegabor; embeddedt; FASTSHIFT; github-actions; AndreCostaaa
8,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6756,2916,4 stars today,gilles-peskine-arm; mpg; ronald-cron-arm; daverodgman; valeriosetti
9,taosdata/TDengine,https://github.com/taosdata/TDengine,"High-performance, scalable time-series database designed for Industrial IoT (IIoT) scenarios",C,24944,5010,5 stars today,guanshengliang; hjxilinx; hzcheng; dapan1121; yihaoDeng
10,redcanaryco/atomic-red-team,https://github.com/redcanaryco/atomic-red-team,Small and highly portable detection tests based on MITRE's ATT&CK.,C,12150,3152,3 stars today,clr2of8; MHaggis; cyberbuff; patel-bhavin; josehelps
11,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4311,1568,1 star today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
12,Klipper3d/klipper,https://github.com/Klipper3d/klipper,Klipper is a 3d-printer firmware,C,11688,5912,5 stars today,KevinOConnor; Arksine; nefelim4ag; dmbutyugin; mcmatrix
13,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,61798,28079,29 stars today,gitster; peff; dscho; pks-t; avar
14,open62541/open62541,https://github.com/open62541/open62541,Open source implementation of OPC UA (OPC Unified Architecture) aka IEC 62541 licensed under Mozilla Public License v2.0,C,3168,1436,2 stars today,jpfr; Stasik0; Pro; andreasebner; ichrispa
15,glfw/glfw,https://github.com/glfw/glfw,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input",C,15139,5908,5 stars today,elmindreda; linkmauve; dougbinks; adrianbroher; siavashserver
16,curl/curl,https://github.com/curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,42264,7253,11 stars today,bagder; vszakats; yangtse; captain-caveman2k; dfandrich
17,nrfconnect/sdk-nrf,https://github.com/nrfconnect/sdk-nrf,nRF Connect SDK main repository,C,1367,1544,4 stars today,MarekPieta; NordicBuilder; krish2718; nordic-piks; nordicjm
18,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,144874,13362,81 stars today,rom1v; yume-chan; npes87184; brunoais; rootkea
