Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,brunodev85/winlator,https://github.com/brunodev85/winlator,Android application for running Windows applications with Wine and Box86/Box64,C,18098,1507,20 stars today,brunodev85; kazimaruf991; Kashinathpat; hackcasual; lvonasek
2,dorianborian/sesame-robot,https://github.com/dorianborian/sesame-robot,An open and affordable mini quadruped robot based on ESP32.,C,3267,442,109 stars today,dorianborian; shariqnaiyer; one-for-all; vido89; maximeconnolly
3,facebook/zstd,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,C,27348,2520,8 stars today,Cyan4973; terrelln; inikep; felixhandte; stellamplau
4,xiaojieonly/Ehviewer_CN_SXJ,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,ehviewer，用爱发电，快乐前行,C,25099,660,31 stars today,xiaojieonly; UjuiUjuMandan; wyapx; zhao-ng327; eithwa
5,nothings/stb,https://github.com/nothings/stb,stb single-file public domain libraries for C/C++,C,34133,8070,7 stars today,nothings; rygorous; BSVino; ocornut; rwhitworth
6,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6769,2922,1 star today,gilles-peskine-arm; mpg; ronald-cron-arm; daverodgman; valeriosetti
7,erincatto/box2d,https://github.com/erincatto/box2d,Box2D is a 2D physics engine for games,C,9968,1775,30 stars today,erincatto; wub; sbeca; flyover; zammitjames
8,raspberrypi/pico-sdk,https://github.com/raspberrypi/pico-sdk,Pas de description,C,4867,1252,1 star today,kilograham; lurch; peterharperuk; will-v-pi; Wren6991
9,sqlcipher/sqlcipher,https://github.com/sqlcipher/sqlcipher,SQLCipher is a standalone fork of SQLite that adds 256 bit AES encryption of database files and other security features.,C,7196,1394,2 stars today,sjlombardo; developernotes; billymeltdown; R4N; cnoon
10,reactos/reactos,https://github.com/reactos/reactos,A free Windows-compatible Operating System,C,17734,2144,14 stars today,AmineKhaldi; tkreuzer; EricKohl; HBelusca; ThFabba
11,obsproject/obs-studio,https://github.com/obsproject/obs-studio,OBS Studio - Free and open source software for live streaming and screen recording,C,73656,9404,25 stars today,jp9000; jpark37; derrod; PatTheMav; RytoEX
12,pymumu/smartdns,https://github.com/pymumu/smartdns,"A local DNS server to obtain the fastest website IP for the best Internet experience, support DoT, DoH, DoQ. 一个本地DNS服务器，获取最快的网站IP，获得最佳上网体验，支持DoH，DoT，DoQ。",C,10974,1229,11 stars today,pymumu; PikuZheng; xianren78; Aukansh; felixonmars
13,DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,Flipper Zero Unleashed Firmware,C,21797,1895,9 stars today,xMasterX; skotopes; hedger; gornekich; DrZlo13
14,hashcat/hashcat,https://github.com/hashcat/hashcat,World's fastest and most advanced password recovery utility,C,26272,3484,5 stars today,jsteube; matrix; philsmd; hashcat-bot; neheb
15,timescale/timescaledb,https://github.com/timescale/timescaledb,A time-series database for high-performance real-time analytics packaged as a Postgres extension,C,23043,1117,5 stars today,svenklemm; erimatnor; akuzm; cevian; mkindahl
16,DaveGamble/cJSON,https://github.com/DaveGamble/cJSON,Ultralightweight JSON parser in ANSI C,C,12834,3496,3 stars today,FSMaxB; Alanscut; DaveGamble; kbranigan; gatzka
17,microsoft/mimalloc,https://github.com/microsoft/mimalloc,mimalloc is a compact general purpose allocator with excellent performance.,C,13150,1133,7 stars today,daanx; devnexen; jserv; res2k; asl
