Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,nginx/nginx,https://github.com/nginx/nginx,The official NGINX Open Source repository.,C,31144,8062,27 stars today,mdounin; arut; vl-homutov; VBart; pluknet
2,hathach/tinyusb,https://github.com/hathach/tinyusb,An open source cross-platform USB stack for embedded system,C,6963,1471,6 stars today,hathach; HiFiPhile; pigrew; kkitayam; claude
3,madler/zlib,https://github.com/madler/zlib,A massively spiffy yet delicately unobtrusive compression library.,C,6958,2802,2 stars today,madler; nmoinvaz; Chi-Iroh; DimitriPapadopoulos; Vollstrecker
4,pymumu/smartdns,https://github.com/pymumu/smartdns,"A local DNS server to obtain the fastest website IP for the best Internet experience, support DoT, DoH, DoQ. 一个本地DNS服务器，获取最快的网站IP，获得最佳上网体验，支持DoH，DoT，DoQ。",C,11019,1233,12 stars today,pymumu; PikuZheng; xianren78; Aukansh; felixonmars
5,openwall/john,https://github.com/openwall/john,"John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs",C,13353,2520,3 stars today,magnumripper; jfoug; solardiz; kholia; sayan1an
6,mgba-emu/mgba,https://github.com/mgba-emu/mgba,mGBA Game Boy Advance Emulator,C,7161,1023,8 stars today,endrift; ahigerd; lotharsm; bentley; waddlesplash
7,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,15843,9522,13 stars today,nashif; jukkar; galak; gmarull; cvinayak
8,microsoft/PowerToys,https://github.com/microsoft/PowerToys,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows,C,136158,8213,53 stars today,crutkas; bao-qian; qianlifeng; jaimecbernardo; niels9001
9,Cisco-Talos/clamav,https://github.com/Cisco-Talos/clamav,ClamAV - Documentation is here: https://docs.clamav.net,C,6950,886,6 stars today,val-ms; Emzi-Noxum; TheRaynMan; recvfrom; steve-morgan
10,apache/httpd,https://github.com/apache/httpd,Mirror of Apache HTTP Server. Issues: http://issues.apache.org,C,4029,1276,13 stars today,wrowe; trawick; rbowen; notroj; jimjag
11,reactos/reactos,https://github.com/reactos/reactos,A free Windows-compatible Operating System,C,17787,2149,12 stars today,AmineKhaldi; tkreuzer; EricKohl; HBelusca; ThFabba
12,php/php-src,https://github.com/php/php-src,The PHP Interpreter,C,40219,8111,3 stars today,dstogov; nikic; weltling; cmb69; laruence
13,antirez/ds4,https://github.com/antirez/ds4,"DeepSeek 4 Flash and PRO local inference engine for Metal, CUDA and ROCm",C,18002,1542,121 stars today,antirez; mitsuhiko; claude; jackygurui; cv
14,libuv/libuv,https://github.com/libuv/libuv,Cross-platform asynchronous I/O,C,26981,3895,4 stars today,bnoordhuis; piscisaureus; saghul; ry; cjihrig
15,htop-dev/htop,https://github.com/htop-dev/htop,htop - an interactive process viewer,C,8166,603,1 star today,cgzones; hishamhm; BenBE; natoscott; Explorer09
16,OISF/suricata,https://github.com/OISF/suricata,"Suricata is a network Intrusion Detection System, Intrusion Prevention System and Network Security Monitoring engine developed by the OISF and the Suricata community.",C,6441,1738,5 stars today,victorjulien; jasonish; catenacyber; regit; jlucovsky
17,wolfSSL/wolfssl,https://github.com/wolfSSL/wolfssl,"The wolfSSL library is a small, fast, portable implementation of TLS/SSL for embedded devices to the cloud. wolfSSL supports up to TLS 1.3 and DTLS 1.3! Update to wolfSSL 5.9.1 for the latest CVE fixes.",C,2867,1005,1 star today,dgarske; toddouska; JacobBarthelmeh; douzzer; SparkiDev
18,armink/FlashDB,https://github.com/armink/FlashDB,An ultra-lightweight database that supports key-value and time series data | 一款支持 KV 数据和时序数据的超轻量级数据库,C,2774,554,29 stars today,armink; benpicco; eggcar; shihang-zhang; Spider84
19,RT-Thread/rt-thread,https://github.com/RT-Thread/rt-thread,RT-Thread is an open source IoT Real-Time Operating System (RTOS). https://rt-thread.github.io/rt-thread/,C,12093,5437,4 stars today,BernardXiong; mysterywolf; Guozhanxin; aozima; armink
