Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,bol-van/zapret,https://github.com/bol-van/zapret,DPI bypass multi platform,C,15763,1096,25 stars today,bol-van; maximilionus; spvkgn; anphsw; chymaboy
2,obsproject/obs-studio,https://github.com/obsproject/obs-studio,OBS Studio - Free and open source software for live streaming and screen recording,C,73829,9424,28 stars today,jp9000; jpark37; derrod; PatTheMav; RytoEX
3,microsoft/PowerToys,https://github.com/microsoft/PowerToys,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows,C,136544,8368,188 stars today,crutkas; bao-qian; qianlifeng; jaimecbernardo; niels9001
4,antirez/ds4,https://github.com/antirez/ds4,"DeepSeek 4 Flash and PRO local inference engine for Metal, CUDA and ROCm",C,18343,1584,92 stars today,antirez; mitsuhiko; claude; jackygurui; cv
5,radareorg/radare2,https://github.com/radareorg/radare2,UNIX-like reverse engineering framework and command-line toolset,C,24318,3274,7 stars today,radare; trufae; condret; alvarofe; XVilka
6,php/php-src,https://github.com/php/php-src,The PHP Interpreter,C,40238,8112,4 stars today,dstogov; nikic; weltling; cmb69; laruence
7,fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,"A maintained, feature-rich and performance oriented, neofetch like system information tool.",C,23688,829,17 stars today,CarterLi; LinusDierheimer; DarNCelsius; apocelipes; x-zvf
8,mpv-player/mpv,https://github.com/mpv-player/mpv,🎥 Command line media player,C,35965,3417,19 stars today,kasper93; Dudemanguy; guidocella; haasn; pigoz
9,espeak-ng/espeak-ng,https://github.com/espeak-ng/espeak-ng,eSpeak NG is an open source speech synthesizer that supports more than hundred languages and accents.,C,6640,1251,4 stars today,rhdunn; valdisvi; jaacoppi; alex19EP; sthibaul
10,systemd/systemd,https://github.com/systemd/systemd,The systemd System and Service Manager,C,16491,4585,6 stars today,poettering; yuwata; keszybz; bluca; daandemeyer
11,curl/curl,https://github.com/curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,42396,7274,17 stars today,bagder; vszakats; yangtse; captain-caveman2k; dfandrich
12,openwrt/openwrt,https://github.com/openwrt/openwrt,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins. We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.,C,27525,12629,12 stars today,juhosg; ffainelli; hauke; nbd168; jow-
13,Klipper3d/klipper,https://github.com/Klipper3d/klipper,Klipper is a 3d-printer firmware,C,11707,5919,2 stars today,KevinOConnor; Arksine; nefelim4ag; dmbutyugin; mcmatrix
14,stackia/rtp2httpd,https://github.com/stackia/rtp2httpd,"Multicast RTP/RTSP to Unicast HTTP stream converter, with built-in web player, status dashboard, fast channel change support, and more!",C,1879,296,4 stars today,stackia; claude; github-actions; laozhoubuluo; oskar456
15,coolsnowwolf/lede,https://github.com/coolsnowwolf/lede,Lean's LEDE source,C,31522,19269,12 stars today,coolsnowwolf; aiamadeus; dangowrt; Beginner-Go; nbd168
16,EpicGames/raddebugger,https://github.com/EpicGames/raddebugger,"A native, user-mode, multi-process, graphical debugger.",C,7230,333,8 stars today,ryanfleury; NikitaSmith057; mmozeiko; NikitaAtEpic; andreymlv
