Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,erincatto/box3d,https://github.com/erincatto/box3d,Box3D is a 3D physics engine for games,C,5473,255,29 stars today,erincatto; gafferongames
2,OpenEtherCATsociety/SOEM,https://github.com/OpenEtherCATsociety/SOEM,Simple Open Source EtherCAT Master,C,2018,893,1 star today,hefloryd; nakarlsson; ArthurKetels; mheden; claudioscordino
3,pgbouncer/pgbouncer,https://github.com/pgbouncer/pgbouncer,lightweight connection pooler for PostgreSQL,C,4272,582,4 stars today,markokr; petere; JelteF; eulerto; emelsimsek
4,colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,"Pre-indexed code knowledge graph, auto syncs on code changes, for Claude Code, Codex, Gemini, Cursor, OpenCode, AntiGravity, Kiro, and Hermes Agent — fewer tokens, fewer tool calls, 100% local",C,61743,3866,270 stars today,colbymchenry; claude; github-actions; omonien; andreinknv
5,valkey-io/valkey,https://github.com/valkey-io/valkey,A flexible distributed key-value database that is optimized for caching and other realtime workloads.,C,26584,1243,15 stars today,antirez; oranagra; enjoy-binbin; pietern; madolson
6,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,34230,2625,504 stars today,DeusData; shanemccarron-maker; claude; dependabot; mvanhorn
7,openwrt/openwrt,https://github.com/openwrt/openwrt,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins. We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.,C,27627,12660,11 stars today,juhosg; ffainelli; nbd168; hauke; jow-
8,libuv/libuv,https://github.com/libuv/libuv,Cross-platform asynchronous I/O,C,27018,3903,2 stars today,bnoordhuis; piscisaureus; saghul; ry; cjihrig
9,asterisk/asterisk,https://github.com/asterisk/asterisk,The official Asterisk Project repository.,C,3398,1278,7 stars today,jcolp; russellb; tilghman; rmudgett9125; gtjoseph
10,openwall/john,https://github.com/openwall/john,"John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs",C,13412,2526,7 stars today,magnumripper; jfoug; solardiz; kholia; sayan1an
11,FRRouting/frr,https://github.com/FRRouting/frr,The FRRouting Protocol Suite,C,4216,1571,2 stars today,donaldsharp; ton31337; eqvinox; qlyoung; riw777
12,henrypp/simplewall,https://github.com/henrypp/simplewall,Simple tool to configure Windows Filtering Platform (WFP) which can configure network activity on your computer.,C,8651,635,13 stars today,henrypp; ltguillaume; andrewczm; rddim; Alcazer
13,DPDK/dpdk,https://github.com/DPDK/dpdk,Data Plane Development Kit,C,4330,1496,3 stars today,bruce-richardson; shemminger; david-marchand; tmonjalo; qzhan16
14,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,15969,9592,11 stars today,nashif; jukkar; galak; gmarull; cvinayak
15,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30499,11372,7 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
16,xiaojieonly/Ehviewer_CN_SXJ,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,ehviewer，用爱发电，快乐前行,C,25508,669,26 stars today,xiaojieonly; UjuiUjuMandan; wyapx; zhao-ng327; eithwa
17,obsproject/obs-studio,https://github.com/obsproject/obs-studio,OBS Studio - Free and open source software for live streaming and screen recording,C,74072,9453,41 stars today,jp9000; jpark37; derrod; PatTheMav; RytoEX
18,meshcore-dev/MeshCore,https://github.com/meshcore-dev/MeshCore,"A new lightweight, hybrid routing mesh protocol for packet radios",C,3291,1134,8 stars today,ripplebiz; liamcottle; fdlamotte; recrof; oltaco
19,signalwire/freeswitch,https://github.com/signalwire/freeswitch,"FreeSWITCH is a Software Defined Telecom Stack enabling the digital transformation from proprietary telecom switches to a versatile software implementation that runs on any commodity hardware. From a Raspberry PI to a multi-core server, FreeSWITCH can unlock the telecommunications potential of any device.",C,5025,1812,4 stars today,anthmFS; mjerris; briankwest; andywolk; seven1240
