Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,espressif/esp-idf,https://github.com/espressif/esp-idf,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,C,18644,8408,8 stars today,igrr; projectgus; jack0c; suda-morris; mahavirj
2,madler/zlib,https://github.com/madler/zlib,A massively spiffy yet delicately unobtrusive compression library.,C,6988,2822,4 stars today,madler; nmoinvaz; Chi-Iroh; DimitriPapadopoulos; Vollstrecker
3,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30533,11376,9 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
4,colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,"Pre-indexed code knowledge graph, auto syncs on code changes, for Claude Code, Codex, Gemini, Cursor, OpenCode, AntiGravity, Kiro, and Hermes Agent — fewer tokens, fewer tool calls, 100% local",C,63389,3984,253 stars today,colbymchenry; claude; github-actions; omonien; andreinknv
5,86Box/86Box,https://github.com/86Box/86Box,Emulator of x86-based machines.,C,4477,542,12 stars today,OBattler; richardg867; jriwanek; Cacodemon345; TC1995
6,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,16055,9641,33 stars today,nashif; jukkar; galak; gmarull; cvinayak
7,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4382,1581,1 star today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
8,facebook/zstd,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,C,27484,2546,8 stars today,Cyan4973; terrelln; inikep; felixhandte; stellamplau
9,FreeRDP/FreeRDP,https://github.com/FreeRDP/FreeRDP,FreeRDP is a free remote desktop protocol library and clients,C,13501,15380,5 stars today,akallabeth; awakecoding; hardening; bmiklautz; mfleisz
10,quickjs-ng/quickjs,https://github.com/quickjs-ng/quickjs,"QuickJS, the Next Generation: a mighty JavaScript engine",C,3468,340,10 stars today,saghul; bnoordhuis; chqrlie; bellard; littledivy
11,lvgl/lvgl,https://github.com/lvgl/lvgl,"LVGL is a free, full-featured embedded UI library for devices from small MCUs to 3D-capable MPUs, enhanced by LVGL Pro, a professional editor and tooling.",C,24247,4271,13 stars today,kisvegabor; embeddedt; FASTSHIFT; github-actions; AndreCostaaa
12,fwupd/fwupd,https://github.com/fwupd/fwupd,A system daemon to allow session software to update firmware,C,4101,618,3 stars today,hughsie; superm1; weblate; claude; dependabot
13,antirez/ds4,https://github.com/antirez/ds4,"DeepSeek 4 Flash and PRO local inference engine for Metal, CUDA and ROCm",C,19436,1722,60 stars today,antirez; mitsuhiko; claude; jackygurui; cv
14,DaveGamble/cJSON,https://github.com/DaveGamble/cJSON,Ultralightweight JSON parser in ANSI C,C,12887,3503,5 stars today,FSMaxB; Alanscut; DaveGamble; kbranigan; gatzka
15,pgvector/pgvector,https://github.com/pgvector/pgvector,Open-source vector similarity search for Postgres,C,22393,1258,17 stars today,ankane; hlinnaka; jkatz; lychen0618; binarycleric
16,Klipper3d/klipper,https://github.com/Klipper3d/klipper,Klipper is a 3d-printer firmware,C,11777,5920,4 stars today,KevinOConnor; Arksine; nefelim4ag; dmbutyugin; mcmatrix
17,ufrisk/pcileech,https://github.com/ufrisk/pcileech,Direct Memory Access (DMA) Attack Software,C,7843,1013,5 stars today,ufrisk; signal-5; shuffle2; blunden; blshkv
18,yugabyte/yugabyte-db,https://github.com/yugabyte/yugabyte-db,YugabyteDB - the cloud native distributed SQL database for mission-critical applications.,C,10436,1294,2 stars today,ddhodge; spolitov; aishwarya24; mbautin; jaki
19,ps2homebrew/Open-PS2-Loader,https://github.com/ps2homebrew/Open-PS2-Loader,Game and app loader for Sony PlayStation 2,C,2983,419,1 star today,jimmikaelkael; sp193; uyjulian; rickgaiser; KrahJohlito
