Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,php/php-src,https://github.com/php/php-src,The PHP Interpreter,C,40281,8112,11 stars today,dstogov; nikic; weltling; cmb69; iliaal
2,antirez/ds4,https://github.com/antirez/ds4,"DeepSeek 4 Flash and PRO local inference engine for Metal, CUDA and ROCm",C,20687,1844,115 stars today,antirez; Entrpi; claude; mitsuhiko; gigioneggiando
3,obsproject/obs-studio,https://github.com/obsproject/obs-studio,OBS Studio - Free and open source software for live streaming and screen recording,C,74601,9599,52 stars today,jp9000; jpark37; derrod; PatTheMav; RytoEX
4,lz4/lz4,https://github.com/lz4/lz4,Extremely Fast Compression algorithm,C,11992,1571,3 stars today,Cyan4973; inikep; t-mat; felixhandte; dependabot
5,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30566,11386,8 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
6,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,62419,28224,34 stars today,gitster; peff; dscho; pks-t; avar
7,linux-rdma/rdma-core,https://github.com/linux-rdma/rdma-core,RDMA core userspace libraries and daemons,C,2335,893,1 star today,jgunthorpe; rleon; yishaih; bdrung; larrystevenwise
8,daos-stack/daos,https://github.com/daos-stack/daos,"DAOS Storage Stack (client libraries, storage engine, control plane)",C,962,351,0 stars today,jolivier23; ashleypittman; wangdi1; tanabarr; liuxuezhao
9,vedderb/bldc,https://github.com/vedderb/bldc,The VESC motor control firmware,C,3321,1902,1 star today,vedderb; Mitchlol; nitrousnrg; kubark42; Jfriesen222
10,nothings/stb,https://github.com/nothings/stb,stb single-file public domain libraries for C/C++,C,34349,8073,9 stars today,nothings; rygorous; BSVino; ocornut; rwhitworth
11,lvgl/lvgl,https://github.com/lvgl/lvgl,"LVGL is a free, full-featured embedded UI library for devices from small MCUs to 3D-capable MPUs, enhanced by LVGL Pro, a professional editor and tooling.",C,24305,4279,14 stars today,kisvegabor; embeddedt; FASTSHIFT; github-actions; AndreCostaaa
12,armel/uv-k1-k5v3-firmware-custom,https://github.com/armel/uv-k1-k5v3-firmware-custom,This is a fork of F4HWN firmware https://github.com/armel/uv-k5-firmware-custom by @muzkr and @armel,C,563,140,0 stars today,armel; mrkusypl; muzkr; mengzhuo; superkd13
13,betaflight/betaflight,https://github.com/betaflight/betaflight,Open Source Flight Controller Firmware,C,11317,3947,7 stars today,mikeller; hydra; blckmn; martinbudden; borisbstyle
14,sonic-net/sonic-buildimage,https://github.com/sonic-net/sonic-buildimage,Scripts which perform an installable binary image build for SONiC,C,1008,1906,0 stars today,mssonicbld; lguohan; jleveque; qiluo-msft; saiarcot895
15,radareorg/radare2,https://github.com/radareorg/radare2,UNIX-like reverse engineering framework and command-line toolset,C,24505,3292,10 stars today,radare; trufae; condret; alvarofe; XVilka
16,FRRouting/frr,https://github.com/FRRouting/frr,The FRRouting Protocol Suite,C,4232,1583,3 stars today,donaldsharp; ton31337; eqvinox; qlyoung; riw777
