Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,timescale/timescaledb,https://github.com/timescale/timescaledb,A time-series database for high-performance real-time analytics packaged as a Postgres extension,C,23260,1131,11 stars today,svenklemm; erimatnor; akuzm; cevian; mkindahl
2,lvgl/lvgl,https://github.com/lvgl/lvgl,"LVGL is a free, full-featured embedded UI library for devices from small MCUs to 3D-capable MPUs, enhanced by LVGL Pro, a professional editor and tooling.",C,24320,4284,6 stars today,kisvegabor; embeddedt; FASTSHIFT; AndreCostaaa; github-actions
3,madler/zlib,https://github.com/madler/zlib,A massively spiffy yet delicately unobtrusive compression library.,C,7005,2826,3 stars today,madler; nmoinvaz; Chi-Iroh; DimitriPapadopoulos; Vollstrecker
4,colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,"Pre-indexed code knowledge graph, auto syncs on code changes, for Claude Code, Codex, Gemini, Cursor, OpenCode, AntiGravity, Kiro, and Hermes Agent — fewer tokens, fewer tool calls, 100% local",C,65337,4108,294 stars today,colbymchenry; claude; github-actions; omonien; andreinknv
5,quickjs-ng/quickjs,https://github.com/quickjs-ng/quickjs,"QuickJS, the Next Generation: a mighty JavaScript engine",C,3533,344,11 stars today,saghul; bnoordhuis; chqrlie; bellard; littledivy
6,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,16147,9697,12 stars today,nashif; jukkar; galak; gmarull; cvinayak
7,curl/curl,https://github.com/curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,42554,7299,11 stars today,bagder; vszakats; yangtse; captain-caveman2k; dfandrich
8,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6859,2945,1 star today,gilles-peskine-arm; mpg; ronald-cron-arm; valeriosetti; daverodgman
9,nicbarker/clay,https://github.com/nicbarker/clay,High performance UI layout library in C.,C,17772,696,10 stars today,nicbarker; github-actions; FintasticMan; bullno1; SuperOptimizer
10,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,38064,3029,254 stars today,DeusData; shanemccarron-maker; claude; dependabot; mvanhorn
11,zmkfirmware/zmk,https://github.com/zmkfirmware/zmk,ZMK Firmware Repository,C,4205,4080,3 stars today,petejohanson; caksoylar; dependabot; innovaker; Nicell
12,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4400,1590,1 star today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
13,asterisk/asterisk,https://github.com/asterisk/asterisk,The official Asterisk Project repository.,C,3431,1290,4 stars today,jcolp; russellb; tilghman; rmudgett9125; gtjoseph
14,wolfSSL/wolfssl,https://github.com/wolfSSL/wolfssl,"The wolfSSL library is a small, fast, portable implementation of TLS/SSL for embedded devices to the cloud. wolfSSL supports up to TLS 1.3 and DTLS 1.3! Update to wolfSSL 5.9.1 for the latest CVE fixes.",C,2899,1014,1 star today,dgarske; toddouska; JacobBarthelmeh; douzzer; SparkiDev
15,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,147160,13551,66 stars today,rom1v; yume-chan; npes87184; brunoais; rootkea
16,facebook/zstd,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,C,27528,2549,4 stars today,Cyan4973; terrelln; inikep; felixhandte; stellamplau
17,microsoft/mimalloc,https://github.com/microsoft/mimalloc,mimalloc is a compact general purpose allocator with excellent performance.,C,13267,1150,1 star today,daanx; devnexen; jserv; res2k; asl
