Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,nicbarker/clay,https://github.com/nicbarker/clay,High performance UI layout library in C.,C,17913,709,27 stars today,nicbarker; github-actions; FintasticMan; bullno1; SuperOptimizer
2,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,39429,3170,145 stars today,DeusData; shanemccarron-maker; claude; dependabot; mvanhorn
3,colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,"Pre-indexed code knowledge graph, auto syncs on code changes, for Claude Code, Codex, Gemini, Cursor, OpenCode, AntiGravity, Kiro, and Hermes Agent — fewer tokens, fewer tool calls, 100% local",C,66957,4245,174 stars today,colbymchenry; claude; github-actions; omonien; ctype-lab
4,microsoft/PowerToys,https://github.com/microsoft/PowerToys,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows,C,137854,8492,36 stars today,crutkas; bao-qian; niels9001; qianlifeng; jaimecbernardo
5,HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,HandBrake's development repository,C,24068,1674,25 stars today,sr55; jstebbins; galad87; bradleysepos; jbrjake
6,fluent/fluent-bit,https://github.com/fluent/fluent-bit,"Fast and Lightweight Logs, Metrics and Traces processor for Linux, BSD, OSX and Windows",C,8039,1981,1 star today,edsiper; cosmo0920; nokute78; pwhelan; leonardo-albertovich
7,FRRouting/frr,https://github.com/FRRouting/frr,The FRRouting Protocol Suite,C,4253,1593,2 stars today,donaldsharp; ton31337; eqvinox; qlyoung; riw777
8,mackron/miniaudio,https://github.com/mackron/miniaudio,"Audio playback and capture library written in C, in a single source file.",C,7148,592,5 stars today,mackron; tycho; znakeeye; Clownacy; iarwain
9,u-boot/u-boot,https://github.com/u-boot/u-boot,"""Das U-Boot"" Source Tree",C,5193,4576,1 star today,sjg20; trini; xypron; wdenx; masahir0y
10,eclipse-mosquitto/mosquitto,https://github.com/eclipse-mosquitto/mosquitto,Eclipse Mosquitto - An open source MQTT broker,C,11134,2627,4 stars today,ralight; keptt; karlp; NorbertHeusser; PierreF
11,espressif/esp-idf,https://github.com/espressif/esp-idf,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,C,18813,8436,10 stars today,igrr; projectgus; jack0c; suda-morris; mahavirj
12,Next-Flip/Momentum-Firmware,https://github.com/Next-Flip/Momentum-Firmware,"🐬 Feature-rich, stable and customizable Flipper Firmware",C,9045,578,4 stars today,WillyJL; xMasterX; skotopes; hedger; Astrrra
13,NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,NVIDIA Linux open GPU kernel module source,C,17297,1804,4 stars today,niv; aritger; mmaneetsingh; misyltoad; gauravjuvekar
14,DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,Flipper Zero Unleashed Firmware,C,22071,1930,2 stars today,xMasterX; skotopes; hedger; gornekich; DrZlo13
15,libjpeg-turbo/libjpeg-turbo,https://github.com/libjpeg-turbo/libjpeg-turbo,Main libjpeg-turbo repository,C,4391,1171,2 stars today,dcommander; jwright-arm; mayeut; CendioOssman; kornelski
16,tmux/tmux,https://github.com/tmux/tmux,tmux source code,C,48707,2839,34 stars today,nicm; ThomasAdam; tcunha; actions-user; mathstuf
17,madler/zlib,https://github.com/madler/zlib,A massively spiffy yet delicately unobtrusive compression library.,C,7026,2834,5 stars today,madler; nmoinvaz; Chi-Iroh; DimitriPapadopoulos; Vollstrecker
