Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30666,11401,7 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
2,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,39707,3191,159 stars today,DeusData; shanemccarron-maker; claude; dependabot; mvanhorn
3,jqlang/jq,https://github.com/jqlang/jq,Command-line JSON processor,C,35478,1820,7 stars today,stedolan; nicowilliams; itchyny; dtolnay; github-actions
4,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6889,2955,5 stars today,gilles-peskine-arm; mpg; ronald-cron-arm; valeriosetti; daverodgman
5,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,147989,13629,71 stars today,rom1v; yume-chan; npes87184; brunoais; rootkea
6,nginx/nginx,https://github.com/nginx/nginx,The official NGINX Open Source repository.,C,31461,8262,12 stars today,mdounin; arut; vl-homutov; VBart; pluknet
7,microsoft/mimalloc,https://github.com/microsoft/mimalloc,mimalloc is a compact general purpose allocator with excellent performance.,C,13314,1160,4 stars today,daanx; devnexen; jserv; res2k; asl
8,yugabyte/yugabyte-db,https://github.com/yugabyte/yugabyte-db,YugabyteDB - the cloud native distributed SQL database for mission-critical applications.,C,10485,1304,4 stars today,ddhodge; spolitov; aishwarya24; mbautin; jaki
9,redis/redis,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,76064,24758,19 stars today,antirez; oranagra; pietern; enjoy-binbin; sundb
10,colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,"Pre-indexed code knowledge graph, auto syncs on code changes, for Claude Code, Codex, Gemini, Cursor, OpenCode, AntiGravity, Kiro, and Hermes Agent — fewer tokens, fewer tool calls, 100% local",C,67410,4278,253 stars today,colbymchenry; claude; github-actions; omonien; ctype-lab
11,FreeRDP/FreeRDP,https://github.com/FreeRDP/FreeRDP,FreeRDP is a free remote desktop protocol library and clients,C,13582,15408,9 stars today,akallabeth; awakecoding; hardening; bmiklautz; mfleisz
12,libjpeg-turbo/libjpeg-turbo,https://github.com/libjpeg-turbo/libjpeg-turbo,Main libjpeg-turbo repository,C,4397,1172,0 stars today,dcommander; jwright-arm; mayeut; CendioOssman; kornelski
13,facebook/zstd,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,C,27590,2559,8 stars today,Cyan4973; terrelln; inikep; felixhandte; stellamplau
14,NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,NVIDIA Linux open GPU kernel module source,C,17305,1809,5 stars today,niv; aritger; mmaneetsingh; misyltoad; gauravjuvekar
15,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4427,1597,3 stars today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
16,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,16268,9791,9 stars today,nashif; jukkar; galak; gmarull; kartben
17,microsoft/PowerToys,https://github.com/microsoft/PowerToys,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows,C,137915,8494,47 stars today,crutkas; bao-qian; niels9001; qianlifeng; jaimecbernardo
18,sabrogden/Ditto,https://github.com/sabrogden/Ditto,Ditto is an extension to the Windows Clipboard. You copy something to the Clipboard and Ditto takes what you copied and stores it in a database to retrieve at a later time.,C,6986,432,2 stars today,sabrogden; dcog989; PzaThief; schmurtzm; bovirus
19,SchedMD/slurm,https://github.com/SchedMD/slurm,Slurm: A Highly Scalable Workload Manager,C,4268,880,1 star today,dannyauble; jette; wickberg; naterini; gaijin03
20,lvgl/lvgl,https://github.com/lvgl/lvgl,"LVGL is a free, full-featured embedded UI library for devices from small MCUs to 3D-capable MPUs, enhanced by LVGL Pro, a professional editor and tooling.",C,24431,4308,11 stars today,kisvegabor; embeddedt; FASTSHIFT; AndreCostaaa; github-actions
