Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,quickjs-ng/quickjs,https://github.com/quickjs-ng/quickjs,"QuickJS, the Next Generation: a mighty JavaScript engine",C,3627,353,6 stars today,saghul; bnoordhuis; chqrlie; bellard; littledivy
2,colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,"Pre-indexed code knowledge graph, auto syncs on code changes, for Claude Code, Codex, Gemini, Cursor, OpenCode, AntiGravity, Kiro, and Hermes Agent — fewer tokens, fewer tool calls, 100% local",C,67600,4288,260 stars today,colbymchenry; claude; github-actions; omonien; ctype-lab
3,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4429,1598,3 stars today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
4,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,16283,9804,16 stars today,nashif; jukkar; galak; gmarull; kartben
5,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30671,11400,8 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
6,ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,"ImageMagick is a free, open-source software suite for creating, editing, converting, and displaying images. It supports 200+ formats and offers powerful command-line tools and APIs for automation, scripting, and integration across platforms.",C,17198,1639,6 stars today,dlemstra; glennrp; dependabot; reaperhulk; urban-warrior
7,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6894,2956,5 stars today,gilles-peskine-arm; mpg; ronald-cron-arm; valeriosetti; daverodgman
8,duixcom/Duix-Avatar,https://github.com/duixcom/Duix-Avatar,🚀 Truly open-source AI avatar(digital human) toolkit for offline video generation and digital human cloning.,C,14785,2495,37 stars today,whl88; suifeng9203; haol666; flyingflyfly; Samge0
9,lvgl/lvgl,https://github.com/lvgl/lvgl,"LVGL is a free, full-featured embedded UI library for devices from small MCUs to 3D-capable MPUs, enhanced by LVGL Pro, a professional editor and tooling.",C,24439,4309,8 stars today,kisvegabor; embeddedt; FASTSHIFT; AndreCostaaa; github-actions
10,facebook/zstd,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,C,27592,2561,7 stars today,Cyan4973; terrelln; inikep; felixhandte; stellamplau
11,dorianborian/sesame-robot,https://github.com/dorianborian/sesame-robot,An open and affordable mini quadruped robot based on ESP32.,C,4023,550,3 stars today,dorianborian; shariqnaiyer; one-for-all; vido89; maximeconnolly
12,eclipse-mosquitto/mosquitto,https://github.com/eclipse-mosquitto/mosquitto,Eclipse Mosquitto - An open source MQTT broker,C,11146,2629,1 star today,ralight; keptt; karlp; NorbertHeusser; PierreF
13,microsoft/mimalloc,https://github.com/microsoft/mimalloc,mimalloc is a compact general purpose allocator with excellent performance.,C,13316,1161,7 stars today,daanx; devnexen; jserv; res2k; asl
14,fluent/fluent-bit,https://github.com/fluent/fluent-bit,"Fast and Lightweight Logs, Metrics and Traces processor for Linux, BSD, OSX and Windows",C,8055,1983,7 stars today,edsiper; cosmo0920; nokute78; pwhelan; leonardo-albertovich
15,DaveGamble/cJSON,https://github.com/DaveGamble/cJSON,Ultralightweight JSON parser in ANSI C,C,12934,3516,3 stars today,FSMaxB; Alanscut; DaveGamble; kbranigan; gatzka
16,signalwire/freeswitch,https://github.com/signalwire/freeswitch,"FreeSWITCH is a Software Defined Telecom Stack enabling the digital transformation from proprietary telecom switches to a versatile software implementation that runs on any commodity hardware. From a Raspberry PI to a multi-core server, FreeSWITCH can unlock the telecommunications potential of any device.",C,5106,1836,5 stars today,anthmFS; mjerris; briankwest; andywolk; seven1240
17,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,62717,28270,31 stars today,gitster; peff; dscho; pks-t; avar
18,php/php-src,https://github.com/php/php-src,The PHP Interpreter,C,40307,8132,10 stars today,dstogov; nikic; weltling; cmb69; iliaal
19,nrfconnect/sdk-nrf,https://github.com/nrfconnect/sdk-nrf,nRF Connect SDK main repository,C,1412,1571,0 stars today,MarekPieta; NordicBuilder; krish2718; nordic-piks; nordicjm
20,ventoy/Ventoy,https://github.com/ventoy/Ventoy,A new bootable USB solution.,C,78872,4898,27 stars today,ventoy; wiz64; VenusGirl; crasadure; AnomSanjaya
21,lz4/lz4,https://github.com/lz4/lz4,Extremely Fast Compression algorithm,C,12018,1581,2 stars today,Cyan4973; inikep; t-mat; felixhandte; dependabot
