Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,veracrypt/VeraCrypt,https://github.com/veracrypt/VeraCrypt,Disk encryption with strong security based on TrueCrypt,C,11460,1325,59 stars today,idrassi; Jertzukka; Matthaiks; sandakersmann; Patriccollu
2,microsoft/PowerToys,https://github.com/microsoft/PowerToys,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows,C,138177,8515,47 stars today,crutkas; bao-qian; niels9001; qianlifeng; jaimecbernardo
3,allinurl/goaccess,https://github.com/allinurl/goaccess,GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.,C,20876,1192,8 stars today,allinurl; cgzones; haricot; Sea-n; da2x
4,antirez/ds4,https://github.com/antirez/ds4,"DeepSeek 4 Flash and PRO local inference engine for Metal, CUDA and ROCm",C,21872,2034,74 stars today,antirez; ivanfioravanti; Entrpi; jyatesdotdev; claude
5,lvgl/lvgl,https://github.com/lvgl/lvgl,"LVGL is a free, full-featured embedded UI library for devices from small MCUs to 3D-capable MPUs, enhanced by LVGL Pro, a professional editor and tooling.",C,24516,4327,11 stars today,kisvegabor; embeddedt; FASTSHIFT; AndreCostaaa; github-actions
6,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,16331,9856,12 stars today,nashif; jukkar; galak; gmarull; kartben
7,espeak-ng/espeak-ng,https://github.com/espeak-ng/espeak-ng,eSpeak NG is an open source speech synthesizer that supports more than hundred languages and accents.,C,6779,1278,11 stars today,rhdunn; valdisvi; alex19EP; jaacoppi; sthibaul
8,Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,6925,2958,3 stars today,gilles-peskine-arm; mpg; ronald-cron-arm; valeriosetti; daverodgman
9,brunodev85/winlator,https://github.com/brunodev85/winlator,Android application for running Windows applications with Wine and Box86/Box64,C,18808,1686,10 stars today,brunodev85; kazimaruf991; Kashinathpat; hackcasual; lvonasek
10,FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,"FreeRTOS kernel files only, submoduled into https://github.com/FreeRTOS/FreeRTOS and various other repos.",C,4447,1602,4 stars today,RichardBarry; aggarg; kar-rahul-aws; chinglee-iot; Skptak
11,openssl/openssl,https://github.com/openssl/openssl,General purpose TLS and crypto library,C,30707,11419,10 stars today,levitte; mattcaswell; dot-asm; paulidale; snhenson
12,hathach/tinyusb,https://github.com/hathach/tinyusb,An open source cross-platform USB stack for embedded system,C,7064,1501,3 stars today,hathach; HiFiPhile; claude; pigrew; kkitayam
13,cilium/tetragon,https://github.com/cilium/tetragon,eBPF-based Security Observability and Runtime Enforcement,C,4960,594,2 stars today,olsajiri; cilium-renovate; kkourt; mtardy; tixxdz
14,curl/curl,https://github.com/curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,42706,7329,12 stars today,bagder; vszakats; yangtse; captain-caveman2k; dfandrich
15,espressif/esp-idf,https://github.com/espressif/esp-idf,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,C,18892,8454,8 stars today,igrr; projectgus; jack0c; suda-morris; mahavirj
16,glfw/glfw,https://github.com/glfw/glfw,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input",C,15291,5924,5 stars today,elmindreda; linkmauve; dougbinks; adrianbroher; siavashserver
