Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,nothings/stb,https://github.com/nothings/stb,stb single-file public domain libraries for C/C++,C,34551,8076,18 stars today,nothings; rygorous; BSVino; ocornut; rwhitworth
2,raysan5/raylib,https://github.com/raysan5/raylib,A simple and easy-to-use library to enjoy videogames programming,C,34536,3258,30 stars today,raysan5; a3f; github-actions; JeffM2501; victorfisac
3,openwrt/openwrt,https://github.com/openwrt/openwrt,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins. We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.,C,28157,12871,19 stars today,juhosg; ffainelli; nbd168; hauke; jow-
4,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,148588,13663,77 stars today,rom1v; yume-chan; npes87184; brunoais; rootkea
5,php/php-src,https://github.com/php/php-src,The PHP Interpreter,C,40352,8140,25 stars today,dstogov; nikic; weltling; cmb69; iliaal
6,obsproject/obs-studio,https://github.com/obsproject/obs-studio,OBS Studio - Free and open source software for live streaming and screen recording,C,75634,9952,35 stars today,jp9000; jpark37; derrod; PatTheMav; RytoEX
7,mpv-player/mpv,https://github.com/mpv-player/mpv,🎥 Command line media player,C,36765,3509,19 stars today,kasper93; Dudemanguy; guidocella; haasn; pigoz
8,ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,"ImageMagick is a free, open-source software suite for creating, editing, converting, and displaying images. It supports 200+ formats and offers powerful command-line tools and APIs for automation, scripting, and integration across platforms.",C,17265,1648,11 stars today,dlemstra; glennrp; dependabot; reaperhulk; urban-warrior
9,nicbarker/clay,https://github.com/nicbarker/clay,High performance UI layout library in C.,C,18037,715,9 stars today,nicbarker; github-actions; FintasticMan; bullno1; SuperOptimizer
10,RfidResearchGroup/proxmark3,https://github.com/RfidResearchGroup/proxmark3,Iceman Fork - Proxmark3,C,5997,1418,3 stars today,iceman1001; doegox; merlokk; tharexde; kormax
11,meshcore-dev/MeshCore,https://github.com/meshcore-dev/MeshCore,"A new lightweight, hybrid routing mesh protocol for packet radios",C,3566,1266,7 stars today,ripplebiz; liamcottle; fdlamotte; oltaco; recrof
12,n64decomp/sm64,https://github.com/n64decomp/sm64,"A Super Mario 64 decompilation, brought to you by a bunch of clever folks.",C,8746,1606,2 stars today,mountainflaw; ahouts; bramhaag; RevoSucks; matt-kempster
13,valkey-io/valkey,https://github.com/valkey-io/valkey,A flexible distributed key-value database that is optimized for caching and other realtime workloads.,C,27052,1304,18 stars today,antirez; enjoy-binbin; oranagra; pietern; madolson
14,winsiderss/systeminformer,https://github.com/winsiderss/systeminformer,"A free, powerful, multi-purpose tool that helps you monitor system resources, debug software and detect malware. Brought to you by Winsider Seminars & Solutions, Inc. @ https://windows-internals.com",C,15732,1774,11 stars today,dmex; wj32; jxy-s; XhmikosR; diversenok
15,libsdl-org/SDL,https://github.com/libsdl-org/SDL,Simple DirectMedia Layer,C,16457,2943,8 stars today,slouken; icculus; madebr; sezero; SDLWikiBot
16,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,62912,28327,32 stars today,gitster; peff; dscho; pks-t; avar
17,xiaojieonly/Ehviewer_CN_SXJ,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,ehviewer，用爱发电，快乐前行,C,26581,700,29 stars today,xiaojieonly; UjuiUjuMandan; wyapx; zhao-ng327; eithwa
18,glfw/glfw,https://github.com/glfw/glfw,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input",C,15300,5924,2 stars today,elmindreda; linkmauve; dougbinks; adrianbroher; siavashserver
19,dorianborian/sesame-robot,https://github.com/dorianborian/sesame-robot,An open and affordable mini quadruped robot based on ESP32.,C,4232,573,18 stars today,dorianborian; shariqnaiyer; one-for-all; vido89; maximeconnolly
20,hathach/tinyusb,https://github.com/hathach/tinyusb,An open source cross-platform USB stack for embedded system,C,7072,1503,1 star today,hathach; HiFiPhile; claude; pigrew; kkitayam
21,superturtlee/gbl_root_canoe,https://github.com/superturtlee/gbl_root_canoe,No TrickyStore on Canoe,C,1031,275,4 stars today,superturtlee; cvhhji; iliaoke; LittlenineEnnea; Dere3046
