Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,wailsapp/wails,https://github.com/wailsapp/wails,Create beautiful applications using Go,Go,33480,1634,13 stars today,leaanthony; github-actions; stffabi; misitebao; dependabot
2,owncast/owncast,https://github.com/owncast/owncast,Take control over your live stream video by running it yourself. Streaming + chat out of the box.,Go,11108,1184,16 stars today,gabek; renovate; dependabot; gingervitis; renovate-bot
3,sysadminsmedia/homebox,https://github.com/sysadminsmedia/homebox,A continuation of HomeBox the inventory and organization system built for the Home User,Go,5580,363,15 stars today,weblate; tankerkiller125; hay-kot; katosdev; renovate
4,sundowndev/phoneinfoga,https://github.com/sundowndev/phoneinfoga,Information gathering framework for phone numbers,Go,16130,4886,9 stars today,sundowndev; renovate-bot; dependabot; RomainMaillot; d4rkc0nd0r
5,XTLS/Xray-core,https://github.com/XTLS/Xray-core,"Xray, Penetrates Everything. Also the best v2ray-core. Where the magic happens. An open platform for various uses.",Go,36360,5109,37 stars today,RPRX; dependabot; yuhan6665; Fangliding; mmmray
6,wavetermdev/waveterm,https://github.com/wavetermdev/waveterm,"An open-source, AI-integrated, cross-platform terminal for seamless workflows",Go,18818,855,45 stars today,sawka; esimkowitz; dependabot; wave-builder; oneirocosm
7,supabase/cli,https://github.com/supabase/cli,"Supabase CLI. Manage postgres migrations, run Supabase locally, deploy edge functions. Postgres backups. Generating types from your database schema.",Go,1895,398,54 stars today,sweatybridge; dependabot; soedirgo; laktek; avallete
8,mostlygeek/llama-swap,https://github.com/mostlygeek/llama-swap,"Reliable model swapping for any local OpenAI/Anthropic compatible server - llama.cpp, vllm, etc",Go,2957,214,17 stars today,mostlygeek; ryan-steed-usa; claude; shirayu; Thammachart
9,authelia/authelia,https://github.com/authelia/authelia,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified™",Go,27346,1371,11 stars today,renovate; james-d-elliott; nightah; clems4ever; renovate-bot
10,henrygd/beszel,https://github.com/henrygd/beszel,"Lightweight server monitoring with historical data, docker stats, and alerts.",Go,20333,681,38 stars today,henrygd; svenvg93; a-mnich; stanol; arsfy
11,danielmiessler/Fabric,https://github.com/danielmiessler/Fabric,Fabric is an open-source framework for augmenting humans using AI. It provides a modular system for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,Go,40241,4011,28 stars today,danielmiessler; ksylvan; github-actions; eugeis; xssdoctor
12,usememos/memos,https://github.com/usememos/memos,"Open-source, self-hosted note-taking tool built for quick capture. Markdown-native, lightweight, and fully yours.",Go,58339,4225,50 stars today,boojack; johnnyjoygh; dependabot; claude; athurg
13,masterking32/MasterDnsVPN,https://github.com/masterking32/MasterDnsVPN,"Advanced DNS tunneling VPN for censorship bypass, optimized beyond DNSTT and SlipStream with low-overhead ARQ, SOCKS5 multiplexing, resolver load balancing, and high packet-loss stability.",Go,223,33,11 stars today,masterking32; PentSec; MahdiMirzadeh; typerhack; Copilot
14,nektos/act,https://github.com/nektos/act,Run your GitHub Actions locally 🚀,Go,69613,1895,20 stars today,mergify; dependabot; cplee; ChristopherHX; KnisterPeter
