Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,steipete/wacli,https://github.com/steipete/wacli,WhatsApp CLI,Go,913,163,42 stars today,steipete; plattenschieber; zats; nitinalabur; ramarivera
2,Wei-Shaw/sub2api,https://github.com/Wei-Shaw/sub2api,Sub2API-CRS2 一站式开源中转服务，让 Claude、Openai 、Gemini、Antigravity订阅统一接入，支持拼车共享，更高效分摊成本，原生工具无缝使用。,Go,12017,1993,204 stars today,Wei-Shaw; IanShaw027; touwaeriol; claude; slovx2
3,googleapis/mcp-toolbox,https://github.com/googleapis/mcp-toolbox,MCP Toolbox for Databases is an open source MCP server for databases.,Go,14484,1444,95 stars today,Yuan325; twishabansal; averikitsch; duwenxin99; release-please
4,mostlygeek/llama-swap,https://github.com/mostlygeek/llama-swap,"Reliable model swapping for any local OpenAI/Anthropic compatible server - llama.cpp, vllm, etc",Go,3227,240,26 stars today,mostlygeek; claude; ryan-steed-usa; shirayu; Thammachart
5,GopeedLab/gopeed,https://github.com/GopeedLab/gopeed,"A fast, modern download manager for HTTP, BitTorrent, Magnet, and ed2k. Cross-platform, built with Golang and Flutter.",Go,23846,1612,57 stars today,monkeyWie; Copilot; pugaizai; hugetiny; ElliotCHEN37
6,netbirdio/netbird,https://github.com/netbirdio/netbird,"Connect your devices into a secure WireGuard®-based overlay network with SSO, MFA and granular access controls.",Go,24324,1250,41 stars today,mlsmaycon; pascal-fischer; braginini; lixmal; pappz
7,anthropics/anthropic-cli,https://github.com/anthropics/anthropic-cli,The CLI for the Claude API,Go,284,30,9 stars today,stainless-app; dtmeadows; felixfbecker; bruce-hill; AlePouroullis
8,versity/versitygw,https://github.com/versity/versitygw,versity s3 gateway,Go,1522,202,74 stars today,benmcclelland; mlt180; niksis02; dependabot; lrm25
9,gosom/google-maps-scraper,https://github.com/gosom/google-maps-scraper,"scrape data from Google Maps. Extracts data such as the name, address, phone number, website URL, rating, reviews number, latitude and longitude, reviews,email and more for each place",Go,3604,484,14 stars today,gosom; dredozubov; Lucifer-02; sbOogway; lucifer-vcb
10,tulir/whatsmeow,https://github.com/tulir/whatsmeow,Go library for the WhatsApp web multidevice API,Go,5805,918,7 stars today,tulir; SchulteMK; Rhymen; sthales; houstondapaz
11,mudler/LocalAI,https://github.com/mudler/LocalAI,"LocalAI is the open-source AI engine. Run any model - LLMs, vision, voice, image, video - on any hardware. No GPU required.",Go,45320,3935,55 stars today,mudler; localai-bot; dependabot; renovate; dave-gray101
12,karmada-io/karmada,https://github.com/karmada-io/karmada,"Open, Multi-Cloud, Multi-Cluster Kubernetes Orchestration",Go,5398,1089,9 stars today,karmada-bot; RainbowMango; XiShanYongYe-Chang; zhzhuang-zju; Garrybest
13,alireza0/s-ui,https://github.com/alireza0/s-ui,An advanced Web Panel • Built for SagerNet/Sing-Box,Go,8318,1272,15 stars today,alireza0; dependabot; Shellgate; cola-prince; Kagashini
14,SagerNet/sing-box,https://github.com/SagerNet/sing-box,The universal proxy platform,Go,32541,3817,58 stars today,nekohasekai; renovate; dyhkwong; H1JK; arm64v8a
15,fluxcd/flux2,https://github.com/fluxcd/flux2,Open and extensible continuous delivery solution for Kubernetes. Powered by GitOps Toolkit.,Go,8039,729,10 stars today,stefanprodan; hiddeco; fluxcdbot; matheuscscp; dependabot
