Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,traefik/traefik,https://github.com/traefik/traefik,The Cloud Native Application Proxy,Go,63027,5967,26 stars today,ldez; emilevauge; rtribotte; kevinpollet; mmatur
2,jackc/pgx,https://github.com/jackc/pgx,PostgreSQL driver and toolkit for Go,Go,13764,1029,13 stars today,jackc; manniwood; furdarius; claude; drakkan
3,googleapis/mcp-toolbox,https://github.com/googleapis/mcp-toolbox,MCP Toolbox for Databases is an open source MCP server for databases.,Go,14985,1511,32 stars today,Yuan325; twishabansal; duwenxin99; averikitsch; release-please
4,bjarneo/cliamp,https://github.com/bjarneo/cliamp,cliamp - Terminal music player inspired by winamp,Go,2090,97,29 stars today,bjarneo; claude; duobei; zambetti; gjermundgaraba
5,fleetdm/fleet,https://github.com/fleetdm/fleet,Open device management,Go,6327,866,7 stars today,eashaw; noahtalerman; RachelElysia; mikermcneil; zwass
6,open-telemetry/opentelemetry-collector-contrib,https://github.com/open-telemetry/opentelemetry-collector-contrib,Contrib repository for the OpenTelemetry Collector,Go,4645,3547,6 stars today,renovate; bogdandrutu; opentelemetrybot; atoulme; dependabot
7,aquasecurity/trivy,https://github.com/aquasecurity/trivy,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",Go,34876,348,24 stars today,knqyf263; DmitriyLewen; dependabot; nikpivkin; simar7
8,xpzouying/xiaohongshu-mcp,https://github.com/xpzouying/xiaohongshu-mcp,MCP for xiaohongshu.com,Go,13318,2024,59 stars today,xpzouying; claude; allcontributors; tanxxjun321; Angiin
9,gosom/google-maps-scraper,https://github.com/gosom/google-maps-scraper,"scrape data from Google Maps. Extracts data such as the name, address, phone number, website URL, rating, reviews number, latitude and longitude, reviews,email and more for each place",Go,3927,584,16 stars today,gosom; sbOogway; dredozubov; Lucifer-02; lucifer-vcb
10,FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,Go,58795,3102,28 stars today,FiloSottile; adamdecaf; herbygillot; puiterwijk; arp242
11,golang-migrate/migrate,https://github.com/golang-migrate/migrate,Database migrations. CLI and Golang library.,Go,18454,1579,14 stars today,dhui; mattes; dimag-jfrog; mknycha; dependabot
12,google/gvisor,https://github.com/google/gvisor,Application Kernel for Containers,Go,18253,1590,15 stars today,gvisor-bot; ayushr2; avagin; fvoznika; kevinGC
13,spf13/cobra,https://github.com/spf13/cobra,A Commander for modern Go CLI interactions,Go,43864,3136,18 stars today,eparis; n10v; spf13; umarcor; marckhouzam
14,Gentleman-Programming/engram,https://github.com/Gentleman-Programming/engram,"Persistent memory system for AI coding agents. Agent-agnostic Go binary with SQLite + FTS5, MCP server, HTTP API, CLI, and TUI.",Go,3276,377,54 stars today,Alan-TheGentleman; egdev6; Twinber; SantiagoBobrik; sanurb
15,prometheus/prometheus,https://github.com/prometheus/prometheus,The Prometheus monitoring system and time series database.,Go,63935,10376,18 stars today,fabxc; juliusv; beorn7; bboreham; dependabot
16,cloudflare/cloudflared,https://github.com/cloudflare/cloudflared,Cloudflare Tunnel client,Go,14096,1271,21 stars today,chungthuang; DevinCarr; adamchalmers; sudarshan-reddy; ipostelnik
17,looplj/axonhub,https://github.com/looplj/axonhub,"⚡️ Open-source AI Gateway — Use any SDK to call 100+ LLMs. Built-in failover, load balancing, cost control & end-to-end tracing.",Go,3620,433,35 stars today,looplj; github-actions; djdembeck; sisyphus-dev-ai; gemini-code-assist
18,envoyproxy/ai-gateway,https://github.com/envoyproxy/ai-gateway,Manages Unified Access to Generative AI Services built on Envoy Gateway,Go,1587,241,3 stars today,mathetake; dependabot; nacx; yuzisun; missBerg
19,containerd/containerd,https://github.com/containerd/containerd,An open and reliable container runtime,Go,20676,3893,7 stars today,dmcgowan; crosbymichael; estesp; Random-Liu; AkihiroSuda
20,open-telemetry/opentelemetry-go,https://github.com/open-telemetry/opentelemetry-go,OpenTelemetry Go API and SDK,Go,6378,1341,2 stars today,MrAlias; renovate; pellared; dependabot; dmathieu
