Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,open-telemetry/opentelemetry-collector,https://github.com/open-telemetry/opentelemetry-collector,OpenTelemetry Collector,Go,7035,2070,7 stars today,bogdandrutu; renovate; codeboten; mx-psi; dmitryax
2,nektos/act,https://github.com/nektos/act,Run your GitHub Actions locally 🚀,Go,70406,1928,39 stars today,mergify; dependabot; cplee; ChristopherHX; github-actions
3,Wox-launcher/Wox,https://github.com/Wox-launcher/Wox,A cross-platform launcher that simply works,Go,26884,2410,56 stars today,qianlifeng; bao-qian; jjw24; lylwx; orzFly
4,sipeed/picoclaw,https://github.com/sipeed/picoclaw,"Tiny, Fast, and Deployable anywhere — automate the mundane, unleash your creativity",Go,29104,4167,42 stars today,afjcjsbx; alexhoshina; yinwm; claude; lxowalle
5,knadh/listmonk,https://github.com/knadh/listmonk,"High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.",Go,20848,2172,57 stars today,knadh; github-actions; dependabot; mr-karan; MaximilianKohler
6,nats-io/nats-server,https://github.com/nats-io/nats-server,"High-Performance server for NATS.io, the cloud and edge native messaging system.",Go,19862,1804,13 stars today,derekcollison; kozlovic; neilalexander; MauriceVanVeen; matthiashanel
7,DataDog/datadog-agent,https://github.com/DataDog/datadog-agent,Main repository for Datadog Agent,Go,3620,1430,2 stars today,paulcacheux; hush-hush; dependabot; safchain; pgimalac
8,grafana/loki,https://github.com/grafana/loki,"Like Prometheus, but for logs.",Go,28213,4002,11 stars today,renovate; JStickler; cyriltovena; chaudum; owen-d
9,matlab/matlab-mcp-core-server,https://github.com/matlab/matlab-mcp-core-server,Run MATLAB® using AI applications with the official MATLAB MCP Server from MathWorks®. This MCP server for MATLAB supports a wide range of coding agents like Claude Code® and Visual Studio® Code.,Go,697,66,19 stars today,sylvain-mw; agoldsbo; pauldruce; ybenouag; zainh-mw
10,tailscale/tailscale,https://github.com/tailscale/tailscale,"The easiest, most secure way to use WireGuard and 2FA.",Go,31751,2576,41 stars today,bradfitz; danderson; josharian; andrew-d; raggi
11,cloudreve/cloudreve,https://github.com/cloudreve/cloudreve,"🌩 Self-hosted file management and sharing system, supports multiple storage providers",Go,27818,3834,64 stars today,HFO4; YUDONGLING; WeidiDeng; dependabot; vvisionnn
12,masterking32/MasterDnsVPN,https://github.com/masterking32/MasterDnsVPN,"Advanced DNS tunneling VPN for censorship bypass, optimized beyond DNSTT and SlipStream with low-overhead ARQ, resolver load balancing, high packet-loss stability and speed.",Go,3750,388,68 stars today,masterking32; abolix; PentSec; MahdiMirzadeh; typerhack
13,containers/podman,https://github.com/containers/podman,Podman: A tool for managing OCI containers and pods.,Go,31736,3115,16 stars today,openshift-merge-robot; openshift-merge-bot; mheon; rhatdan; Luap99
14,gastownhall/gastown,https://github.com/gastownhall/gastown,Gas Town - multi-agent workspace manager,Go,15395,1430,54 stars today,steveyegge; claude; julianknutsen; seanbearden; DreadPirateRobertz
15,docker/cli,https://github.com/docker/cli,The Docker CLI,Go,5873,2137,6 stars today,thaJeztah; vvoland; albers; dnephin; silvin-lubecki
16,e2b-dev/infra,https://github.com/e2b-dev/infra,Infrastructure that's powering E2B Cloud.,Go,1117,322,4 stars today,ValentaTomas; jakubno; dobrac; mlejva; djeebus
