Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,IceWhaleTech/CasaOS,https://github.com/IceWhaleTech/CasaOS,"CasaOS - A simple, easy-to-use, elegant open-source Personal Cloud system.",Go,33956,1921,23 stars today,LinkLeong; JohnGuan; tigerinus; jerrykuku; allcontributors
2,rancher/rancher,https://github.com/rancher/rancher,Complete container management platform,Go,25620,3198,4 stars today,ibuildthecloud; kinarashah; dramich; jakefhyde; jiaqiluo
3,prometheus/prometheus,https://github.com/prometheus/prometheus,The Prometheus monitoring system and time series database.,Go,64197,10454,12 stars today,fabxc; juliusv; beorn7; bboreham; dependabot
4,knadh/listmonk,https://github.com/knadh/listmonk,"High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.",Go,21179,2262,50 stars today,knadh; github-actions; dependabot; mr-karan; MaximilianKohler
5,bettercap/bettercap,https://github.com/bettercap/bettercap,"The Swiss Army knife for 802.11, BLE, HID, CAN-bus, IPv4 and IPv6 networks reconnaissance and MITM attacks.",Go,19341,1651,40 stars today,evilsocket; buffermet; picatz; Edznux; Matrix86
6,runkids/skillshare,https://github.com/runkids/skillshare,"📚 Sync skills across all AI CLI tools with one command and simplify team sharing. Supporting Codex, Claude Code, OpenClaw & more",Go,2048,127,50 stars today,runkids; daylamtayari; kevincobain2000; claude; amdoi7
7,gastownhall/beads,https://github.com/gastownhall/beads,Beads - A memory upgrade for your coding agent,Go,24214,1618,37 stars today,steveyegge; claude; maphew; coffeegoddd; turian
8,wailsapp/wails,https://github.com/wailsapp/wails,Create beautiful applications using Go,Go,34521,1703,35 stars today,leaanthony; github-actions; claude; stffabi; popaprozac
9,kenn-io/roborev,https://github.com/kenn-io/roborev,"Continuous background code review database for agents, work faster and smarter with accountability for every line of generated code.",Go,1286,112,22 stars today,wesm; claude; mariusvniekerk; cpcloud; codex
10,bjarneo/cliamp,https://github.com/bjarneo/cliamp,cliamp - Terminal music player inspired by winamp,Go,2310,119,13 stars today,bjarneo; claude; zambetti; duobei; gjermundgaraba
11,dolthub/dolt,https://github.com/dolthub/dolt,Dolt – Git for Data,Go,22911,779,32 stars today,zachmu; andy-wm-arthur; reltuk; fulghum; coffeegoddd
12,prometheus/client_golang,https://github.com/prometheus/client_golang,Prometheus instrumentation library for Go applications,Go,5979,1277,0 stars today,beorn7; dependabot; github-actions; kakkoyun; bwplotka
13,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Workflow Engine for Kubernetes,Go,16727,3552,8 stars today,alexec; terrytangyuan; dependabot; simster7; sarabala1979
14,pocketbase/pocketbase,https://github.com/pocketbase/pocketbase,Open Source realtime backend in 1 file,Go,58730,3424,32 stars today,ganigeorgiev; ValleyZw; yuxiang-gao; ghostdevv; pnmcosta
15,redis/go-redis,https://github.com/redis/go-redis,Redis Go client,Go,22113,2555,2 stars today,vmihailenco; ndyakov; ofekshenawa; monkey92t; dependabot
16,DataDog/datadog-agent,https://github.com/DataDog/datadog-agent,Main repository for Datadog Agent,Go,3634,1437,3 stars today,paulcacheux; hush-hush; dependabot; safchain; pgimalac
17,stretchr/testify,https://github.com/stretchr/testify,A toolkit with common assertions and mocks that plays nicely with the standard library,Go,25995,1723,4 stars today,ernesto-jimenez; dolmen; brackendawson; tylerstillwater; boyan-soubachov
18,anthropics/anthropic-sdk-go,https://github.com/anthropics/anthropic-sdk-go,Access to Anthropic's safety-first language model APIs via Go,Go,1070,179,3 stars today,stainless-app; dtmeadows; jacobzim-stl; RobertCraigie; yjp20
19,gorilla/websocket,https://github.com/gorilla/websocket,"Package gorilla/websocket is a fast, well-tested and widely used WebSocket implementation for Go.",Go,24738,3585,4 stars today,fancycode; elithrar; rfyiamcool; FZambia; apoorvajagtap
