Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,cilium/cilium,https://github.com/cilium/cilium,"eBPF-based Networking, Security, and Observability",Go,24558,3841,10 stars today,aanm; tgraf; joestringer; tklauser; jrajahalme
2,weaviate/weaviate,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",Go,16381,1314,17 stars today,antas-marcin; etiennedi; dirkkul; moogacs; bobvanluijt
3,github/gh-aw,https://github.com/github/gh-aw,GitHub Agentic Workflows,Go,4653,429,3 stars today,Copilot; pelikhan; github-actions; dsyme; mnkiefer
4,krillinai/KrillinAI,https://github.com/krillinai/KrillinAI,"AI video translation & dubbing tool for humans and AI Agents, powered by LLMs. Full pipeline: download, transcribe, translate, TTS dub, reformat, cover generation. 100+ languages, optimized for YouTube, TikTok, Bilibili, Douyin, and more.AI视频翻译配音工具，面向人类与AI Agent，100+语言全链路，CLI分阶段调用，适配抖音、小红书、哔哩哔哩、视频号、TikTok、YouTube",Go,10356,965,14 stars today,maranello-o; wulien; puji4810; krillinai; PairZhu
5,asheshgoplani/agent-deck,https://github.com/asheshgoplani/agent-deck,"Terminal session manager for AI coding agents. One TUI for Claude, Gemini, OpenCode, Codex, and more.",Go,312,33,65 stars today,asheshgoplani; claude; johnuopini; seanyoungberg; BestSithInEU
6,argoproj/argo-cd,https://github.com/argoproj/argo-cd,Declarative Continuous Deployment for Kubernetes,Go,23192,7350,11 stars today,dependabot; alexmt; crenshaw-dev; jannfis; jessesuen
7,netbirdio/netbird,https://github.com/netbirdio/netbird,"Connect your devices into a secure WireGuard®-based overlay network with SSO, MFA and granular access controls.",Go,26122,1424,31 stars today,mlsmaycon; pascal-fischer; lixmal; braginini; pappz
8,bluenviron/mediamtx,https://github.com/bluenviron/mediamtx,"Ready-to-use Media-over-QUIC / SRT / WebRTC / RTSP / RTMP / LL-HLS / MPEG-TS / RTP live media server and media proxy that allows to read, publish, proxy, record and playback real-time video and audio streams.",Go,19190,2267,14 stars today,aler9; dependabot; bluenviron-bot; github-actions; tmatth
9,Billionmail/BillionMail,https://github.com/Billionmail/BillionMail,"BillionMail gives you open-source MailServer, NewsLetter, Email Marketing — fully self-hosted, dev-friendly, and free from monthly fees. Join the discord: https://discord.gg/asfXzBUhZr",Go,15180,1627,4 stars today,lotkmm; aaPanel; dreambladeflag; xiemoumou; claude
10,aquasecurity/trivy,https://github.com/aquasecurity/trivy,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",Go,36506,480,8 stars today,knqyf263; DmitriyLewen; dependabot; nikpivkin; simar7
11,Jguer/yay,https://github.com/Jguer/yay,Yet another Yogurt - An AUR Helper written in Go,Go,13584,408,13 stars today,Jguer; Morganamilo; transifex-integration; dependabot; jdholtz
12,yorukot/superfile,https://github.com/yorukot/superfile,Pretty fancy and modern terminal file manager,Go,17561,468,9 stars today,yorukot; lazysegtree; renovate; nonepork; AnshumanNeon
13,evcc-io/evcc,https://github.com/evcc-io/evcc,solar charging ☀️🚘,Go,6842,1372,3 stars today,andig; naltatis; premultiply; weblate; DerAndereAndi
14,BishopFox/cloudfox,https://github.com/BishopFox/cloudfox,Automating situational awareness for cloud penetration tests.,Go,2498,243,12 stars today,sethsec-bf; carlosvendramini-bf; jbarciabf; sethsec; edops973
15,opentofu/opentofu,https://github.com/opentofu/opentofu,OpenTofu lets you declaratively manage your cloud infrastructure.,Go,29119,1277,12 stars today,apparentlymart; cam72cam; yottta; Yantrio; diofeher
16,hashicorp/terraform-provider-azurerm,https://github.com/hashicorp/terraform-provider-azurerm,Terraform provider for Azure Resource Manager,Go,4949,5003,0 stars today,tombuildsstuff; katbyte; mbfrahry; jackofallops; stephybun
17,syncthing/syncthing,https://github.com/syncthing/syncthing,Open Source Continuous File Synchronization,Go,85583,5279,40 stars today,calmh; AudriusButkevicius; imsodin; st-release; tomasz1986
18,microsoft/typescript-go,https://github.com/microsoft/typescript-go,Staging repo for development of native port of TypeScript,Go,25695,1007,6 stars today,jakebailey; Copilot; ahejlsberg; andrewbranch; Andarist
19,everywall/ladder,https://github.com/everywall/ladder,Selfhosted alternative to 12ft.io. and 1ft.io. Proxy to remove CORS headers and modify HTML,Go,8380,481,244 stars today,mms-gianni; joncrangle; deoxykev; boomam; dependabot
20,Agent-Field/agentfield,https://github.com/Agent-Field/agentfield,"Build, run and scale AI agents like API and microservices - observable,auditable and identity-aware from day one.",Go,2201,357,11 stars today,santoshkumarradha; AbirAbbas; github-actions; claude; dependabot
21,XTLS/Xray-core,https://github.com/XTLS/Xray-core,"Xray, Penetrates Everything. Also the best v2ray-core. Where the magic happens. An open platform for various uses.",Go,39725,5508,26 stars today,RPRX; dependabot; yuhan6665; Fangliding; LjhAUMEM
22,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,Go,123143,43258,24 stars today,k8s-ci-robot; liggitt; thockin; wojtek-t; brendandburns
23,containerd/containerd,https://github.com/containerd/containerd,An open and reliable container runtime,Go,20848,3976,4 stars today,dmcgowan; crosbymichael; estesp; Random-Liu; AkihiroSuda
24,lima-vm/lima,https://github.com/lima-vm/lima,"Linux virtual machines, with a focus on running containers",Go,21301,903,8 stars today,AkihiroSuda; jandubois; dependabot; afbjorklund; norio-nomura
