Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,influxdata/telegraf,https://github.com/influxdata/telegraf,"Agent for collecting, processing, aggregating, and writing metrics, logs, and other arbitrary data.",Go,17669,5824,8 stars today,danielnelson; dependabot; srebhan; sparrc; powersj
2,IceWhaleTech/CasaOS,https://github.com/IceWhaleTech/CasaOS,"CasaOS - A simple, easy-to-use, elegant open-source Personal Cloud system.",Go,35983,2052,347 stars today,LinkLeong; JohnGuan; tigerinus; jerrykuku; allcontributors
3,netbirdio/netbird,https://github.com/netbirdio/netbird,"Connect your devices into a secure WireGuard®-based overlay network with SSO, MFA and granular access controls.",Go,26465,1442,49 stars today,mlsmaycon; pascal-fischer; lixmal; braginini; pappz
4,workweave/router,https://github.com/workweave/router,Model router for agentic systems. Routes every prompt to the right model in <50ms. Cut costs 40-70% with just an endpoint change.,Go,553,23,86 stars today,steventohme; claude; aminsamir45; cursoragent; a-churchill
5,canopy-network/canopy,https://github.com/canopy-network/canopy,The official go implementation of the Canopy Network protocol,Go,12363,15245,341 stars today,andrewnguyen22; rem1niscence; pablocampogo; ezeike; ECHOAD
6,livekit/livekit,https://github.com/livekit/livekit,End-to-end realtime stack for connecting humans and AI,Go,19469,2103,15 stars today,boks1971; davidzhao; cnderrauber; paulwe; renovate
7,sysadminsmedia/homebox,https://github.com/sysadminsmedia/homebox,A continuation of HomeBox the inventory and organization system built for the Home User,Go,6460,441,12 stars today,weblate; tankerkiller125; hay-kot; katosdev; renovate
8,AlistGo/alist,https://github.com/AlistGo/alist,"🗂️A file list/WebDAV program that supports multiple storages, powered by Gin and Solidjs. / 一个支持多存储的文件列表/WebDAV程序，使用 Gin 和 Solidjs。",Go,49762,7944,13 stars today,xhofe; renovate; okatu-loli; foxxorcat; BoYanZh
9,AgentWrapper/agent-orchestrator,https://github.com/AgentWrapper/agent-orchestrator,"Agentic orchestrator for parallel coding agents — plans tasks, spawns agents, and autonomously handles CI fixes, merge conflicts, and code reviews.",Go,7743,1081,34 stars today,claude; harshitsinghbhandari; AgentWrapper; suraj-markup; ashish921998
10,lxc/incus,https://github.com/lxc/incus,Powerful system container and virtual machine manager,Go,5624,459,11 stars today,stgraber; tomponline; freeekanayaka; monstermunchkin; hallyn
11,XIU2/CloudflareSpeedTest,https://github.com/XIU2/CloudflareSpeedTest,🌩「自选优选 IP」测试 Cloudflare CDN 延迟和速度，获取最快 IP ！当然也支持其他 CDN / 多个解析 IP 的网站 ~,Go,27593,5233,23 stars today,XIU2; seek4self; Spedoske; ipcjs; Sving1024
12,volcano-sh/volcano,https://github.com/volcano-sh/volcano,A Cloud Native Batch System (Project under CNCF),Go,5721,1423,2 stars today,volcano-sh-bot; k82cn; hzxuzhonghu; TommyLike; k8s-ci-robot
13,mudler/LocalAI,https://github.com/mudler/LocalAI,"LocalAI is the open-source AI engine. Run any model - LLMs, vision, voice, image, video - on any hardware. No GPU required.",Go,47213,4182,23 stars today,mudler; localai-bot; dependabot; renovate; richiejp
14,beclab/Olares,https://github.com/beclab/Olares,Olares: An Open-Source Personal Cloud to Reclaim Your Data,Go,4998,302,22 stars today,eball; dkeven; hysyeah; Meow33; fnalways
15,Gentleman-Programming/gentle-ai,https://github.com/Gentleman-Programming/gentle-ai,Pas de description,Go,4433,521,117 stars today,Alan-TheGentleman; tonyblu331; IrrealV; claude; Tech-Codde
16,5rahim/seanime,https://github.com/5rahim/seanime,Open-source media server with a web interface and desktop app for anime and manga.,Go,3798,275,14 stars today,5rahim; kyoruno; umag; Ari-03; Viren070
17,Wei-Shaw/sub2api,https://github.com/Wei-Shaw/sub2api,"Sub2API is an open-source relay platform that unifies Claude, OpenAI, Gemini, and Antigravity subscriptions into a single endpoint. It supports account sharing and cost-sharing, with seamless native tool compatibility.",Go,29476,6012,100 stars today,Wei-Shaw; IanShaw027; touwaeriol; claude; slovx2
18,PeerDB-io/peerdb,https://github.com/PeerDB-io/peerdb,"Fast, Simple and a cost effective tool to replicate data from Postgres to Data Warehouses, Queues and Storage",Go,3182,199,5 stars today,serprex; Amogh-Bharadwaj; iskakaushik; heavycrystal; renovate
