Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,vxcontrol/pentagi,https://github.com/vxcontrol/pentagi,Fully autonomous AI Agents system capable of performing complex penetration testing tasks,Go,19495,2628,535 stars today,sirozha; asdek; claude; mason5052; cursoragent
2,junegunn/fzf,https://github.com/junegunn/fzf,🌸 A command-line fuzzy finder,Go,81599,2811,25 stars today,junegunn; dependabot; bitraid; LangLangBart; janlazo
3,binwiederhier/ntfy,https://github.com/binwiederhier/ntfy,Send push notifications to your phone or desktop using PUT/POST,Go,31655,1387,75 stars today,binwiederhier; nimbleghost; wunter8; StoyanDimitrov; karmanyaahm
4,aquasecurity/trivy,https://github.com/aquasecurity/trivy,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",Go,36854,531,41 stars today,knqyf263; DmitriyLewen; dependabot; nikpivkin; simar7
5,containers/kubernetes-mcp-server,https://github.com/containers/kubernetes-mcp-server,Model Context Protocol (MCP) server for Kubernetes and OpenShift,Go,1785,384,19 stars today,manusa; dependabot; Cali0707; claude; matzew
6,prometheus/node_exporter,https://github.com/prometheus/node_exporter,Exporter for machine metrics,Go,13598,2674,14 stars today,SuperQ; dependabot; discordianfish; grobie; juliusv
7,entireio/cli,https://github.com/entireio/cli,"📜 Entire CLI hooks into your Git workflow to capture AI agent sessions as you work. Sessions are indexed alongside commits, creating a searchable record of how code was written in your repo.",Go,4717,364,55 stars today,claude; Soph; pfleidi; khaong; gtrrz-victor
8,zitadel/zitadel,https://github.com/zitadel/zitadel,"ZITADEL - Identity infrastructure, simplified for you.",Go,14358,1156,16 stars today,livio-a; peintnermax; hifabienne; adlerhurst; fforootd
9,velero-io/velero,https://github.com/velero-io/velero,Backup and migrate Kubernetes applications and their persistent volumes,Go,10122,1550,9 stars today,Lyndon-Li; skriss; blackpiglet; nrb; ncdc
10,mark3labs/mcp-go,https://github.com/mark3labs/mcp-go,"A Go implementation of the Model Context Protocol (MCP), enabling seamless integration between LLM applications and external data sources and tools.",Go,8879,853,4 stars today,ezynda3; pottekkat; dugenkui03; cryo-zd; rwjblue-glean
11,kai-scheduler/KAI-Scheduler,https://github.com/kai-scheduler/KAI-Scheduler,KAI Scheduler is an open source Kubernetes Native scheduler for AI workloads at large scale,Go,1375,225,3 stars today,enoodle; davidLif; itsomri; romanbaron; gshaibi
12,netdata/netdata,https://github.com/netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",Go,79577,6516,20 stars today,ktsaou; netdatabot; ilyam8; Ferroin; stelfrag
13,knadh/listmonk,https://github.com/knadh/listmonk,"High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.",Go,22012,2382,23 stars today,knadh; github-actions; dependabot; mr-karan; MaximilianKohler
14,ory/kratos,https://github.com/ory/kratos,"Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace Homegrown, Auth0, Okta, Firebase with better UX and DX. Passkeys, Social Sign In, OIDC, Magic Link, Multi-Factor Auth, SMS, SAML, TOTP, and more. Runs everywhere, runs best on Ory Network.",Go,13753,1169,7 stars today,aeneasr; ory-bot; zepatrik; jonas-jonas; hperl
15,MHSanaei/3x-ui,https://github.com/MHSanaei/3x-ui,"Xray panel supporting multi-protocol multi-user expire day & traffic & IP limit (Vmess, Vless, Trojan, ShadowSocks, Wireguard, Hysteria, Tunnel, Mixed, HTTP, Tun, MTProto)",Go,42590,8051,95 stars today,MHSanaei; alireza0; dependabot; hamid-gh98; sh1shd
16,bluenviron/mediamtx,https://github.com/bluenviron/mediamtx,"Ready-to-use Media-over-QUIC / SRT / WebRTC / RTSP / RTMP / LL-HLS / MPEG-TS / RTP live media server and media proxy that allows to read, publish, proxy, record and playback real-time video and audio streams.",Go,19431,2289,14 stars today,aler9; dependabot; bluenviron-bot; github-actions; tmatth
17,k3s-io/k3s,https://github.com/k3s-io/k3s,Lightweight Kubernetes,Go,33435,2678,7 stars today,brandond; erikwilson; dereknola; ibuildthecloud; manuelbuil
18,traefik/traefik,https://github.com/traefik/traefik,The Cloud Native Application Proxy,Go,63930,6073,15 stars today,ldez; emilevauge; rtribotte; kevinpollet; mmatur
19,tailscale/tailscale,https://github.com/tailscale/tailscale,"The easiest, most secure way to use WireGuard and 2FA.",Go,33354,2764,66 stars today,bradfitz; danderson; josharian; raggi; andrew-d
20,cli/cli,https://github.com/cli/cli,GitHub’s official command line tool,Go,45200,8681,25 stars today,mislav; vilmibm; BagToad; williammartin; babakks
21,microsoft/typescript-go,https://github.com/microsoft/typescript-go,Staging repo for development of native port of TypeScript,Go,25877,1043,60 stars today,jakebailey; Copilot; ahejlsberg; andrewbranch; Andarist
22,derailed/k9s,https://github.com/derailed/k9s,🐶 Kubernetes CLI To Manage Your Clusters In Style!,Go,34100,2210,13 stars today,derailed; dependabot; wjiec; uozalp; paivagustavo
23,jesseduffield/lazydocker,https://github.com/jesseduffield/lazydocker,The lazier way to manage everything docker,Go,51960,1647,26 stars today,jesseduffield; dawidd6; mjarkk; qdm12; thaJeztah
24,sundowndev/phoneinfoga,https://github.com/sundowndev/phoneinfoga,Information gathering framework for phone numbers,Go,16850,5129,6 stars today,sundowndev; renovate-bot; dependabot; RomainMaillot; d4rkc0nd0r
