Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,schollz/croc,https://github.com/schollz/croc,Easily and securely send things from one computer to another 🐊 📦,Go,36847,1461,361 stars today,schollz; TheQueasle; dependabot; stefins; jolheiser
2,open-telemetry/opentelemetry-go-compile-instrumentation,https://github.com/open-telemetry/opentelemetry-go-compile-instrumentation,OpenTelemetry Go Compile Instrumentation,Go,362,98,6 stars today,kakkoyun; y1yang0; txabman42; renovate; amazingakai
3,netdata/netdata,https://github.com/netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",Go,79778,6536,51 stars today,ktsaou; netdatabot; ilyam8; Ferroin; stelfrag
4,ltaoo/wx_channels_download,https://github.com/ltaoo/wx_channels_download,微信视频号下载器,Go,7834,1258,381 stars today,ltaoo; NormanMises; claude; guanzi008; mochenya
5,Agent-Field/agentfield,https://github.com/Agent-Field/agentfield,"Build, run and scale AI agents like API and microservices",Go,2416,384,21 stars today,santoshkumarradha; github-actions; AbirAbbas; claude; dependabot
6,grafana/alloy,https://github.com/grafana/alloy,OpenTelemetry Collector distribution with programmable pipelines,Go,3355,655,4 stars today,rfratto; clayton-cornell; ptodev; kalleep; thampiotr
7,temporalio/temporal,https://github.com/temporalio/temporal,Temporal service,Go,21786,1754,26 stars today,wxing1292; yycptt; dnr; stephanos; yux0
8,rclone/rclone,https://github.com/rclone/rclone,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Azure Blob, Azure Files, Yandex Files",Go,58591,5235,99 stars today,ncw; albertony; nielash; ivandeex; B4dM4n
9,AgentWrapper/agent-orchestrator,https://github.com/AgentWrapper/agent-orchestrator,"Agent IDE that enables you to manage fleets of coding agents. It comes with an agentic orchestrator that plans tasks, spawns agents, and autonomously handles CI fixes, merge conflicts, and code reviews.",Go,8458,1223,39 stars today,claude; harshitsinghbhandari; AgentWrapper; suraj-markup; ashish921998
10,mayswind/ezbookkeeping,https://github.com/mayswind/ezbookkeeping,"A lightweight, self-hosted personal finance app with a user-friendly interface and powerful bookkeeping features.",Go,5269,607,12 stars today,mayswind; tkymmm; abrugues; Miguelonlonlon; nktlitvinenko
11,agentscope-ai/AgentTeams,https://github.com/agentscope-ai/AgentTeams,"An open-source Collaborative Multi-Agent OS for transparent, human-in-the-loop task coordination via Matrix rooms.",Go,5127,608,9 stars today,johnlanni; claude; shiyiyue1102; Jing-ze; googs1025
12,kubernetes-sigs/karpenter,https://github.com/kubernetes-sigs/karpenter,"Karpenter is a Kubernetes Node Autoscaler built for flexibility, performance, and simplicity.",Go,2047,531,2 stars today,jonathan-innis; dependabot; engedaam; njtran; ellistarn
13,Tencent/WeKnora,https://github.com/Tencent/WeKnora,"Open-source LLM knowledge platform: turn raw documents into a queryable RAG, an autonomous reasoning agent, and a self-maintaining Wiki.",Go,18691,2603,73 stars today,lyingbug; voidkey; begoniezhao; claude; dependabot
14,hashicorp/vault,https://github.com/hashicorp/vault,"A tool for secrets management, encryption as a service, and privileged access management",Go,35970,4721,10 stars today,jefferai; hc-github-team-secure-vault-core; vishalnayak; armon; ncabatoff
15,mvanhorn/cli-printing-press,https://github.com/mvanhorn/cli-printing-press,"Every API has a secret identity. This finds it, absorbs every feature from every competing tool, then builds the GOAT CLI — designed for AI agents first, with SQLite sync, offline search, and compound insight commands.",Go,4206,450,35 stars today,tmchow; mvanhorn; claude; vinnyp; mergify
16,grafana/pyroscope,https://github.com/grafana/pyroscope,Continuous Profiling Platform. Debug performance issues down to a single line of code,Go,11564,777,6 stars today,simonswine; petethepig; cyriltovena; pyroscopebot; kolesnikovae
17,m1k1o/neko,https://github.com/m1k1o/neko,A self hosted virtual browser that runs in docker and uses WebRTC.,Go,21659,1542,25 stars today,m1k1o; nurdism; mbattista; prophetofxenu; gbrian
18,openshift/hypershift,https://github.com/openshift/hypershift,Hyperscale OpenShift - clusters with hosted control planes,Go,536,524,0 stars today,openshift-merge-bot; openshift-merge-robot; bryan-cox; claude; enxebre
19,MHSanaei/3x-ui,https://github.com/MHSanaei/3x-ui,"Xray panel supporting multi-protocol multi-user expire day & traffic & IP limit (Vmess, Vless, Trojan, ShadowSocks, Wireguard, Hysteria, Tunnel, Mixed, HTTP, Tun, MTProto)",Go,43426,8295,70 stars today,MHSanaei; alireza0; dependabot; hamid-gh98; sh1shd
