Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,yorukot/superfile,https://github.com/yorukot/superfile,Pretty fancy and modern terminal file manager,Go,19619,598,338 stars today,yorukot; lazysegtree; renovate; nonepork; AnshumanNeon
2,alibaba/open-code-review,https://github.com/alibaba/open-code-review,"Open-source & free — Battle-tested at Alibaba's scale. Hybrid architecture code review tool: deterministic pipelines + LLM Agent, precise line-level comments, built-in fine-tuned ruleset (NPE, thread-safety, XSS, SQL injection), OpenAI & Anthropic compatible.",Go,12417,844,"1,066 stars today",lizhengfeng101; chethanuk; stay-foolish-forever; claude; MuoDoo
3,schollz/croc,https://github.com/schollz/croc,Easily and securely send things from one computer to another 🐊 📦,Go,38319,1519,154 stars today,schollz; TheQueasle; dependabot; stefins; jolheiser
4,Gentleman-Programming/gentle-ai,https://github.com/Gentleman-Programming/gentle-ai,Pas de description,Go,5048,602,18 stars today,Alan-TheGentleman; tonyblu331; IrrealV; claude; ardelperal
5,minio/minio,https://github.com/minio/minio,"MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license.",Go,61383,7683,5 stars today,harshavardhana; vadmeste; klauspost; minio-trusted; poornas
6,grafana/alloy,https://github.com/grafana/alloy,OpenTelemetry Collector distribution with programmable pipelines,Go,3366,660,6 stars today,rfratto; clayton-cornell; ptodev; kalleep; thampiotr
7,multica-ai/multica,https://github.com/multica-ai/multica,"The open-source managed agents platform. Turn coding agents into real teammates — assign tasks, track progress, compound skills.",Go,41923,5310,157 stars today,claude; Bohan-J; NevilleQingNY; multica-agent; forrestchang
8,seaweedfs/seaweedfs,https://github.com/seaweedfs/seaweedfs,"SeaweedFS is a distributed storage system for object storage (S3), file systems, and Iceberg tables, designed to handle billions of files with O(1) disk access and effortless horizontal scaling.",Go,33698,2924,24 stars today,chrislusf; dependabot; kmlebedev; chrisluuber; gemini-code-assist
9,gastownhall/beads,https://github.com/gastownhall/beads,Beads - A memory upgrade for your coding agent,Go,25628,1725,40 stars today,steveyegge; claude; maphew; coffeegoddd; dependabot
10,infiniflow/ragflow,https://github.com/infiniflow/ragflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,Go,85930,10061,137 stars today,KevinHuSh; cike8899; JinHai-CN; writinwaters; yuzhichang
11,Wei-Shaw/sub2api,https://github.com/Wei-Shaw/sub2api,Sub2API 一站式开源中转服务，让 Claude、Openai 、Gemini、Grok订阅统一接入，支持拼车共享，更高效分摊成本，原生工具无缝使用。,Go,34043,7014,195 stars today,Wei-Shaw; IanShaw027; touwaeriol; claude; slovx2
12,aquasecurity/trivy,https://github.com/aquasecurity/trivy,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",Go,37067,551,18 stars today,knqyf263; DmitriyLewen; dependabot; nikpivkin; simar7
13,vllm-project/semantic-router,https://github.com/vllm-project/semantic-router,Intelligent Mixture-of-Models Router for Efficient Heterogeneous LLMs Inference,Go,5044,774,7 stars today,Xunzhuo; rootfs; AayushSaini101; samzong; yuluo-yx
14,Tencent/WeKnora,https://github.com/Tencent/WeKnora,"Open-source LLM knowledge platform: turn raw documents into a queryable RAG, an autonomous reasoning agent, and a self-maintaining Wiki.",Go,18873,2641,68 stars today,lyingbug; voidkey; begoniezhao; claude; dependabot
15,pocket-id/pocket-id,https://github.com/pocket-id/pocket-id,The most user-friendly OpenID Connect Certified™ and OAuth 2.0 provider that lets users sign in to your applications with passkeys.,Go,8559,283,32 stars today,stonith404; kmendell; ItalyPaleAle; dependabot; github-actions
16,voocel/ainovel-cli,https://github.com/voocel/ainovel-cli,✨多agent实现全自动AI小说生成,Go,1498,297,11 stars today,voocel; star8521; bakaz; 525300887039; MaybeJustLikeThis
17,GoogleCloudPlatform/microservices-demo,https://github.com/GoogleCloudPlatform/microservices-demo,"Sample cloud-first application with 10 microservices showcasing Kubernetes, Istio, and gRPC.",Go,20631,10224,25 stars today,renovate-bot; ahmetb; dependabot; NimJay; mathieu-benoit
18,FiloSottile/age,https://github.com/FiloSottile/age,"A simple, modern and secure encryption tool (and Go library) with small explicit keys, no config options, and UNIX-style composability.",Go,22988,656,8 stars today,FiloSottile; codesoap; 0x2b3bfa0; noncombatant; interrato
19,oauth2-proxy/oauth2-proxy,https://github.com/oauth2-proxy/oauth2-proxy,"A reverse proxy that provides authentication with Google, Azure, OpenID Connect and many more identity providers.",Go,14717,2156,9 stars today,JoelSpeed; tuunit; jehiah; renovate; mbland
20,kagent-dev/kagent,https://github.com/kagent-dev/kagent,Cloud Native Agentic AI | Discord: https://bit.ly/kagentdiscord,Go,3379,671,12 stars today,EItanya; peterj; ilackarms; dependabot; supreme-gg-gg
21,bluenviron/mediamtx,https://github.com/bluenviron/mediamtx,"Ready-to-use Media-over-QUIC / SRT / WebRTC / RTSP / RTMP / LL-HLS / MPEG-TS / RTP live media server and media proxy that allows to read, publish, proxy, record and playback real-time video and audio streams.",Go,19612,2307,12 stars today,aler9; dependabot; bluenviron-bot; github-actions; tmatth
