Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,argoproj/argo-cd,https://github.com/argoproj/argo-cd,Declarative Continuous Deployment for Kubernetes,Go,23789,7617,18 stars today,dependabot; alexmt; crenshaw-dev; jannfis; jessesuen
2,modelcontextprotocol/go-sdk,https://github.com/modelcontextprotocol/go-sdk,The official Go SDK for Model Context Protocol servers and clients. Maintained in collaboration with Google.,Go,4906,488,13 stars today,findleyr; jba; maciej-kisiel; guglielmo-san; samthanawalla
3,larksuite/cli,https://github.com/larksuite/cli,"The official Lark/Feishu CLI tool, maintained by the larksuite team — built for humans and AI Agents. Covers core business domains including Messenger, Docs, Base, Sheets, Calendar, Mail, Tasks, Meetings, and more, with 200+ commands and 20+ AI Agent Skills.",Go,16008,1213,40 stars today,liangshuo-1; fangshuyu-768; ethan-zhx; wittam-01; evandance
4,kenn-io/agentsview,https://github.com/kenn-io/agentsview,"Local-first session search, analytics, insights, and token use statistics for coding agents, supporting Claude Code, Codex, and more than 20 other agents.",Go,4641,482,17 stars today,wesm; claude; mariusvniekerk; rodboev; mjacobs
5,netdata/netdata,https://github.com/netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",Go,79942,6557,31 stars today,ktsaou; netdatabot; ilyam8; Ferroin; stelfrag
6,cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Automatically provision and manage TLS certificates in Kubernetes,Go,13989,2416,6 stars today,jetstack-bot; munnerz; cert-manager-prow; JoshVanL; inteon
7,google/gvisor,https://github.com/google/gvisor,Application Kernel for Containers,Go,18924,1819,13 stars today,gvisor-bot; ayushr2; avagin; fvoznika; EtiennePerot
8,certimate-go/certimate,https://github.com/certimate-go/certimate,"An open-source and free self-hosted SSL certificates ACME tool, automates the full-cycle of issuance, deployment, renewal, and monitoring visually. 完全开源免费的自托管 SSL 证书 ACME 工具，申请、部署、续期、监控全流程自动化可视化，支持各大主流云厂商。",Go,8987,867,27 stars today,fudiwei; usual2970; LeoChen98; Netrvin; PBK-B
9,swaggo/swag,https://github.com/swaggo/swag,Automatically generate RESTful API documentation with Swagger 2.0 for Go.,Go,12955,1481,7 stars today,easonlin404; ubogdan; sdghchj; pei0804; dependabot
10,spf13/viper,https://github.com/spf13/viper,Go configuration with fangs,Go,30405,2234,6 stars today,sagikazarmark; dependabot; spf13; bep; spacez320
11,getarcaneapp/arcane,https://github.com/getarcaneapp/arcane,"Modern Docker Management, Designed for Everyone",Go,6791,266,35 stars today,kmendell; dependabot; getarcaneappbot; cabaucom376; GiulioSavini
12,golang/go,https://github.com/golang/go,The Go programming language,Go,135434,19183,35 stars today,rsc; griesemer; robpike; ianlancetaylor; bradfitz
13,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Workflow Engine for Kubernetes,Go,16859,3593,2 stars today,alexec; terrytangyuan; dependabot; simster7; sarabala1979
14,stretchr/testify,https://github.com/stretchr/testify,A toolkit with common assertions and mocks that plays nicely with the standard library,Go,26130,1844,8 stars today,ernesto-jimenez; dolmen; brackendawson; tylerstillwater; boyan-soubachov
15,istio/istio,https://github.com/istio/istio,"Connect, secure, control, and observe services.",Go,38312,8360,4 stars today,istio-testing; howardjohn; hzxuzhonghu; ramaraochavali; kyessenov
16,openshift/origin,https://github.com/openshift/origin,Conformance test suite for OpenShift,Go,8675,4793,1 star today,openshift-merge-robot; deads2k; smarterclayton; openshift-merge-bot; soltysh
17,pulumi/pulumi,https://github.com/pulumi/pulumi,Pulumi - Infrastructure as Code in any programming language 🚀,Go,25494,1406,3 stars today,Frassle; joeduffy; bors; tgummerer; justinvp
18,ccfos/nightingale,https://github.com/ccfos/nightingale,Nightingale is to monitoring and alerting what Grafana is to visualization.,Go,13185,1745,8 stars today,710leo; UlricQin; yubo; jsers; shardingHe
19,github/gh-aw,https://github.com/github/gh-aw,GitHub Agentic Workflows,Go,4837,473,7 stars today,Copilot; pelikhan; github-actions; dsyme; mnkiefer
20,kunchenguid/no-mistakes,https://github.com/kunchenguid/no-mistakes,git push no-mistakes,Go,7253,623,48 stars today,kunchenguid; github-actions; e-jung; mielyemitchell; claude
21,rancher/rancher,https://github.com/rancher/rancher,Complete container management platform,Go,25798,3220,7 stars today,ibuildthecloud; kinarashah; dramich; jakefhyde; jiaqiluo
22,nianzhibai/91,https://github.com/nianzhibai/91,nine one,Go,1299,356,20 stars today,nianzhibai; claude; cursoragent; Just-Spider; Hi-Mr-Wind
23,gruntwork-io/terragrunt,https://github.com/gruntwork-io/terragrunt,Terragrunt is a flexible orchestration tool that allows Infrastructure as Code written in OpenTofu/Terraform to scale.,Go,9745,1216,8 stars today,yhakbar; brikis98; denis256; yorinasub17; dependabot
