Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,JetBrains/go-modern-guidelines,https://github.com/JetBrains/go-modern-guidelines,Help AI coding agents write modern Go,Go,2386,72,300 stars today,simpletonDL; Splatjov; nikitakuchur; raeperd; endigma
2,asciimoo/hister,https://github.com/asciimoo/hister,Your own search engine,Go,3163,140,52 stars today,asciimoo; 4evy; dependabot; ISSOtm; Shadowbee27
3,vllm-project/semantic-router,https://github.com/vllm-project/semantic-router,A programmable Mixture-of-Models router for heterogeneous LLM inference,Go,5368,846,28 stars today,Xunzhuo; rootfs; AayushSaini101; theohsiung; samzong
4,wailsapp/wails,https://github.com/wailsapp/wails,Create beautiful applications using Go,Go,36028,1823,18 stars today,leaanthony; github-actions; claude; stffabi; taliesin-ai
5,gastownhall/beads,https://github.com/gastownhall/beads,Beads - A memory upgrade for your coding agent,Go,26670,1801,26 stars today,steveyegge; claude; maphew; coffeegoddd; julianknutsen
6,docker/docker-agent,https://github.com/docker/docker-agent,AI Agent Builder and Runtime by Docker Engineering,Go,3298,445,4 stars today,dgageot; rumpl; Sayt-0; aheritier; krissetto
7,kubernetes-sigs/agent-sandbox,https://github.com/kubernetes-sigs/agent-sandbox,"agent-sandbox enables easy management of isolated, stateful, singleton workloads, ideal for use cases like AI agent runtimes and reinforcement learning (RL).",Go,3668,469,22 stars today,janetkuo; justinsb; k8s-ci-robot; shrutiyam-glitch; aditya-shantanu
8,aquasecurity/trivy,https://github.com/aquasecurity/trivy,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",Go,37669,636,32 stars today,knqyf263; DmitriyLewen; dependabot; nikpivkin; simar7
9,argoproj/argo-cd,https://github.com/argoproj/argo-cd,Declarative Continuous Deployment for Kubernetes,Go,24017,7796,11 stars today,dependabot; alexmt; crenshaw-dev; jannfis; jessesuen
10,higress-group/higress,https://github.com/higress-group/higress,🤖 AI Gateway | AI Native API Gateway,Go,9228,1261,22 stars today,johnlanni; CH3CHO; rinfx; Jing-ze; EndlessSeeker
11,github/github-mcp-server,https://github.com/github/github-mcp-server,GitHub's official MCP Server,Go,32573,4864,36 stars today,SamMorrowDrums; Copilot; dependabot; JoannaaKL; mattdholloway
12,vitessio/vitess,https://github.com/vitessio/vitess,Vitess is a database clustering system for horizontal scaling of MySQL.,Go,21270,2384,9 stars today,sougou; alainjobart; shlomi-noach; systay; harshit-gangal
13,opencost/opencost,https://github.com/opencost/opencost,Cost monitoring for Kubernetes workloads and cloud costs,Go,6712,868,5 stars today,AjayTripathy; nikovacevic; mbolt35; Sean-Holcomb; mattray
14,docker/cli,https://github.com/docker/cli,The Docker CLI,Go,6032,2190,5 stars today,thaJeztah; vvoland; albers; dnephin; silvin-lubecki
15,larksuite/cli,https://github.com/larksuite/cli,"The official Lark/飞书 CLI tool, maintained by the larksuite team — built for humans and AI Agents. Covers core business domains including Messenger, Docs, Base, Sheets, Calendar, Mail, Tasks, Meetings, and more, with 200+ commands and 20+ AI Agent Skills.",Go,16826,1356,27 stars today,liangshuo-1; ethan-zhx; fangshuyu-768; wittam-01; zgz2048
16,cloudwego/eino,https://github.com/cloudwego/eino,The ultimate LLM/AI application development framework in Go.,Go,12858,1070,18 stars today,meguminnnnnnnnn; shentongmartin; mrh997; hi-pender; JonXSnow
17,podman-container-tools/podman,https://github.com/podman-container-tools/podman,Podman: A tool for managing OCI containers and pods.,Go,32716,3351,5 stars today,openshift-merge-robot; openshift-merge-bot; mheon; Luap99; rhatdan
18,milvus-io/milvus,https://github.com/milvus-io/milvus,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",Go,45847,4205,26 stars today,congqixia; JinHai-CN; bigsheeper; zhuwenxing; xiaocai2333
19,containerd/containerd,https://github.com/containerd/containerd,An open and reliable container runtime,Go,21211,4080,23 stars today,dmcgowan; crosbymichael; estesp; Random-Liu; mxpv
20,infiniflow/ragflow,https://github.com/infiniflow/ragflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,Go,89472,10534,80 stars today,cike8899; KevinHuSh; JinHai-CN; writinwaters; dcc123456
21,tulir/whatsmeow,https://github.com/tulir/whatsmeow,Go library for the WhatsApp web multidevice API,Go,7164,1174,20 stars today,tulir; SchulteMK; Rhymen; sthales; houstondapaz
22,mikefarah/yq,https://github.com/mikefarah/yq,"yq is a portable command-line YAML, JSON, XML, CSV, TOML, HCL and properties processor",Go,15896,827,7 stars today,mikefarah; dependabot; kenjones-cisco; stevenwdv; Copilot
23,etcd-io/etcd,https://github.com/etcd-io/etcd,Distributed reliable key-value store for the most critical data of a distributed system,Go,52194,10475,13 stars today,gyuho; ahrtr; xiang90; serathius; yichengq
