Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,google/ax,https://github.com/google/ax,Google's open agentic orchestration runtime,Go,10594,513,"1,373 stars today",rakyll; joycel-github; wjjclaud; anj-s; zbl94
2,agent-substrate/substrate,https://github.com/agent-substrate/substrate,Agent Substrate: the core system,Go,3733,432,357 stars today,BenTheElder; juli4n; HavenXia; thockin; zoez7
3,Asymptote-Labs/agent-beacon,https://github.com/Asymptote-Labs/agent-beacon,The cross-harness self-improving memory layer for AI agents.,Go,1513,122,269 stars today,jqdsouza; claude; shukieshah; cursoragent; AnandSundar
4,maximhq/bifrost,https://github.com/maximhq/bifrost,"Fastest enterprise AI gateway (50x faster than LiteLLM) with adaptive load balancer, cluster mode, guardrails, 1000+ models support & <100 µs overhead at 5k RPS.",Go,8335,1286,41 stars today,akshaydeo; github-actions; Pratham-Mishra04; impoiler; TejasGhatte
5,bjarneo/cliamp,https://github.com/bjarneo/cliamp,cliamp - Terminal music player inspired by winamp,Go,4331,292,20 stars today,bjarneo; claude; tahadx; coryshaw1; oweneldridge
6,weave-os/router,https://github.com/weave-os/router,Model router for agentic systems. Routes every prompt to the right model in <50ms. Cut costs 40-70% with just an endpoint change.,Go,5130,141,154 stars today,steventohme; claude; aminsamir45; devin-ai-integration; a-churchill
7,flexprice/flexprice,https://github.com/flexprice/flexprice,Usage-based pricing and billing for developers 🔓 Cloud or self-hosted ⚙️ No-code UI 💰 Realtime usage metering 🎟 Credits & top-ups 🔑 Control feature access,Go,6938,997,24 stars today,omkar273; nkmishra1997; claude; DiabolusGX; hiteshshimpi-55
8,ArvinLovegood/go-stock,https://github.com/ArvinLovegood/go-stock,🦄🦄🦄AI赋能股票分析：AI加持的股票分析/选股工具。股票行情获取，AI热点资讯分析，AI资金/财务分析，涨跌报警推送。支持A股，港股，美股。支持市场整体/个股情绪分析，AI辅助选股等。数据全部保留在本地。支持DeepSeek，OpenAI， Ollama，LMStudio，AnythingLLM，硅基流动，火山方舟，阿里云百炼等平台或模型。,Go,7700,1346,59 stars today,ArvinLovegood; CodeNoobLH; github-advanced-security; dependabot; GiCo001
9,gosom/google-maps-scraper,https://github.com/gosom/google-maps-scraper,"scrape data from Google Maps. Extracts data such as the name, address, phone number, website URL, rating, reviews number, latitude and longitude, reviews,email and more for each place",Go,6087,968,35 stars today,gosom; dredozubov; sbOogway; fidalgo; claude
10,getarcaneapp/arcane,https://github.com/getarcaneapp/arcane,"Modern Docker Management, Designed for Everyone",Go,7595,319,16 stars today,kmendell; dependabot; getarcaneappbot; cabaucom376; GiulioSavini
11,autobrr/autobrr,https://github.com/autobrr/autobrr,"Modern, easy to use download automation for torrents and usenet.",Go,3089,219,22 stars today,zze0s; ludviglundgren; martylukyy; KyleSanderson; dependabot
12,openfga/openfga,https://github.com/openfga/openfga,A high performance and flexible authorization/permission engine built for developers and inspired by Google Zanzibar,Go,5853,507,14 stars today,dependabot; jon-whit; adriantam; justincoh; senojj
13,router-for-me/CLIProxyAPI,https://github.com/router-for-me/CLIProxyAPI,"Wrap Antigravity, ChatGPT Codex, Claude Code, Grok Build, Muse Code, Davin as an OpenAI/Gemini/Claude/Codex compatible API service, allowing you to enjoy the free Gemini Series, GPT Series, Grok Series, Claude model through API",Go,53145,8021,124 stars today,luispater; hkfires; sususu98; LTbinglingfeng; claude
14,projectdiscovery/nuclei,https://github.com/projectdiscovery/nuclei,"Nuclei is a fast, customizable vulnerability scanner powered by the global security community and built on a simple YAML-based DSL, enabling collaboration to tackle trending vulnerabilities on the internet. It helps you find vulnerabilities in your applications, APIs, networks, DNS, and cloud configurations.",Go,31496,3892,32 stars today,Mzack9999; dependabot; ehsandeep; Ice3man543; dogancanbakir
15,getprobo/probo,https://github.com/getprobo/probo,"Open source solutions for SOC2, GDPR, and ISO27001",Go,1387,216,2 stars today,gearnode; codenem; SachaProbo; cursoragent; aureliensibiril
16,grafana/mcp-grafana,https://github.com/grafana/mcp-grafana,MCP server for Grafana,Go,3495,453,9 stars today,sd2k; claude; renovate-sh-app; dependabot; ioanarm
17,skyhook-io/radar,https://github.com/skyhook-io/radar,"The missing open-source Kubernetes UI with a built-in MCP server for AI agents. See what's broken, why, and what changed. Issues, Topology, event timeline, Helm, GitOps, live service traffic, and cluster audits - all in one Go binary.",Go,3474,224,8 stars today,nadaverell; hisco; claude; dependabot; arlenvasconcelos
18,v2fly/v2ray-core,https://github.com/v2fly/v2ray-core,A platform for building proxies to bypass network restrictions.,Go,34621,5069,11 stars today,DarienRaymond; xiaokangwang; dependabot; kslr; Loyalsoldier
19,go-vikunja/vikunja,https://github.com/go-vikunja/vikunja,The task manager you actually own.,Go,5501,711,8 stars today,kolaente; renovate; dpschen; vikunja-bot; tink-bot
20,etcd-io/etcd,https://github.com/etcd-io/etcd,Distributed reliable key-value store for the most critical data of a distributed system,Go,52310,10516,8 stars today,gyuho; ahrtr; xiang90; serathius; yichengq
